'a'song 阿松
'a'xiang 阿香
'ai'ni'ye'xu'yao'hen'da'de'yong'qi 爱你也需要很大的勇气
'ai'shang'ni'shi'wo'qing'fei'de'yi 爱上你是我情非得已
'bai'he 百合
'bu'gan'rang'zi'ji'kao'de'tai'jin 不敢让自己靠的太近
'bu'zhi'shi'yi'lai 不只是依赖
'bu'zhun'ni'nan'guo 不准你难过
'can'lan'de'yan'yu 灿烂的言语
'chen'qing'he 陈青和
'dao'ming'feng 道明枫
'dao'ming'si 道明寺
'dao'ming'zhuang 道明庄
'dong'zhi'cheng 董至成
'feng'chui'you'ri'shai 风吹又日晒
'feng'zai'da'you'zen'yang 风再大又怎样
'guan'jia 管家
'hai'shi'hao'wu'tou'xu 还是毫无头绪
'hai'shi'tan'te'bu'ding 还是忐忑不定
'he'yuan'zi 何原滋
'hua'ze'lei 花泽类
'hui'ba'wo'chong'huai 会把我宠坏
'jin'tian'shi'xing'qi'ji 今天是星期几
'kan'dao'ni'shou'wei'qu 看到你受委屈
'ke'huan'ru 柯奂如
'lan'zheng'long 蓝正龙
'li'jie'sheng 李杰圣
'li'zhen 李真
'lin'zu'en 林祖恩
'liu'er'jin 刘尔金
'liu'xing'yu 流星雨
'luo'zai'zhe'di'qiu'shang 落在这地球上
'mei'zuo 美作
'meng'xiang'de'zhong'liang 梦想的重量
'nan'yi'wang'ji'chu'ci'jian'ni 难以忘记初次见你
'ni'de'shen'ying'hui'san'bu'qu 你的身影挥散不去
'ni'de'tian'zhen 你的天真
'ni'hui'kan'jian'xing'fu'de'suo'zai 你会看见幸福的所在
'ni'qu'na'li 你去哪里
'ni'yao'de'ai 你要的爱
'ni'you'le'wo 你有了我
'ou'ding'xing 欧定兴
'pa'wo'mei'shen'me'neng'gou'gei'ni 怕我没什么能够给你
'pei'ni'qu'kan'liu'xing'yu 陪你去看流星雨
'peng'wei'hua 彭伟华
'pi'juan'de'yan'huo 疲倦的烟火
'ping'tian 平田
'qian'hui 千惠
'qian'ni'shou'gen'zhe'wo'zou 牵你手跟着我走
'qian'wei'shan 钱韦杉
'qing'fei'de'yi 情非得已
'qing'he 青和
'quan'bu'dou'jiao'gei'wo 全部都交给我
'rang'ni'de'lei'luo'zai'wo'jian'bang 让你的泪落在我肩膀
'sa'xia'yi'pian'wen'nuan 洒下一片温暖
'shan'cai 杉菜
'shan'cai'fu 杉菜父
'shan'cai'mu 杉菜母
'shang'gan'ruo'tai'duo 伤感若太多
'sheng'huo'zi'you'zi'zai 生活自由自在
'shui'shi'ni'de'na'ge'wei'yi 谁是你的那个唯一
'si'da'jia'zu 四大家族
'sui'ran'bu'ceng'huai'yi'ni 虽然不曾怀疑你
'sui'ran'jing'chang'meng'jian'ni 虽然经常梦见你
'tang'qi 唐琪
'teng'tang'jing 藤堂静
'ti'ni'bai'ping'ji'mo 替你摆平寂寞
'wai'mian'zheng'zai'xia'zhe'yu 外面正在下着雨
'wang'yue 王月
'wei'ni'bu'zhi'yi'pian'tian'kong 为你布置一片天空
'wen'rou'de'xing'kong 温柔的星空
'wo'dou'hui'ti'ni'gan'zou 我都会替你赶走
'wo'hui'shang'xin 我会伤心
'wo'ni'de'shuang'shou'gan'jue'ni'de'wen'rou 握你的双手感觉你的温柔
'wo'xiang'zhen'xi 我想珍惜
'wo'yao'fen'xiang'ni'yan'zhong'de'lei'guang 我要分享你眼中的泪光
'wo'zai'ni'shen'hou 我在你身后
'wu'jian'hao 吴建豪
'xi'men 西门
'xi'men'mu 西门母
'xiang'nian'zhi'rang'zi'ji'ku'le'zi'ji 想念只让自己苦了自己
'xiang'yi'ge'xiao'hai 像一个小孩
'xiao'shun 小顺
'xiao'you 小优
'xin'diu'gei'wo'bao'hu 心丢给我保护
'xu'hua'feng 徐华凤
'xu'wei'lun 许玮伦
'xu'xi'yuan 徐熙媛
'ya'men 亚门
'yan'cheng'xu 言承旭
'yang'cheng'lin 杨丞琳
'yao'ni'xiang'xin'wo'de'ai 要你相信我的爱
'yao'xiang'ge'da'nan'hai 要像个大男孩
'ye'an'ting 叶安婷
'ye'xu'you'tian'hui'qing'bu'zi'jin 也许有天会情不自禁
'yi'shuang'mi'ren'de'yan'jing 一双迷人的眼睛
'ying'cai'ling 应采灵
'ying'de'xue'yuan 英德学院
'ying'gai'rang'ni'gan'dong 应该让你感动
'yu'cheng'qing 庾澄庆
'yu'he'yun'jian'jian'san'kai 雨和云渐渐散开
'yu'sao 玉嫂
'yuan'liang'wo'huai'yi'zi'ji 原谅我怀疑自己
'za'cao'shan'cai 杂草杉菜
'zai'wo'nao'hai'li 在我脑海里
'zai'ye'bu'hui'mi'lu'fang'xiang 再也不会迷路方向
'zhang'ruo'zhen 张若蓁
'zhen'de'you'dian'tou'bu'guo'qi 真的有点透不过气
'zhen'xiu'zhen 甄秀珍
'zheng'mei'dai 郑美黛
'zhi'dong'zai'ni'huai'li'huai 只懂在你怀里坏
'zhi'ken'wei'ni'yong'gan 只肯为你勇敢
'zhi'neng'dian'zhui'gan'qing 只能点缀感情
'zhi'pa'wo'zi'ji'hui'ai'shang'ni 只怕我自己会爱上你
'zhong'han'liang 钟汉良
'zhong'ze 中泽
'zhou'yu'min 周渝民
'zhu'tou'si 猪头寺
'zhu'xiao'tian 朱孝天
