'a'jiu 阿舅
'a'li'qi 阿里奇
'a'li'yi 阿哩义
'a'li'yi 阿里义
'a'sao 阿嫂
'a'shu 阿叔
'a'ye 阿也
'a'za 腌臜
'ai'ai 霭霭
'ai'bei 艾焙
'ai'dao 捱到
'ai'jiao'hu 矮脚虎
'ai'kou 隘口
'ai'li'si 矮李四
'ai'qiu'yi'lang 矮丘乙郎
'ai'zai 哀哉
'an'chang 安昌
'an'cun 暗忖
'an'dao'quan 安道全
'an'de 安德
'an'ding 安定
'an'fu 安抚
'an'fu'shi 安抚使
'an'le'cun 安乐村
'an'ping 安平
'an'ping'zhai 安平寨
'an'qi'zhi'zao 安期之枣
'an'ren'cun 安仁村
'an'shan'zhen 安山镇
'an'shi 安氏
'an'shi'long 安士隆
'an'shi'rong 安士荣
'an'tai'yi 安太医
'an'zai 安在
'ao'shan 鳌山
'ao'zi 袄子
'ba'bi'ne'zha 八臂哪吒
'ba'cha'er 八叉儿
'ba'da'ma'xie 八搭麻鞋
'ba'da'ma'xie 八答麻鞋
'ba'hu'qi 八虎骑
'ba'huan'dao 八环刀
'ba'huo'shao'tian'shi 把火烧天势
'ba'men'jun'shi 把门军士
'ba'piao'qi 八骠骑
'ba'shan 巴山
'ba'shang'fen 笆上粪
'ba'shi'wan'jin'jun 八十万禁军
'ba'yan 把眼
'ba'zhen 八阵
'ba'zhen'tu 八阵图
'ba'zhou 霸州
'bai'cha 拜茶
'bai'e'da'chong 白额大虫
'bai'feng'ling 白蜂岭
'bai'gu'ling 百谷岭
'bai'hu'jie'tang 白虎节堂
'bai'hu'shan 白虎山
'bai'hua'she 白花蛇
'bai'ling'bai'li 百伶百俐
'bai'long'miao 白龙庙
'bai'long'shen'miao 白龙神庙
'bai'mao 白旄
'bai'mian'lang'jun 白面郎君
'bai'mu 白木
'bai'qin 白钦
'bai'ren 柏仁
'bai'ri'shu 白日鼠
'bai'sha'wu 白沙坞
'bai'sheng 白胜
'bai'sheng'jiang 百胜将
'bai'xiu'ying 白秀英
'bai'yi 拜揖
'bai'yi'xiu'shi 白衣秀士
'bai'yu'gui 白玉圭
'bai'yu'qiao 白玉乔
'bai'zhang'cun 百丈村
'ban'bu 班部
'ban'dang 伴当
'ban'dao'mian 板刀面
'ban'de 办得
'ban'fan'shan 半墦山
'ban'gu'er 班古儿
'ban'jian'zhi'di 半箭之地
'ban'ma'suo 绊马索
'ban'mao'er'fan 拌猫儿饭
'ban'qu 搬取
'ban'ze 班泽
'ban'zhi 班直
'bang'chuang 棒疮
'bang'pai 傍牌
'bang'wen 榜文
'bang'xian 帮闲
'bang'yuan'dong 帮源洞
'bao'dao'yi 包道乙
'bao'diao'gong 宝雕弓
'bao'ding'fu 保定府
'bao'du'shan 抱犊山
'bao'en'si 报恩寺
'bao'feng 宝丰
'bao'guang'guo'shi 宝光国师
'bao'guang'ru'lai'guo'shi 宝光如来国师
'bao'ji 包吉
'bao'jie'ji 包节级
'bao'ju 保举
'bao'juan 宝眷
'bao'lao 鲍老
'bao'lao'er 鲍老儿
'bao'mi'sheng 宝密圣
'bao'shu'ta'shan 保叔塔山
'bao'tian'shi 包天师
'bao'wei'hu 豹尾壶
'bao'wei'shen 豹尾神
'bao'xu 鲍旭
'bao'yan'si 宝严寺
'bao'yao 抱腰
'bao'yu 报与
'bao'zheng 保正
'bao'zhu'si 宝珠寺
'bao'zi'tou 豹子头
'bao'zou 保奏
'bei'bing 北兵
'bei'gu'shan 北固山
'bei'guan'men 北关门
'bei'ji'dian 北极殿
'bei'ji'zi'wei'da'di 北极紫微大帝
'bei'jing 北京
'bei'jun 北军
'bei'mang'shan 北邙山
'bei'shuo 备说
'bei'xi 备细
'bei'xin'qiao 北新桥
