'a'de'man 阿德曼
'a'de'man'he'jin 阿德曼合金
'a'de'man'he'jin'zhao 阿德曼合金爪
'a'ni'mu'zuo'la 阿尼姆佐拉
'a'si'jia'de 阿斯加德
'a'si'jia'te 阿斯嘉特
'ai'de'man 艾德曼
'ai'de'man'he'jin 艾德曼合金
'ai'de'man'he'jin'zhao 艾德曼合金爪
'ai'di'bu'luo'ke 艾迪布洛克
'ai'li'ka 艾丽卡
'ai'li'ke'ao'ge'lei'di 埃里克奥格雷迪
'an'dong'ni'ai'de'hua'si'ta'ke 安东尼爱德华斯塔克
'an'dong'ni'ai'de'hua'tuo'ni'si'ta'ke 安东尼爱德华托尼斯塔克
'an'li'hui 安理会
'an'ni'xi'lu'si 安尼西鲁斯
'ao'chuang 奥创
'ao'chuang'ji'yuan 奥创纪元
'ao'ding 奥丁
'ao'mi'jia'ji 奥米加级
'ao'si'ben 奥斯本
'ao'si'ben'qi'ye 奥斯本企业
'ao'tuo'ao'ke'ta'wei'si 奥托奥克塔维斯
'ba'shi'da'lou 巴氏大楼
'ba'yan 靶眼
'bai'hu 白虎
'bai'huang'hou 白皇后
'bao'feng'nv 暴风女
'bei'di'luo'si 贝蒂罗斯
'bi'de'pa'ke 彼得帕克
'bi'xiao'pu 毕肖普
'bian'xing'ren 变形人
'bian'zhong'ren 变种人
'bing'ren 冰人
'bing'shuang'ju'ren 冰霜巨人
'bu'lu'si'ban'na 布鲁斯班纳
'cai'hong'qiao 彩虹桥
'ce'liang'zhe 测量者
'ce'shi'zhe 测试者
'chao'dan'xia 超胆侠
'chao'fan'zhi'zhu'xia 超凡蜘蛛侠
'chao'ji'zhan'shi 超级战士
'chao'ji'zhan'shi'ji'hua 超级战士计划
'chao'ji'zhan'shi'xue'qing 超级战士血清
'dan'ni'ye'fu'man 丹尼叶夫曼
'dan'tou'ren 蛋头人
'de'la'ke'si 德拉克斯
'di'er'ci'chao'ji'ying'xiong'da'sai 第二次超级英雄大赛
'di'qiu 地球
'di'si'ma'tou 第四码头
'di'yu'zhi'huo 地狱之火
'du'yan'ju'ren 独眼巨人
'du'ye 毒液
'e'jin'si 厄金斯
'e'jin'si'bo'shi 厄金斯博士
'e'ling'mo'tuo 恶灵摩托
'e'ling'qi'shi 恶灵骑士
'e'mo'hao'ke 恶魔浩克
'er'dai'yi'ren 二代蚁人
'fan'hao'ke 反浩克
'fan'hao'ke'zhuang'jia 反浩克装甲
'fan'tian 梵天
'fang'zhou'fan'ying'lu 方舟反应炉
'fei'fan'long 非凡龙
'fei'hong'ji'jia 绯红机甲
'fei'hong'nv'wu 绯红女巫
'fen'nu'zhi'yan 愤怒之眼
'fen'xi'zhe 分析者
'feng'huang'nv 凤凰女
'feng'huang'su'zhu 凤凰宿主
'feng'huang'zhi'li 凤凰之力
'fu'chou'bo'shi 复仇博士
'fu'chou'shi 复仇使
'fu'chou'zhe'ji'jie 复仇者集结
'fu'chou'zhe'jie'san 复仇者解散
'fu'chou'zhe'lian'meng 复仇者联盟
'fu'chou'zhi'ling 复仇之灵
'fu'li'jia 弗丽嘉
'fu'she'ren 辐射人
'fu'shi'wang 腐尸王
'gai'mo'la 盖魔拉
'gai'ya 盖亚
'gan'cui'mian'jun 干脆面君
'gang'li'shi 钢力士
'gang'tie'ai'guo'zhe 钢铁爱国者
'gang'tie'xia 钢铁侠
'gang'tie'zhi'zhu 钢铁蜘蛛
'gang'tie'zhi'zhu'xia 钢铁蜘蛛侠
'ge'li'ya 哥利亚
'ge'lu'te 格鲁特
'gen'chu'zhe 根除者
'guo'jia'gong'di 国家公敌
'guo'tu'zhan'lue'fang'yu'gong'ji'yu'hou'qin'bao'zhang'ju 国土战略防御攻击与后勤保障局
'ha'li'ao'si'ben 哈利奥斯本
'hai'mu'ming'jie 海姆冥界
'han'ke'pi'mu 汉克皮姆
'han'wei'zhe 捍卫者
'hao'ke 浩克
'hao'ke'shi'jie'da'zhan 浩克世界大战
'hao'ke'xing'qiu 浩克星球
'he'zuo'she 合作社
'hei'an'wang'chao 黑暗王朝
'hei'gua'fu 黑寡妇
'hei'mo'tou 黑魔头
'hei'qi'shi 黑骑士
'hong'hao'ke 红浩克
'hong'ku'lou 红骷髅
'hong'mo'gui 红魔鬼
'hong'nv'hao'ke 红女浩克
'hong'nv'wu 红女巫
'hong'se'you'ling 红色幽灵
'hua'na'hai'mu 华纳海姆
'hua'na'shen'zu 华纳神族
'huan'shi 幻视
'huan'ying'mao 幻影猫
'huan'ying'sha'shou 幻影杀手
'huang'feng'nv 黄蜂女
'huang'shan'xia 黄衫侠
'huang'shi'nei'zhan 皇室内战
'hui'hao'ke 灰浩克
'hui'mie'bo'shi 毁灭博士
'hui'mie'qian'xi 毁灭前夕
'hui'mie'zhe 毁灭者
'hun'dun'zhi'zhan 混沌之战
'huo'hua'de'si'ta'ke 霍华德斯塔克
'huo'jian'huan'xiong 火箭浣熊
'huo'ren 火人
'huo'zhi'guo 火之国
'ji'suan'zhe 计算者
'jia'bao'xia 家暴侠
'jia'wei'si 贾维斯
'jian'cha'guan 检查官
'jiao'shou 教授
'jie'ke'ke'bi 杰克科比
'jie'rui'la 杰瑞拉
'jie'si'ka'qiong'si 杰斯卡琼斯
'jin'bing 金并
'jin'gang'lang 金刚狼
'jin'pin 金品
'jing'ling'zhi'guo 精灵之国
'jing'qi'dui'zhang 惊奇队长
'jing'qi'man'hua 惊奇漫画
'jing'qi'nv'hai 惊奇女孩
'jiu'da'shi'jie 九大世界
'jiu'tou'she 九头蛇
'ju'hua'ren 巨化人
'jue'jing'bing'du 绝境病毒
'jue'jing'gai'zao 绝境改造
