'a'yu'fu'zhi'li 阿育复置醴
'chun'chou'ran'ran'dai'yu'cheng 春愁冉冉带馀酲
'chun'feng'dao'zou'li'wei'jie 春风叨奏礼闱捷
'chun'feng'de'yi'ma'ti'ji 春风得意马蹄疾
'chun'hua'qiu'yue'he'shi'liao 春花秋月何时了
'chun'mian'bu'jue'xiao 春眠不觉晓
'ci'cai'he'zhi'shang'xia'wu'qian'nian 此才何止上下五千年
'ci'chan'can'dao'fen'tuo'li 词禅参到芬陀利
'ci'qing'ke'dai'cheng'zhui'yi 此情可待成追忆
'ci'ri'kong'huai'huang'he'xian 此日空怀黄鹤仙
'ci'shi'bu'yu'ta'ri'yu 此时不遇他日遇
'ci'shi'nan 此时难
'ci'shi'wei'cheng'jin'duan'ju 此诗未成仅断句
'ci'xin'jiong'jiong'jun'ying'shi 此心炯炯君应识
'ci'you'yi'fu'bu'ji'wei'he'nian 此游亦复不记为何年
'ci'yu'chun'fei'wo'chun 此与春非我春
'cong'ci'shou'shou'shang'bao'quan 从此收手尚保全
'cong'lai'wan'shi'wei'ke'qi 从来万事未可期
'cui'mei'chan'bin'sheng'bie'li 翠眉蝉鬓生别离
'cui'nen'xiang'rou 翠嫩香柔
'da'jiang'tao'tao'nan'guo'ji 大江滔滔南国纪
'da'mo'bu'shi'zu 达磨不是祖
'dai'de'xing'shi'jun'bu'jian 待得醒时君不见
'dan'dang'hu'tian'shao'xiu'zong'kan'kua 淡宕湖天韶秀总堪夸
'dan'jiang'ming'ding'chou'jia'jie 但将酩酊酬佳节
'dan'shi'long'cheng'fei'jiang'zai 但使龙城飞将在
'dan'shi'zhi'yin 但是知音
'dan'si'zheng'ying'fu'mu'er 箪食争迎父母迩
'dan'zhi'gu'lai'xian'fo'yu'shen'gui 但知古来仙佛与神鬼
'dan'zhuang'nong'mo'zong'xiang'yi 淡妆浓抹总相宜
'dang'fu'wang'ti'yi'ju'shi 荡妇妄题一句诗
'dang'nian'tu'er'zhi'tang'tang 当年徒尔志堂堂
'dang'shi'wo'zui'mei'ren'jia 当时我醉美人家
'dao'di'ren'qi'tian'bu'qi 到底人欺天不欺
'dao'le'hui'shi'hui'yi'wan 到了悔时悔已晚
'dao'li'you'yuan 道里悠远
'dao'yan'chun'guang'hun'bu'shi 到眼春光浑不识
'de'bu'chang'shi'wei'na'duan 得不偿失为那端
'deng'ming'long'hu'bang 登名龙虎榜
'deng'xian'liu'ke'que'cheng'huan 等闲留客却成欢
'di'chu'ping'an'gao'chu'xian 低处平安高处险
'die'zui'feng'chi'yi'cu'xiang 蝶醉蜂痴一簇香
'ding'ling'wei'zhi'ge'yue 丁令威之歌曰
'dong'feng'chui'hua'hua'nu'kai 东风吹花花怒开
'dong'feng'chui'ren'ren'lao'yi 东风吹人人老矣
'dong'feng'song'nuan'ru'tu'su 东风送暖入屠苏
'dong'hu'zi'he'bi'dong'shan 东湖自合比东山
'dong'ji'ji'ju'ci'yun 董纪集句次韵
'dong'shi'xiao'pin'ren'jin'chi 东施效颦人尽嗤
'dong'tu'xi'mo'fei'suo'kua 东涂西抹非所誇
'dong'yuan'kai'nan'xiang'zi 董元恺南乡子
'dong'zhi'yang'sheng'chun'you'lai 冬至阳生春又来
'dou'jiang'qian'zai'wei'ji'hen 都将千载未济恨
'dou'jin'li'de'zuo 都尽力地做
'dou'shu'ren'min 都属人民
'du'can'tou'han'ge 独惭投汉阁
'du'ling'han'shi'cao'qing'qing 杜陵寒食草青青
'du'tou'wu'ren'bo 渡头无人波
'du'ying'pian'pian'zhu'shi'bo 独影翩翩逐逝波
'du'zai'yi'xiang'wei'yi'ke 独在异乡为异客
'duan'qiang'ruo'zai'cong'can'cao 短墙若在从残草
'dui'can'hua 对残花
'dui'jiu'man'hu'pin 对酒满壶频
'dui'xie'yang 对斜阳
'duo'shao'pang'ren'leng'yan'kan 多少旁人冷眼看
'duo'shao'tou'lu'duo'shao'xue 多少头颅多少血
'en'yuan'fen'ming'duan'geng'xu 恩怨分明断更续
'er'gong'ting'cha'ji'he'jian 二公亭插芰荷间
'er'shi'ba'xiu'luo'xin'xiong 二十八宿罗心胸
'er'shi'si'shi 二十四史
'er'xian'piao'miao'cheng'chen'ji 二仙缥缈成尘迹
'fa'xing'ru'shi 法性如是
'fan'ling'cha 泛灵槎
'fang'chi'yu'bei'duan'guo'lun 方持玉杯断国论
'fang'jin'zhu'qian'qin'luo'you'ke'qi 方今朱千芩落犹可期
'fang'qi'yi'sao'jin'you'shuo 方期一扫尽幽朔
'fang'weng'qin'jian 放翁亲见
'fang'xian'jia 访仙家
'fang'yong'tie'han'zhu'xin'shi 方用铁函贮心史
'fei'bo'cang'ya'luo'bi'chuan 飞擘苍崖落碧川
'fei'fu'shen'dan'diao'mi 非复神禫吊靡
'fen'fen'cong'ci'jian'hua'can 纷纷从此见花残
'fen'fen'huang'ye'piao'ting'ji 纷纷黄叶飘庭际
'fen'shen'sui'gu'ruo'deng'xian 粉身碎骨若等闲
'feng'chen'jiang'zuo'ma'hua'niu 风尘江左马化牛
'feng'cheng'yi'yue'geng'xiang'qi 凤城依约更相期
'feng'chu'san'xia'jiu 逢初三下九
'feng'hou'qi'di'yi'ri'zhong 封侯起第一日中
'feng'jing'cang'cang'duo'shao'hen 风景苍苍多少恨
'feng'jun 逢君
'feng'liu'ying'zhu'chu'yun'chuan 风流应逐楚云传
'feng'ren'geng'chang'xiang'si'qu 逢人更唱相思曲
'feng'tang'yi'lao'lao'peng'nan 冯唐易老老彭难
'feng'xi'feng'xi 凤兮凤兮
'feng'zhi'ru'wu'xu'fei'hao 风枝如舞絮飞豪
'fo'fa'man'tian'xia 佛法满天下
'fu'chi'zi'shi'shen'ming'li 扶持自是神明力
'fu'gui'bi'cong'qin'ku'de 富贵必从勤苦得
'fu'rong'zhang'nuan'du'chun'xiao 芙蓉帐暖度春宵
'fu'yu'fan'yun'shu'ding'ping 覆雨翻云孰定评
'fu'yu'he'ren'xiang'bi'ni 复与何人相比拟
'gan'dao'chun'feng'de'yi'ma'ti'ji 敢道春风得意马蹄疾
'gan'shi'xin'xu'yao'nan'ping 感时心绪杳难平
'gao'che'si'ma'dai'qing'fu 高车驷马带倾覆
'gao'ge'ji'jie'sheng'ban'ku 高歌击节声半苦
'gao'ming'ku'qi'po 高明哭岐婆
