'a'yu'fu'zhi'li 阿育复置醴
'mei'dao'hua'shi'bu'zai'jia 每到花时不在家
'mei'hua'wan'shu'ying'jiao'jia 梅花万树影交加
'mei'zi'huang'shi'ri'ri'qing 梅子黄时日日晴
'meng'lai'he'chu'geng'wei'yun 梦来何处更为云
'meng'zhong'tong'nie'feng'huang'ling 梦中同蹑凤凰翎
'meng'zhong'you'ji'yong'mei'hua 梦中犹记咏梅花
'min'shi'xu'xian'jiao'song'fei 民事须先缴讼费
'ming'bian'cai'zhu'yue'shi'tou 鸣鞭才著越石头
'ming'mou'hao'chi'jin'he'zai 明眸皓齿今何在
'ming'nian'ci'ri'zhi'he'chu 明年此日知何处
'ming'ri'lu'chang'shan'fu'shan 明日路长山复山
'ming'ri'ru'shi 明日如是
'ming'ri'xiao'tiao'jin'zui'xing 明日萧条尽醉醒
'ming'wei'qi'ken'bei'wei'xiu 名位岂肯卑微休
'ming'yue'xia 明月下
'miu'zhu'sun'rui'zhe'gu 缪珠荪瑞鹧鸪
'mo'guan'huang'he'shui'qian'shen 莫管黄河水浅深
'mo'mo'xiu'xiu 莫莫休休
'mo'qian'rong'yi'shou'sun 莫遣容仪瘦损
'mo'ru'dai'ren'yi'ping'he 莫如待人以平和
'mo'xiang'tian'ya'jin'rao'shen 莫向天涯金绕身
'mo'yan'qian'bu'jian'gu'ren 莫言前不见古人
'mo'yan'shuai'lao 莫言衰老
'mo'yuan'chun'feng'dang'zi'jie 莫怨春风当自嗟
'mo'yuan'dong'feng'dang'zi'jie 莫怨东风当自嗟
'mu'gu'chen'zhong 暮鼓晨钟
'nan'hai'kong'si'ma'fu'bo 南海空思马伏波
'nan'ji'lao'ren'ying'shou'chang 南极老人应寿昌
'nan'ji'lao'ren'zi'you'xing 南极老人自有星
'nan'long'yi'yue'ye'wen'di 南龙翼月夜闻笛
'nan'yuan'lv'cao'fei'hu'die 南园绿草飞蝴蝶
'nan'zi'nv'zi 男子女子
'ni'shuo'ni'shi'ta'geng'shi 你说你是他更是
'nie'gan'nu'ma'shan'ji'xu'shi 聂绀弩马山集序诗
'nie'gan'nu'man'wei'san'jue'ju 聂绀弩漫为三绝句
'nie'gan'nu'mei'zi'bei 聂绀弩没字碑
'nie'gan'nu'wan'bai'shan 聂绀弩挽柏山
'nong'dao'chun'shen'yi'ke'lian 秾到春深亦可怜
'nong'rou'ning 弄柔凝
'nu'ge'he'hua'lu'bu'tong 奴隔荷花路不通
'nuan'yu'shou 暖玉手
'nv'ban'er'liao'bo'xiang'xi 女伴儿撩波相戏
'ou'mei'ya'tu'dang'you'duo 欧美亚徒党犹多
'ou'ran'yi'de'qing'lian'ju 偶然忆得青莲句
'ou'zai'niu'shan'guan'ma'hou 偶在牛山冠马猴
'pa'you'qing'ting'li'shang'tou 怕有蜻蜓立上头
'peng'jian'you'jin'ren 捧剑有金人
'peng'lai'yi'shui'tong'yun'qi 蓬莱一水通云气
'peng'men'jin'shi'wei'jun'kai 蓬门今始为君开
'peng'sun'yi'dong'po'yin 彭孙贻东坡引
'peng'yi'ju'xi'nan'ming'xi 鹏翼遽息南溟徙
'peng'zhi'lai'wen'tian'wo'yan 朋知来问腆我颜
'pi'ma'qiu'feng'qu'fu'huan 匹马秋风去复还
'pian'duan'li'zhi'kuang 片段荔枝筐
'pian'fan'jin'ye'you'he'chu 片帆今夜又何处
'piao'miao'bu'sui'jiang'yue'dao 缥渺不随江月到
'ping'lan'bu'guan'gu'jin'chou 凭阑不管古今愁
'qi'chuang'hong'ri'jiao 绮窗红日皦
'qi'dian'ba'dao 七颠八倒
'qi'hu'nan'xia'zhong'xu'xia 骑虎难下终需下
'qi'hu'zhi'shi'xia'lai'nan 骑虎之势下来难
'qi'ken'fang'guo 岂肯放过
'qi'ru'cheng'gu'dao'gua'shi 岂汝称孤道寡时
'qi'shi'er'gu'chun'shui'sheng 七十二沽春水生
'qi'wu'zhi'zhe'nai'xin'you 迄无知者乃心忧
'qi'xiang'yi'rui'zheng'lai'song 奇祥异瑞争来送
'qi'xue'ke'yi'zuo'you'shi'san'jing 其学可以左右十三经
'qi'zhi'cong'ci'jie'xia'yuan 岂知从此结下冤
'qi'zhi'gui'gu'zhu'zhi'nai'zai'ci 岂知鬼谷住址乃在此
'qi'zhi'wen'zhang'jing'yu'zhou 岂直文章惊宇宙
'qia'kan'tao'hua'shui 恰看桃花水
'qian'bei'jiu'zuo'yi'bei'qian 千杯酒做一杯乾
'qian'hu'wo'zhe 前乎我者
'qian'hui'shi'ri'de'yi'qing 前回十日得一晴
'qian'lv'liu'se'xin 千缕柳色新
'qian'nian'feng'ming'gao'fu 千年凤鸣高阜
'qian'nian'tiao 千年调
'qian'qian 芊芊
'qian'shang'qu'zhi 褰裳去之
'qian'shi'wei'xiu'jin'shi'ku 前世未修今世苦
'qian'tang'men'wai'shui'lin'lin 钱唐门外水粼粼
'qian'zhu'ge'hou'zong'shi 前诸葛后宗氏
'qiang'chu'chan'juan'lan'shu'lue 强出婵娟懒梳掠
'qiang'you'feng'lai'bi'you'er 墙有风来壁有耳
'qiao'yan'wan'zhang'tai'ban'bo 峭岩万丈苔斑驳
'qie'jiang'kuan'qu'zhong'jin'xi 且将款曲终今夕
'qie'liu'shuang'lei'shuo'xiang'si 且留双泪说相思
'qie'qing'tong'dou'xi'jin'lei'xi 且倾铜斗洗金罍兮
'qie'wang'feng'hua 且忘风华
'qie'wu'tong'shi'lai'cao'ge 切勿同室来操戈
'qie'xiang'yu'cai'hua'zhi 且相与采华芝
'qie'zi'jing'shen 且自精神
'qin'shi'ming'yue'han'shi'guan 秦时明月汉时关
'qin'shuang'chu'yu'an'xiang'he 秦霜楚雨暗相和
'qing'cao'chi'tou'chu'chu'wa 青草池头处处蛙
'qing'chou'wu'yi'zheng'hua'dian 情愁无意整花钿
'qing'chun'bu'ran'bai'zi'xu 青春不染白髭须
'qing'chun'zuo'ban'hao'huan'xiang 青春作伴好还乡
'qing'fang'hu'guang 晴放湖光
'qing'ming'han'shi'shui'jia'ku 清明寒食谁家哭
'qing'ming'hui'ming'ju'ke'guan 晴明晦冥俱可观
'qing'ming'shi'jie'yu'fen'fen 清明时节雨纷纷
'qing'qing'zhi'mai 青青之麦
'qing'que'xi'fei'jing'wei'hui 青雀西飞竟未回
'qing'ren'xie'zhuang'qi'bai'lao 请人写状岂白劳
'qing'shan'yin'yin'shui'tiao'tiao 青山隐隐水迢迢
'qing'yun'lan'xi 庆云烂兮
'qing'yun'mo'dao'gu'ren'duo 青云莫道故人多
'qing'zai'wu'wa'shui'yi'rou 轻载吴娃水亦柔
'qing'zhai'hu'kan'gua'yan'quan 晴斋忽看挂檐泉
'qiu'feng'she'ru'ru'xiang'hu 秋风射入如相呼
'qiu'ju'chun'lan'ge'tu'fang 秋菊春兰各吐芳
'qiu'sheng'jin'ye'wu'tong'shang 秋声今夜梧桐上
'qiu'shui'wei'shen'yu'wei'gu 秋水为神玉为骨
'qiu'yue'chun'feng'deng'xian'du 秋月春风等闲度
'qu'tang'cao'cao'shi'er'tan 瞿塘嘈嘈十二滩
'qu'zhi'bie'lai'jin'ji'zai 屈指别来今几载
'quan'er'ren'min'mo'jie'yuan 劝尔人民莫结怨
'quan'er'ren'min'su'jue'wu 劝尔人民速觉悟
'quan'jun'geng'jin'yi'bei'jiu 劝君更尽一杯酒
'quan'jun'mo'xi'jin'lv'yi 劝君莫惜金缕衣
'quan'jun'mo'zuo'kui'xin'shi 劝君莫作亏心事
'quan'xing'ren 劝行人
'que'shi'tong'pao'bu'de'zhi 却是同袍不得知
'ran'zao'xiang'shi'tai'bai'li 然早相识太白李
'rao'chuan'ming'yue'jiang'shui'han 绕船明月江水寒
'ren'dao'wo'gui'qu'zao 人道我归去早
'ren'qing'shi'shi'ban'bei'huan 人情时事半悲欢
'ren'sheng'huan'hui'qi'you'ji 人生欢会岂有极
'ren'sheng'hui'shao 人生会少
'ren'sheng'jin'de'ji'quan'tou 人生禁得几拳头
'ren'sheng'qiao'cui'sheng'li'nan 人生憔悴生理难
'ren'sheng'zhi'he'si'yang'zhou 人生只合死扬州
'ren'sheng'zi'gu'shui'wu'si 人生自古谁无死
'ren'ta'jin'ao'bei'shang'xing 人踏金鳌背上行
'ren'xin'bu'zu'she'tun'xiang 人心不足蛇吞象
'ren'yan'kuai'yi'nan'de'shi 人言快意难得时
'ren'zong'qi'wo'ren'rang'guo 人纵欺我忍让过
'ri'gu'shen'jia'yu'bu'e 日固甚佳雨不恶
'ri'nuan'fei'hua'jin'bin'si 日暖飞花近鬓丝
'ri'ri'chun'guang'dou'ri'guang 日日春光斗日光
'ri'xi'gui'xin'yin'hu'dong 日夕归心引虎东
'ri'xin'you'ri 日新又日
'ri'zhao'xiang'lu'sheng'zi'yan 日照香炉生紫烟
'rong'yi'shi'chen'lun 容易失沉沦
'ru'bo'he'you'fa'ru'qi 汝伯何由发如漆
'ru'guo'zhong'gui'bai'le'su 如果终归败了诉
'ru'he'zao'wu'ku'duo'cai 如何造物苦多猜
'ru'shi'xiang'shan'ben'lai'mian 汝识香山本来面
'ruo'ba'xi'hu'bi'xi'zi 若把西湖比西子
'ruo'shi'bu'fu'you'shang'su 若是不服又上诉
'ruo'yu'huai'ren'lai'jia'song 若遇坏人来架讼
'ruo'zhi'bai'su'you'zi'qu 若知败诉由自取
'sai'yan'chu'lai'qiu'ying'han 塞雁初来秋影寒
'san'dan'xiao'yao 散诞逍遥
'san'hu'wu'ren'zi'wu'ti 三户无人自乌啼
'san'shi'liu'gong'tu'hua'bi 三十六宫土花碧
'san'yue'san'ri'tian'qi'xin 三月三日天气新
'san'yue'san'wei'wang'yi'shao'suo'you 三月三为王逸少所有
'sao'feng'yue 扫风月
'shan'chuan'jian'zhi 山川间之
'shan'e'dao'tou'zhong'you'bao 善恶到头终有报
'shan'nan'zi'qi 善男子起
'shan'se'kong'meng'yu'yi'qi 山色空濛雨益奇
'shan'se'meng'long'ban'yan'suo 山色朦胧半烟锁
'shan'shui'you'ling'jing'zhi'ji 山水有灵惊知己
'shan'wai'qing'shan'lou'wai'lou 山外青山楼外楼
'shan'weng'qi'shi'shen'long'zhi 山翁岂识神龙志
'shan'zhi'ya 山之涯
'shan'zhong'jiu'zhai'wu'ren'zhu 山中旧宅无人住
'shang'chang'rong'yi'xia'chang'nan 上场容易下场难
'shang'liang'bu'zheng'xia'liang'xie 上梁不正下梁斜
'shang'xin'bu'du'wei'bei'qiu 伤心不独为悲秋
'shang'yu'wei'wu'zhen'shan'he 尚馀威武振山河
'shao'yi'yi'shi'ji'wang'ran 稍一移时即惘然
'she'ce'jun'men'qi'di'yi 射策君门期第一
'shen'qian'shen'hou'si'mang'mang 身前身后思茫茫
'shen'xian'yi'tai'yuan'gui'gui 神仙意态原瑰诡
'shen'xian'zhong'ren'bu'yi'de 神仙中人不易得
'shen'yuan'wu'ren'du'yi'men 深院无人独倚门
'shen'zhou'qi'ren'jiu'lu'shen 神州岂忍久陆沈
'sheng'bu'bu'shi 生不布施
'sheng'bu'xing'le 生不行乐
'sheng'ping'rou'chang'zuo'tie'jian 生平柔肠作铁坚
'sheng'shi'chuan'bu'xiu 盛事传不朽
'sheng'su'bai'su'zhong'jie'yuan 胜诉败诉终结怨
'sheng'su'qie'mo'xiao'kai'yan 胜诉且莫笑开颜
'sheng'wu'suo'cheng'tou'hao'bai 生无所成头皓白
'sheng'yu'ling'bei 生于陵陂
'shi'ban'gong'bei'sao'xiao'suo 事半功倍扫萧索
'shi'dao'can'ji'song'qi'er'shi 释道璨偈颂其二十
'shi'fu'hong'xiao'wei'ye'yu 十幅红绡围夜玉
'shi'ji'wang'qiu'guan'shi'yin 事急枉求观世音
'shi'jia'bu'shi'fo 释迦不是佛
'shi'jian'le'shi'xu'sheng'bei 世间乐事须生悲
'shi'lai'feng'song'teng'wang'ge 时来风送滕王阁
'shi'qing'shui'shi'jiu'lei'chen 世情谁是旧雷陈
'shi'ren'ting'ci'diao'zhu'yan 使人听此凋朱颜
'shi'ru'jing'ji'song'qi'er'shi'liu 释如净偈颂其二十六
'shi'shi'jie'luo'gu'ren'zhi'ke'jiu 事事皆落古人之窠臼
'shi'shi'yuan'lai'jin'shang'hua 世事原来锦上花
'shi'wei'yi'ji'song'qi'wu'shi'san 释惟一偈颂其五十三
'shi'wo'mang'ran'mo'zhi'qi'suo'yi 使我茫然莫知其所以
'shi'wu'ri'yi'hou 十五日已后
'shi'wu'ri'yi'qian 十五日已前
'shi'ye'ru'yun 事业如云
'shi'yue'cha'na 时曰刹那
'shi'yun'er'wang'yi 时运而往矣
'shi'yun'ru'meng'yu'ru'chen 湿云如梦雨如尘
'shou'juan'xia'xu'shang'yu'gou 手捲虾须上玉钩
'shou'pian'shou'qi'you'ke'lian 受骗受欺尤可怜
'shou'yuan'tian'xia'li'nan'shi 手援天下力难恃
'shu'mei'tian'qi'bu'fen'ming 熟梅天气不分明
'shu'wei'wan'gui'hu'shang 舒位晚归湖上
'shu'yu'sao'ren'zhi'sheng'qu 输与骚人知胜趣
'shuang'lin'feng'guo'ye'sheng'qian 霜林风过叶声乾
'shuang'yuan'chi'zhao'shui'rong'rong 双鸳池沼水融融
'shui'bian'yang'liu'chi'lan'qiao 水边杨柳赤阑桥
'shui'chen'su'huo'yan'you'niao 水沉宿火烟犹袅
'shui'ge'chun'han'yin'fu'qing 水阁春寒阴复晴
'shui'jia'yu'di'an'fei'sheng 谁家玉笛暗飞声
'shui'shi'zong'xiang'yi'chu 谁识总相宜处
'shui'shou'song'xia'zhu'can'qi 谁收松下著残棋
'shui'wei'nong'cui'rao'cong'huang 谁谓浓翠绕丛篁
'shui'wen'ru'gu'yan'cha'chi 水纹如谷燕差池
'shui'xin'liu'nian'bin'you'hua 谁信流年鬓有华
'shui'zhi'ya 水之涯
'shun'zhi'yi'you'yi'de'jiu 顺治乙酉宜得酒
'shuo'jing'wei 说精卫
'si'he'yi'xu'shi'wei 死何以虚谥为
'si'he'yong'han'zhu'wei 死何用含珠为
'si'min'he'dao'di'wen'bao 思民何道底温饱
'si'sheng'yi'da'yi 死生亦大矣
'si'si'ru'kou 丝丝入扣
'song'jian'qi'zhi'hua'shan'guan 宋钘奇制华山冠
'song'wan'qiu'ri'ji'tang 宋琬秋日集唐
'song'ze'zhong'xiong'zhi'dao'me 讼则终凶知道么
'su'fo'su'xing'nan'su'gu 塑佛塑形难塑骨
'su'shou'wan'qiu'qian 素手挽秋千
'sui'bu'ceng'lang'yuan'xian'jia'cai'rui'cao 虽不曾阆苑仙家采瑞草
'sun'fen'ji'ju'qi'yan 孙蕡集句七言
'suo'di'ji'wan'li 缩地几万里
'suo'yi'hou'ren'zhi'ge'yue'yi 所以候人之歌曰猗
'suo'you'li'hai'yi'dian'po 所有利害已点破
'suo'zheng'wu'fei'xiao'shi'jian 所争无非小事件
'ta'po'hu'xue'jian'hu'zi 踏破虎穴歼虎子
'tai'bai'ji'chuan'can 太白既传餐
'tai'bai'tian'tong'wo'sui'bu'xiang'shi 太白天童我虽不相识
'tai'jian'qu'qi'kong'kuai'huo 太监娶妻空快活
'tai'zhou'di'kuo'hai'ming'ming 台州地阔海冥冥
'tang'huo'huai'yuan'si'bao'fu 倘或怀怨思报复
'tang'yu'jian'song'geng'chan'mian 倘遇健讼更缠绵
'te'di'lin'yin'zu'you'yi 特地霖淫阻游意
'ti'tang'shui'zhi'tian'xia'shi 倜傥谁知天下士
'tian'hou'ling'qian'mei'zi'bei 天后陵前没字碑
'tian'ji'zhang'wei'lie'zun'zu 天际张帷列樽俎
'tian'jie'shang'bian'fang'gui'qu 天街赏遍方归去
'tian'li'nan'rong'zi'da'ye 天理难容子打爷
'tian'sheng'da'cai'bi'you'yong 天生大才必有用
'tian'shi'ren'shi'liang'nan'heng 天时人事两难衡
'tian'xia'wu'bu'le'zhi'shi 天下无不了之事
'tiao'ge'niao 调歌鸟
'tiao'jin'han'deng'yong'jin'zuo 挑尽寒灯拥襟坐
'tie'bu'bi'mo'lin'he 帖不必摹临河
'tie'tiao'mo'zuo'xiu'hua'zhen 铁条磨作绣花针
'ting'guan'xian 听管弦
'ting'qu'chuang'qian'jiao'ye'sheng 听取窗前蕉叶声
'ting'ting'ting 听听听
'ting'wo'quan 听我劝
'tong'chi'du'dui'ri'zheng'wu 彤墀独对日正午
'tong'tong'xiao'se'shang'lin'lu 曈曈晓色上林庐
'tong'xiang'gong'li'sui'bu'yuan 同乡共里虽不远
'tong'yin'kuang'ge'kong'du'ri 痛饮狂歌空度日
'tou'shang'hua'zhi'zhao'jiu'zhi 头上花枝照酒卮
'tu'bu'bi'fang'shang'he 图不必仿上河
'tu'fu'nian'fo'jia'ci'bei 屠夫念佛假慈悲
'tu'jiang'yi'hui'xiang'bei'feng 徒将一麾向北风
'tu'yue'po'suo 土曰婆娑
'tui'gui'ni'xue'jiu'tao'fu 退归拟学旧桃符
'tuo'xia'zhai'lei'wen'shui'tian 拖下债累问谁填
'wan'cao'qian'hua'dong'ning'bi 万草千花动凝碧
'wan'ju'li 玩菊篱
'wan'ku'qian'xin'dan'wei'han 万苦千辛胆未寒
'wan'li'cang'cang'yan'shui'mu 万里苍苍烟水暮
'wan'li'chang'zheng'ren'wei'huan 万里长征人未还
'wan'li'gui'xin'dui'yue'ming 万里归心对月明
'wan'li'xiang'feng'tan'wo'shou 万里相逢贪握手
'wan'sheng'yuan 万生园
'wan'shi'shang'xin'zai'mu'qian 万事伤心在目前
'wan'shi'shang'xin'zai'yan'qian 万事伤心在眼前
'wan'yan'zou'bi'ru'long'she 万言走笔如龙蛇
'wang'an'shi'song'wu'xian'dao'nan'gui 王安石送吴显道南归
'wang'dong'tai'ping'shi 汪东太平时
'wang'mian'dao'da'jian'shan'ping'zhang 王冕悼达兼善平章
'wang'rong'bao'qiu'xing 汪荣宝秋兴
'wang'shi'peng'dong'hu 王十朋东湖
'wang'shi'zhi'duo'shao 往事知多少
'wang'zhe'bu'ke'jian 往者不可谏
'wei'bi'neng'cao'bi'sheng'quan 未必能操必胜权
'wei'bi'ren'ren'ru'ci'xian 未必人人如此贤
'wei'cheng'chao'yu 渭城朝雨
'wei'lang'qiao'cui'que'xiu'lang 为郎憔悴却羞郎
'wei'shui'ling'luo'wei'shui'kai 为谁零落为谁开
'wei'xi'dang'nian'guang'jing'cu 惟惜当年光景促
'wei'yan'ku'an'ju'shi'jiang'li'zhi 为言哭盦居士将莅止
'wei'you'bie'shi'jin'bu'wang 惟有别时今不忘
'wei'yuan'yang'zhou'hua'fang'qu 魏源扬州画舫曲
'wen'du'lu'men 问杜鲁门
'wen'yu'bie'hen'zhi'duo'shao 问馀别恨知多少
'wo'dui'xi'feng'you'zheng'guan 我对西风犹整冠
'wo'ji'bu'xiang'gui'gu'zhi'xing'ming 我既不详鬼谷之姓名
'wo'ji'qing'xi'si'zai'jin'yi'chang 我记青溪似在今宜昌
'wo'lai'man'yan'shi'qing'shan 我来满眼是青山
'wo'qu'jun'liu'ke'nai'he 我去君留可奈何
'wo'sheng'hao'gu'geng'hao'qi 我生好古更好奇
'wo'sui'sheng'le'ta'bai'le 我虽胜了他败了
'wo'xi'chang'you'ju'yun 我昔尝有句云
'wo'yi'bu'xiang'gui'gu'zhi'zhu'zhi 我亦不详鬼谷之住址
'wo'yi'chang'xie'hu'shang 我亦尝携壶觞
'wo'yi'piao'ran'si'yuan'you 我亦飘然思远游
'wo'yi'qiao'cui'ku'gao 我已憔悴枯槁
'wo'yu'bian'you'xiang'xue'hai 我欲遍游香雪海
'wo'yu'xun'zhi'bu'dan'yuan 我欲寻之不惮远
'wo'zhong'wu'shi'lin 卧冢无石麟
'wu'bai'nian'qian'gong'yi'jia 五百年前共一家
'wu'bei'sheng'yu'gu'ren'hou 吾辈生于古人后
'wu'cao'cao'mao'shi 吾曹草茅士
'wu'fei'jiao'mei 无非娇媚
'wu'hong'mo'liu 吴宖默柳
'wu'hua'wu'jiu'guo'qing'ming 无花无酒过清明
'wu'le'wu'you 无乐无忧
'wu'lv'shan'zai'juan'zhong'jian 巫闾山在卷中间
'wu'ming'shi'gu'yang'guan 无名氏古阳关
'wu'shan'ge'shan'jiu'yin'yuan 舞衫歌扇旧因缘
'wu'shi'fei'ma'yi'fei'niu 吾诗非马亦非牛
'wu'shu'jin'qian'wang'fei'le 无数金钱枉费了
'wu'wei'chun'shou'yang'qu 吴未淳寿阳曲
'wu'wo'he 勿我诃
'xi'cao'chun'xiang'xiao'dong'you 细草春香小洞幽
'xi'duo'diao'tai'peng 喜多钓台朋
'xi'liu'xin'pu'wei'shui'lv 细柳新蒲为谁绿
'xi'mo'qu'kui'shou'shou 希墨渠魁授首
'xi'qiao'pan 溪桥畔
'xi'quan'sheng'kuai'lai 喜全胜快来
'xi'ren'yi'cheng'huang'he'qu 昔人已乘黄鹤去
'xi'shi'zhan'guo'cheng'qi'xiong 昔时战国称七雄
'xi'si'liang 细思量
'xi'yu'xie'feng'chen'diao'lun 细雨斜风趁钓纶
'xi'zhi'men 西直门
'xia'bi'zong'heng'zhuang'jing'wu 下笔纵横状景物
'xian'chao'chuang'zao'zi'you'guan 先朝创造资游观
'xian'ren'yu'nv'hui'yun'che 仙人玉女回云车
'xian'yi'nan'chuang'jin'ri'chou 闲倚南窗尽日愁
'xiang'an'shi'ji'lao'du'ju 项安世集老杜句
'xiang'bo'leng'jin'yi'zhi'lian 湘波冷浸一枝莲
'xiang'liu'yi'zui'ben'wu'qi 相留一醉本无期
'xiang'ru'wei'shi'zhen'xiao'ke 相如未是真消渴
'xiang'shi'fan'su'cuo'bao'chou 想是反苏错报仇
'xiang'xie'yang 向斜阳
'xiang'zi'yin'huan'xi'sha 向子諲浣溪沙
'xiao'bai'chang'hong'yue'nv'sai 小白长红越女腮
'xiao'er'xin'kong'kai 小儿心孔开
'xiao'he'cai'lu'jian'jian'jiao 小荷才露尖尖角
'xiao'huan'hu'wei'ying 小鬟呼未应
'xiao'li'you'hai'xie'pi'ni 笑里又还斜睥睨
'xiao'meng'xia'ji'su'yu 萧梦霞集俗语
'xiao'ping'xian'fang'hua'lian'chui 小屏闲放画帘垂
'xiao'san'wan'liu'qian 销三万六千
'xiao'sha'shan'weng'zui'si'ni 笑杀山翁醉似泥
'xiao'shuo'jia'yan'jiu'shui'shi 小说家言究谁是
'xiao'xi'yu'zhong'tan'zhi'guo 消息雨中弹指过
'xiao'xiao'xing'yun'fu'ri'guang 皛皛行云浮日光
'xie'jue'zai'shui'long'yin 谢觉哉水龙吟
'xie'ri'you'yang'zai'liu'si 斜日悠扬在柳丝
'xie'san'wu'er'ba 携三五二八
'xie'shi'yan'yu'zhong'shi 谢士炎狱中诗
'xie'shou'chu 携手处
'xin'jia'xuan'ci'yun 辛稼轩词云
'xin'ku'wu'huan'rong'bu'li 辛苦无欢容不理
'xin'zhong'xia'huang'hua'san'jing'you'shui'jiao 新种下黄花三径有谁浇
'xing'jiu'fu'shi'shu'wei'yang 行酒赋诗殊未央
'xing'qie'wu'shu'nan'yi'zhi 行箧无书难臆指
'xing'shao'jin'gu'you 幸少金谷友
'xing'sheng'wei'ran'he'chu'hao 形胜巍然何处好
'xing'shi'yi'hua'zhuang'zhi'qian 刑事亦花状纸钱
'xing'yuan'ru'zui'li'sao'qing 醒原如醉离骚情
'xiu'bei'fen'xiang'du'zi'mian 绣被焚香独自眠
'xiu'fan'nao 休烦恼
'xiu'jiang'shi'shi'jian'shen'shi 休将世事兼身事
'xiu'pa'hong'di'duo'can'fang 绣葩红蒂堕残芳
'xu'cheng'min'zhu'zi'you'shi 续成民主自由诗
'xu'guang'da'bai'zhan'sha'chang'qu'hu'bao 许光达百战沙场驱虎豹
'xu'kan'ren'jian'bi'meng'jian 须看人间比梦间
'xu'qin 须亲
'xu'wei'cuo'dao'liu'yuan'ke 虚为错刀留远客
'xue'wu'you'hun'gui'bu'de 血污游魂归不得
'xun'lu'xian'bao 熏炉闲抱
'xun'yang'xiang'shang'bu'tong'chao 浔阳向上不通潮
'ya'bian'bao'dao'su'qu'jing 崖边报道苏区景
'ya'mei'mei'dai'shi'xi'shan 压眉眉黛是西山
'ya'wei'zhi'xiao'ji'xian'jing 鸦未知晓鸡先惊
'yan'bo'jiang'shang'shi'ren'chou 烟波江上使人愁
'yan'di'gu'ren'hu'jin'qi 眼底古人呼尽起
'yan'ge'lan 艳歌阑
'yan'gu'yi'cheng'lan'she'tu 艳骨已成兰麝土
'yan'long'han'shui'yue'long'sha 烟笼寒水月笼沙
'yan'qian'wu'gu'ren 眼前无故人
'yan'wang'bu'shou'gui'wang'man 阎王不受鬼王瞒
'yan'ze'yu'wo'jia 言责于我加
'yan'zi'xian'jiang'chun'se'qu 燕子衔将春色去
'yang'hua'tian'qi'yang'tai'di 养花天气养苔地
'yang'liu'qing'qing'jiang'shui'ping 杨柳青青江水平
'yang'shao'qi'tong'shen'ji'chuan'zuo 杨绍奇同沈济川作
'yang'shen'dian'jiang'chun 杨慎点绛唇
'yang'shen'yi'wang'sun 杨慎忆王孙
'yang'wu'jiu'ye'xing'chuan 杨无咎夜行船
'yao'ren'min'deng'chang 要人民登场
'yao'ren'zuo'zheng'geng'nan'yan 邀人作證更难言
'yao'tao'chuang'xia'bei'hua'mian 夭桃窗下背花眠
'yao'xing'fu'zi'shan'xiao'qiang 妖星复自煽萧墙
'yao'zhi'yang'liu'shi'men'chu 遥知杨柳是门处
'ye'han'nong 夜寒浓
'ye'lai'you'yu'bu'xu'wen 夜来有雨不须问
'ye'tang'kai'jin'piao'xiang'yu 野棠开尽飘香玉
'yi'an'yong'tan'xing'tian 亦安用谈刑天
'yi'bai'wu'ri'dong'feng'qi 一百五日东风起
'yi'ban'hua'wei'peng'ze'xie'chuan'sou 一半化为彭泽斜川叟
'yi'chang'tan'xiao 一场谈笑
'yi'cun'xiang'si'yi'cun'hui 一寸相思一寸灰
'yi'dao'can'yang'pu'shui'zhong 一道残阳铺水中
'yi'dao'chang'hong'suo'bi'liu 一道长虹锁碧流
'yi'dian'shan'ying'zhao'ji'liao 一点山萤照寂寥
'yi'du'xiang'si'yi'duan'chang 一度相思一断肠
'yi'duo'hua'kan'yi'lei'hen 一朵花看一泪痕
'yi'fan'hao 一番好
'yi'fan'qin 一番亲
'yi'ge'ji'chu'qi'yu'qiao 夷歌几处起渔樵
'yi'ji'hong'chen'fei'zi'xiao 一骑红尘妃子笑
'yi'jun'qi'yu'ku'si'liu 忆君祇欲苦死留
'yi'lan'shi 倚阑时
'yi'long'du'ru'gou'long'tang 衣笼笃褥篝笼汤
'yi'lou'kan 倚楼看
'yi'lu'qing'xi'shuang'jiang'po'yan'hua 一路清溪双桨破烟划
'yi'nian'feng'jing'wo'xian'zhi 一年风景我先知
'yi'nian'fu'yi'nian 一年复一年
'yi'pian'hua'fei'jian'que'chun 一片花飞减却春
'yi'qu'xin'ci'jiu'yi'bei 一曲新词酒一杯
'yi'ran'yu'jiao'ru'si'chui 依然雨脚如丝垂
'yi'ren'ru'cheng'gou 衣任汝成狗
'yi'ri'cheng'san'san'ri'jiu 一日成三三日九
'yi'ri'fu'yi'ri 一日复一日
'yi'ri'kan'jin'chang'an'hua 一日看尽长安花
'yi'ri'xu'qing'san'bai'bei 一日须倾三百杯
'yi'sai'cui'cang'xin'si'hui 抑塞摧藏心似燬
'yi'sha'yi'qing'chen 一霎裛轻尘
'yi'shan'ran'zhi'de'lan'pao 衣衫染汁得蓝袍
'yi'shao'yun 逸少云
'yi'shen'er'shen'you'san'shen 一审二审又三审
'yi'shi'zhang'ji'yi'qian'nian 一诗张继已千年
'yi'shu'fan'hua'dui'gu'fen 一树繁花对古坟
'yi'shun'ding'gui'gu'zi'ci 易顺鼎鬼谷子祠
