'a'wei 阿魏
'ai'ye 艾叶
'an'xi'xiang 安息香
'an'you 桉油
'ba'dou 巴豆
'ba'dou'xiang 巴豆箱
'ba'ji'tian 巴戟天
'ba'jiao'hui'xiang 八角茴香
'bai'bian'dou 白扁豆
'bai'bu 百部
'bai'fan 白矾
'bai'fu'zi 白附子
'bai'guo 白果
'bai'he 百合
'bai'ji 白及
'bai'ji'li 白蒺藜
'bai'jiang'can 白僵蚕
'bai'jiang'cao 败酱草
'bai'lian 白蔹
'bai'mao'gen 白茅根
'bai'qian 白前
'bai'shao 白芍
'bai'tou'weng 白头翁
'bai'wei 白薇
'bai'xian'pi 白鲜皮
'bai'zhi 白芷
'bai'zhu 白术
'bai'zi'ren 柏子仁
'ban'bian'lian 半边莲
'ban'lan'gen 板蓝根
'ban'mao 斑蝥
'ban'xia 半夏
'ban'zhi'lian 半枝莲
'bei'dou'gen 北豆根
'bei'sha'shen 北沙参
'bi'ba 荜茇
'bi'cheng'jia 荜澄茄
'bian'xu 萹蓄
'bie'jia 鳖甲
'bing'lang 槟榔
'bing'pian 冰片
'bo'he 薄荷
'bo'he'nao 薄荷脑
'bu'gu'zhi 补骨脂
'cai'fu'zi 菜菔子
'cang'chang'pu 藏菖蒲
'cang'er'zi 苍耳子
'cang'zhu 苍术
'cao'dou'kou 草豆蔻
'cao'guo 草果
'cao'wu 草乌
'cao'wu'ye 草乌叶
'ce'bo'ye 侧伯叶
'chai'hu 柴胡
'chan'su 蟾酥
'chan'tui 蝉蜕
'chang'shan 常山
'che'qian'cao 车前草
'che'qian'zi 车前子
'chen'pi 陈皮
'chen'xiang 沉香
'chi'shao 赤芍
'chi'shi'zhi 赤石脂
'chi'xiao'dou 赤小豆
'chong'bai'la 虫白蜡
'chong'lou 重楼
'chong'wei'zi 茺蔚子
'chu'shi'zi 楮实子
'chuan'bei'mu 川贝母
'chuan'lian'zi 川楝子
'chuan'mu'tong 川木通
'chuan'mu'xiang 川木香
'chuan'niu'xi 川牛膝
'chuan'shan'jia 穿山甲
'chuan'wu 川乌
'chuan'xin'lian 穿心莲
'chuan'xiong 川芎
'chui'pen'cao 垂盆草
'chun'pi 椿皮
'ci'shi 磁石
'ci'wu'jia 刺五加
'da'fu'pi 大腹皮
'da'huang 大黄
'da'ji 大蓟
'da'qing'ye 大青叶
'da'xue'teng 大血藤
'da'zao 大枣
'dan'dou'gu 淡豆鼓
'dan'nan'xing 胆南星
'dan'shen 丹参
'dan'zhu'ye 淡竹叶
'dang'gui 当归
'dang'shen 党参
'dao'dou 刀豆
'dao'ya 稻芽
'deng'xin'cao 灯心草
'di'feng'pi 地枫皮
'di'fu'zi 地肤子
'di'gu'pi 地骨皮
'di'huang 地黄
'di'jin'cao 地锦草
'di'long 地龙
'di'yu 地榆
'dian'qie'cao 颠茄草
'ding'gong'teng 丁公藤
'ding'xiang 丁香
'dong'chong'xia'cao 冬虫夏草
'dong'gua'pi 冬瓜皮
'dong'kui'guo 冬葵果
'dou'kou 豆蔻
'du'huo 独活
'du'zhong 杜仲
'duan'shi'gao 煅石膏
'e'bu'shi'cao 鹅不食草
'e'jiao 阿胶
'e'zhu 莪术
'er'cha 儿茶
'fa'ban'xia 法半夏
'fan'xie'ye 番泻叶
'fang'feng 防风
'fang'ji 防己
'fei'zi 榧子
'fen'bi'xie 粉萆薢
'feng'fang 蜂房
'feng'la 蜂蜡
'feng'mi 蜂蜜
'fo'shou 佛手
'fu'ling 茯苓
'fu'pen'zi 覆盆子
'fu'ping 浮萍
'fu'zi 附子
'gan'cao 甘草
'gan'jiang 干姜
'gan'qi 干漆
'gan'song 甘松
'gan'sui 甘遂
'gao'ben 藁本
'gao'liang'jiang 高良姜
'ge'gen 葛根
'ge'jie 蛤蚧
'ge'ke 蛤壳
'gong'lao'mu 功劳木
'gou'gu'ye 枸骨叶
'gou'ji 狗脊
'gou'qi'zi 枸杞子
'gou'teng 钩藤
'gu'jing'cao 谷精草
'gu'sui'bu 骨碎补
'gu'ya 谷芽
'gua'lou 瓜蒌
'gua'lou'pi 瓜蒌皮
'gua'lou'zi 瓜蒌子
