'ai'bie'li 爱别离
'ao'er'di'si 奥尔迪斯
'ba'la'de 巴拉德
'bao'xiu 保修
'bu'lai'en'ao'er'di'si 布赖恩奥尔迪斯
'bu'rong'fen'ting'kang'li 不容分庭抗礼
'bu'si'yao 不死药
'cai'se'dian'shi'ji 彩色电视机
'chao'dao'xian'quan 超导线圈
'chao'xiao'ru'qiang 潮啸如枪
'chen'chuan 沉船
'da'ke'su'wen 达科苏文
'di'guo'shuang'xing 帝国双星
'di'guo'shuang'xing'yi'bu'su'zhi'ke 帝国双星一不速之客
'di'qiu'li'xian'ji 地球历险记
'di'san'ci'lang'chao 第三次浪潮
'dian'zi'ji'suan'ji 电子计算机
'dui'ce 对策
'fa'dong'ji'dong'zuo'can'shu 发动机动作参数
'feng'shui 风水
'fu'lan'ken'si'tan 弗兰肯斯坦
'gao'ling'min'du'tian'xian'zhen'lie 高灵敏度天线阵列
'ge'lun'bu'shi'ge'sha'gua 哥伦布是个傻瓜
'gen'si'ba'ke 根斯巴克
'hai'ke'shi'kong 骇客时空
'hai'tun'dao 海豚岛
'hai'yin'lai'yin'he'ta'de'xing'chuan'san'bing 海因莱因和他的星船伞兵
'he'lie'bian 核裂变
'hua'hui'yan'jiu'suo 花卉研究所
'huang'jin'gu'shi 黄金故事
'ji'guan'bu'jing'pai 机关布景派
'ji'qi'shi'dai 机器时代
'ji'shu'gu'zhang 技术故障
'ji'xie'gong'lu 机械公路
'kao'cha'di'qiu 考察地球
'ke'huan'shi'jie 科幻世界
'kui'lei'zhu'ren 傀儡主人
'lai'si'li'fei'de'le 莱斯利菲德勒
'lan'xue'ren 蓝血人
'lao'mao 老猫
'li'qun'suo'ju 离群索居
'liu'dao'zhong'sheng 六道众生
'luo'bin'xun 罗宾逊
'luo'bo'te'hai'yin'lai'yin 罗伯特海因莱因
'ma'li'xue'lai 玛丽雪莱
'mai'ke'lu'an 麦克鲁安
'ni'men'zhe'xie'hui'hun'shi 你们这些回魂尸
'qiu'zhuang'shan'dian 球状闪电
'ru'le'fan'er'na 儒勒凡尔纳
'ruan'ke'huan 软科幻
'ruan'ke'huan'yu'ying'ke'huan 软科幻与硬科幻
'shang'ye'zhi'shen 商业之神
'sheng'ming'xian 生命线
'sheng'si'ping'heng 生死平衡
'sheng'tai'xun'huan'xi'tong 生态循环系统
'shu'zi'sheng'ming 数字生命
'si'suo'shi'jian'de'tui'xiao'zhe 思索时间的推销者
'tai'kong'man'you 太空漫游
'tai'kong'qiang'xian 太空抢险
'tan'qing'hua'he'wu 碳氢化合物
'tang'ji'sheng'wu 羰基生物
'te'bie'de'sheng'ri'li'wu 特别的生日礼物
'tian'tang'li'de'pen'quan 天堂里的喷泉
'tong'shi'tian'ya'lun'luo'ren 同是天涯沦落人
'tong'yi'shu'liang'ji 同一数量级
'tou'fa 头发
'xiao'zhen'de'zhen'xing 小镇的振兴
'xing'chuan'san'bing 星船伞兵
'xing'ji'chen'ai 星际尘埃
'xing'ji'zhan'zheng 星际战争
'yi'ba'dao 一把刀
'yi'qi'zhi'shen 遗弃之神
'yi'ye'feng'kuang 一夜疯狂
'yi'yi'ji'duan'pian 意义极短篇
'ying'ke'huan 硬科幻
'yu'la'ma'hui'he 与拉玛会合
'yu'zhou'hang'xing 宇宙航行
'yue'han'ke'lu 约翰克鲁
'zhang'yang'de'jian'die 张扬的间谍
'zhi'li'ren 支离人
'zhu'di'si'mai'li'er 朱迪丝麦里尔
'zi'wai'tan'ce'qi 紫外探测器
