'ao'shui 泑水
'chou'yu 鯈鱼
'dai'shan 带山
'dan'hu'zhi'shan 单狐之山
'feng'feng'shui 逢漨水
'guan'shu 灌疏
'guo'shan 虢山
'he'luo'zhi'yu 何罗之鱼
'hua'cao 华草
'hua'shui 滑水
'hua'yu 滑鱼
'ji'mu 机木
'ling'yang 麢羊
'meng'huai 孟槐
'peng'shui 彭水
'pi'hu'zhi'shui 芘湖之水
'pi'shi 芘石
'qi'yu 鵸余
'qiao'ming'zhi'shan 谯明之山
'qiao'shui 谯水
'qing'bi 青碧
'qing'xiong'huang 青雄黄
'qiu'ru'zhi'shan 求如之山
'shui'ma 水马
'song'bai 松柏
'tuo'tuo 橐驼
'wen'shi 文石
'xi'xi'zhi'yu 習習之鱼
'xiao'shui 嚣水
'zhu'pi'zhi'shui 诸毗之水
'zhuo'guang'zhi'shan 涿光之山
'zong'jiang 棕橿
