'an'ying'sheng'zhuang'sheng'jian 暗影圣装圣剑
'bing'di 冰帝
'bing'dui 冰队
'bing'nan 冰男
'bing'xue'han'shuang 冰雪寒霜
'da'jian 大剑
'du'ma 毒妈
'e'meng'ye'bao 噩梦业报
'ga'li 咖喱
'hei'ga'li 黑咖喱
'huo'ji 火鸡
'ji'hui'xiao'long 积秽骁龙
'ju'du'zhi'chu 剧毒之触
'kuang'qiang 矿枪
'long'dao 龙刀
'luo'ji 洛基
'ming'he'ye'shen 冥河夜神
'mo'shi'ji'jia 殁世机甲
'nai'ma 奶妈
'nao'yi'xue 脑溢血
'ruo'ji 弱鸡
'san'wei'yi'ti 三位一体
'sheng'fu 圣斧
'sheng'jian 圣剑
'sheng'zhuang'bing'xue'han'shuang 圣装冰雪寒霜
'sheng'zhuang'ming'he'ye'shen 圣装冥河夜神
'sheng'zhuang'xie'shen'luo'ji 圣装邪神洛基
'sheng'zhuang'yong'heng'lie'yan 圣装永恒烈焰
'shi'ren 侍刃
'xi'shen'xing 阋神星
'xiao'chou 小丑
'xie'shen'luo'ji 邪神洛基
'ye'bao 业报
'yin'yang 阴阳
'yin'yang'shuang'zi 阴阳双子
'yong'heng'lie'yan 永恒烈焰
