'ai'min'ru'zi 爱民如子
'ba'ba'liu'shi'si'gua 八八六十四卦
'ba'dao'fen'mi'fen 八刀分米粉
'ba'gu'wang'jin'lai'chong'xin'shuo'qi 把古往今来重新说起
'ba'jiu'ling'xu 把酒凌虚
'ba'mu'gong'shang 八目共赏
'ba'ti'yao'yin'shu 八体耀银书
'bai'bai'hong'hong'lv'lv 白白红红绿绿
'bai'guan'zheng'ming 百管争鸣
'bai'hua'bian'di'piao'xiang 百花遍地飘香
'bai'hua'zheng'xiang'yan'yang'hong 百花争向艳阳红
'bai'huo'feng'xing'cai'zheng'yu 百货风行财政裕
'bai'niao'wang'ji 白鸟忘饥
'bai'wen'bu'fan'bai'na'bu'bian 百问不烦百拿不变
'bai'yang'shu'xia'wo'bai'yang 白杨树下卧白羊
'bai'yun'feng 白云峰
'bai'zi'tou 百字头
'ban'ban'hao'wan 般般好玩
'ban'ban'shi'he'leng 般般适合冷
'ban'jiang'yu'huo 半江渔火
'bao'jia'wei'guo'quan'min'you'ze 保家卫国全民有责
'bao'zhu'chuan'xiao'yu 爆竹传笑语
'bao'zhu'liang'san'sheng'ren'jian'shi'sui 爆竹两三声人间是岁
'bao'zhu'yi'sheng'chu'jiu 爆竹一声除旧
'bei'jing'shu'you'guan'you'shu'jing'bei 北京输油管油输京北
'bei'yan'nan'fei 北雁南飞
'bei'zai'qiu'zhi'wei'qi 悲哉秋之为气
'bei'zou'wan'yan 北走蜿蜒
'ben'lai'yan'di 奔来眼底
'bi'an'yu'shou'ying'yu'liu 碧岸雨收莺语柳
'bi'bi'miao'mao'jing'shu'shu 笔壁描猫惊暑鼠
'bi'di'bo'lan 笔底波澜
'bi'hua'kai'bian'si'shi'chun 笔花开遍四时春
'bian'di'hu'yue'long'teng 遍地虎跃龙腾
'bian'duan'jie'can'bei 便断碣残碑
'bian'li'he'fang'yong'shou'ti 便利何妨用手提
'bian'shi'cai'yuan'ri'ri'xing 便是财源日日兴
'bin'zhi'ru'gui 宾至如归
'bing'da'bing 兵打冰
'bing'dong'bing'chuan 冰冻兵船
'bing'fei'dong'tu'xi'mo'dong'xi 并非东涂西抹东西
'bing'kai'bing'qu 冰开兵去
'bo'er'tong'zheng'ri'xin'huan 搏儿童整日心欢
'bo'li'duo'xiao'sheng'yi'xing'long 薄利多销生意兴隆
'bu'chou'xi'yang'qu 不愁夕阳去
'bu'gu'ming'chun'ren'qin'wu'fu 布谷鸣春人勤物阜
'bu'guo'dan'bo'nian 不过淡泊年
'bu'jiao'bai'fa'cui'ren'lao 不教白发催人老
'bu'jue'lou'yan 不觉漏眼
'bu'li'ji'fan'chui'lian 不历几番锤炼
'bu'shi'dong'xi 不是东西
'bu'yu'zhi'yin'zhong'sheng'ju'ji 不遇知音众声俱寂
'bu'yue'ling'bo'qu 步月凌波去
'cai'feng'dian'yong'lian 裁缝店用联
'cai'feng'lao'xu 裁缝老徐
'cai'jian'ru'shi'jian'jian'chen'xin 裁剪入时件件称心
'cai'shi'jiu'ming'gao 蔡氏旧名高
'cai'xian'tian'lai'rui'ri'zhang 彩线添来瑞日长
'cai'yi'dian'yong'lian 裁衣店用联
'cai'yuan'mao'sheng'da'san'jiang 财源茂盛达三江
'cai'yun'zuo'wu'yi 裁云作舞衣
'can'chu'min'jian'ji'ku 参出民间疾苦
'can'wei'tian'xia'chong 蚕为天下虫
'can'yi'jin'qi'ke'huai 惨矣瑾其可怀
'can'yue'ru'gong 残月如弓
'cang'gu'jin'xue'shu 藏古今学术
'cang'nei'chang'cun'wan'shi'liang 仓内常存万石粮
'cao'bian'bu'fa'qian'li'ma 槽边不乏千里马
'cao'dian'xin'shu'ci'lin'xin'shang 草店新书词林欣赏
'ceng'ceng'kong'ming 层层孔明
'cha'gun'fu'zhong'xuan'que'she 茶滚釜中喧雀舌
'chai'men'sui'di'chu'ren'cai 柴门虽低出人才
'chan'mian'dong'ke'xin 缠绵动客心
'chang'bei'bu'xie'ku'lian'guo'ying'ben'ling 常备不懈苦练过硬本领
'chang'fa'chang'fa'zhang'chang'fa 长发长发长长发
'chang'jin'zhang'nei'nv'zi'hao 长巾帐内女子好
'chang'lai'jie'shi'kou 尝来皆适口
'chang'men'qi'hu 阊门启户
'chang'tan'hua'shi'liang'ye'sheng'feng 畅谈画事两腋生风
'chang'tu'xia're 长途夏热
'che'ting'shui'zhi 车停水止
'chen'jie'zhong'ru'shan 臣节重如山
'chen'lie'qi'zhen'lai'hai'guo 陈列奇珍来海国
'chen'pi'bu'neng'qiao'ban'xia 陈皮不能敲半下
'chen'xie'yu'luo'zhou 趁蟹屿螺州
'chen'yi'zhu 沉一渚
'cheng'feng'yang'fan'yu'ge'teng'lang 乘风扬帆渔歌腾浪
'cheng'xiang'ke'huo'fen'zhi'ta'lai 城乡客货纷至沓来
'chi'bian'he'pan'ya'da'e'fei 池边河畔鸭大鹅肥
'chi'chou'wo'suan'ji'chan'chu'cai 持筹握算积产储财
'chi'jin'cao'yi'wei'lv 吃尽草以为驴
'chi'liang'tu'di'di'chang'chi 尺量土地地长尺
'chi'mei'wang'liang'si'xiao'gui 魑魅魍魉四小鬼
'chi'xi'gua'pi'xiang'dong'shuai 吃西瓜皮向东甩
'chong'chong'die'die'shan 重重叠叠山
'chong'guang'ri'yue'xing'yu'chang'shi 重光日月幸遇昌时
'chu'bang'yu'tai'yi'gua'yue 初傍玉台疑挂月
'chu'chu'chun'guang'hao 处处春光好
'chu'chu'ming'ming'xiu'xiu 处处明明秀秀
'chu'chu'tao'hua'pin'song'nuan 处处桃花频送暖
'chu'chu'xiang'shan'bai'le'tian 处处香山白乐天
'chu'chu'xun'xun'mi'mi 处处寻寻觅觅
'chu'dui'yi 出对易
'chu'ji'yu'bo'xiang'fu'shao'yao 储积玉钵香浮芍药
'chu'pin'bi'jing'jia'lian'wu'mei 出品必精价廉物美
'chu'xu'bu'xian'cun'qian'shao 储蓄不嫌存钱少
'chuan'dong'zhuang 穿冬装
'chuan'zai'huo'wu'huo'zhong'chuan 船载货物货重船
'chuan'zai'lu'lu'yao'chuan 船载橹橹摇船
'chuang'han'lv'shui'ya'e'dui'dui'xi'yin'bo 窗含绿水鸭鹅队队戏银波
'chui'chui'da'da'qiao'qiao 吹吹打打敲敲
'chun'cao'man'ting'tu'xiu 春草满庭吐秀
'chun'dao'bi'tao'shu'shang 春到碧桃树上
'chun'dao'guang'rong'ren'jia 春到光荣人家
'chun'dao'shan'xiang'chu'chu'xi 春到山乡处处喜
'chun'feng'chun'yu'chun'se 春风春雨春色
'chun'feng'tao'li'qiu'yu'ba'jiao 春风桃李秋雨芭蕉
'chun'feng'yao'ye'song'ying'hou 春风摇曳送莺喉
'chun'guang'bian'cao'mu 春光遍草木
'chun'gui'liu'ye'xin 春归柳叶新
'chun'hui'da'di 春回大地
'chun'hui'da'di'qian'feng'xiu 春回大地千峰秀
'chun'hui'you'hong'wan'duo'hua 春晖又红万朵花
'chun'lai'niao'yu'hua'xiang 春来鸟语花香
'chun'lai'shen'ru'hua'tu'zhong 春来身入画图中
'chun'lian'wan'hu'geng'xin 春联万户更新
'chun'liu'shi'fan'luo'hua'xiang 春流时泛落花香
'chun'man'qin'lao'men'di 春满勤劳门第
'chun'man'ren'jian'fu'man'men 春满人间福满门
'chun'nuan'feng'he'ri'li 春暖风和日丽
'chun'qing'ji'liu'se 春情寄柳色
'chun'se'man'ren'jian 春色满人间
'chun'shan'fu'cui'gui'yue'shuang'yuan 春山浮翠桂月双圆
'chun'tao'qiu'ju'fei'ping'zhang 春桃秋菊费平章
'chun'xia'qiu'dong 春夏秋冬
'chun'xiao'yi'ke'zhi'qian'jin 春宵一刻值千金
'chun'yu'sa'lai'wan'xiang'xin 春雨洒来万象新
'chun'zhu'niao'sheng'lai 春逐鸟声来
'chun'zhuang'zu'guo'chun'bu'lao 春妆祖国春不老
'chun'zi'han'mei'huan'qi 春自寒梅唤起
'ci'di'an'neng'chang'zhu 此地安能常住
'ci'mu'shou'zhong'si'si'zhi'bu 慈母手中丝丝织补
'ci'mu'wei'chai 此木为柴
'ci'mu'wei'chai'shan'shan'chu 此木为柴山山出
'ci'qu'xi'ying'tian'shang'you 此曲吸应天上有
'ci'shi'chun'hua'qiu'shi'shi'ye 此是春华秋实事业
'cong'ci'qian'hou'bu'de'jian'gu 从此前后不得兼顾
'cu'mao'ye'shou'shi'xian'sheng 粗毛野兽石先生
'cuan'bei'fang 窜北方
'cui'cui'hong'hong'chu'chu'ying'ying'yan'yan 翠翠红红处处莺莺燕燕
'cun'tu'wei'si 寸土为寺
'cun'you'niao'ren'ge 村幽鸟任歌
'da'cai'liu'zuo'dong'liang 大材留作栋梁
'da'di'chun'guang'hao 大地春光好
'da'di'chun'hui'fang'mian'hua 大地春回放面花
'da'di'shan'chuan'sheng'bi'di 大地山川生笔底
'da'li'zhong'gao'guan 大礼重高冠
'da'xiao'jie'xi'hei'bai'cai 大小姐洗黑白菜
'da'yi'shi'shou 大意失手
'dai'xia'mao 戴夏帽
'dan'ge'cheng'zhan 单戈成战
'dan'ge'zuo'zhan 单戈作战
'dan'nong'jun'ke'ru'ren'yi 淡浓均可如人意
'dan'qing'gu'mei'liu'zhen'ji 丹青古美留真迹
'dan'qing'shi'shan'shui 丹青饰山水
'dan'zhuang'nong'mo'tiao'xin'se 淡妆浓抹调新色
'dan'zi'huo'shi'jia'jia'wang 但资火食家家旺
'dang'bing'fu'yi'man'yuan'zeng'guang 当兵服役满院增光
'dang'zhi'tian'xia'ben'wu'qi'wu 当知天下本无弃物
'dao'cao'zha'yang'fu'bao'zi 稻草扎秧父抱子
'dao'chu'shan'huan'hai'xiao 到处山欢海笑
'dao'zhe'mo'lai'dao'zhe'lai 盗者莫来道者来
'deng'deng'ru'shi'lai 登登入室来
'deng'long'long'deng 灯笼笼灯
'deng'shen'cun'si'zhong 灯深村寺钟
'deng'xi'shan'xi'shan'wu'xi 登锡山锡山无锡
'di'fei'wu'gu'feng 地肥五谷丰
'di'feng'wu'fu'min'huan 第丰物阜民欢
'di'nong'mei'hua'qu 笛弄梅花曲
'di'nuan'hua'chang'fa 地暖花长发
'di'pi'liu'mang'de'mo'cao'guang 地痞流氓地磨草光
'di'qing'nan'bi'xiao'he 笛清难比萧和
'di'shang'xin 地上薪
'di'shang'yue'ban 地上月半
'di'wai'bo'guang'wan'li'bi 堤外波光万里碧
'di'zi'xing'lu'chi'dong'xi 弟子行路吃东西
'dian'deng'deng'ge'ge'gong'shu 点灯登阁各攻书
'dian'dian'qing'zhou'teng'ju'lang 点点轻舟腾巨浪
'dian'shi'kan'cheng'wu'cai'wen 点石刊成五彩文
'dian'zhui'xie'cui'yu'dan'xia 点缀些翠羽丹霞
'die'fen'mi'xiang'xu'xu'ru'meng 蝶粉迷香栩栩入梦
'ding'ding'dong'dong'quan 叮叮咚咚泉
'ding'xiang'hua 丁香花
'dong'bi'tu'shu'fu 东壁图书府
'dong'che'gu'jin'qing 洞彻古今情
'dong'chuan'jin'xi'chuan'jin 东川锦西川锦
'dong'er'dian'dong'xi'san'dian'sa 东二点冻西三点洒
'dong'feng'chui'chu'qian'shan'lv 东风吹出千山绿
'dong'feng'chui'nuan'ying'xiong'men'di 东风吹暖英雄门第
'dong'feng'ying'xin'sui 东风迎新岁
'dong'lai'chang'ban'you'qing'feng 动来常伴有清风
'dong'qu'shan'ming'shui'xiu 冬去山明水秀
'dong'qu'shan'qing'shui'xiu 冬去山青水秀
'dong'qu'you'liu'shi'yi'zai 冬去犹留诗意在
'dong'ting'chun'se'sheng'ya'ri'jia 洞庭春色生涯日佳
'dong'xi'nan'bei 东西南北
'dong'xue'yu'bai'qian'li'cao 冬雪欲白千里草
'dong'yu'sa'chuang 冻雨洒窗
'dou'fu'yu'cang'yan'luo'zhao 都付与苍烟落照
'dou'jiao'yu'dou'jiao'dou'jiao 豆角与豆角斗角
'dou'lin'jian'liang'die'dou 斗林间两蝶斗
'du'de'yuan'zhen'ru'ci'qiao 度得鸳针如此巧
'duan'duan'liang'chang 短短量长
'dui'dui'nan 对对难
'duo'ji'fei'wu'gu'feng'deng 多积肥五谷丰登
'duo'zhong'duo'yang'bie'kai'sheng'mian 多种多样别开生面
'er'dian'shui 二点水
'er'san'si'wu'que'yi 二三四五缺衣
'er'yuan'duan'mu'shen'shan'zhong 二猿断木深山中
'fa'chang'fa'chang'fa'fa'chang 发长发长发发长
'fa'guo'he'lan'bi'li'shi 法国荷兰比利时
'fan'chang'jiang'dao'tian'chang 范长江到天长
'fan'fan'zheng'zheng 反反正正
'fan'xiang'cai'mei 饭香菜美
'fan'zheng'yi'yang 反正一样
'fang'chu'wan'ji'yun 纺出万机云
'fang'guo'ke'guo'guan 放过客过关
'fang'xing'chi'ke'sui'shen'dai 放行尺可随身带
'fang'you'wu'di'bu'sheng'xiang 房幽无地不生香
'fei'fei'shi'shi 非非是是
'fei'guo'min'xue'han'yi'kou'yi 费国民血汗已口亿
'fei'jin'yi'shan'xin'li 费尽移山心力
'fei'zhen'wo'bei'bu'qing'wei'xin 非真我辈不青维新
'fen'kai'chu'lu'liang'chong'shan 分开出路两重山
'fen'pian'qie'gua 分片切瓜
'fen'qi'hai'dei'du'liang'shu 奋起还得读良书
'fen'tian'hua'qi'xi'ren'lai 粉添花气袭人来
'fen'wai'wu'qiu 份外无求
'feng'bu'dong 峰不动
'feng'chui'dou'jiao 风吹豆角
'feng'chui'feng 风吹蜂
'feng'chui'feng'dong 风吹枫动
'feng'chui'feng'dong'feng'bu'dong 风吹枫动峰不动
'feng'chui'la'zhu 风吹蜡烛
'feng'chui'qiao'dong'qiao'bu'dong 风吹荞动桥不动
'feng'chui'yang'liu'qian'men'lv 风吹杨柳千门绿
'feng'fan'mu'zai'jin'lin'gui 风帆暮载锦鳞归
'feng'feng'yu'yu 风风雨雨
'feng'feng'yu'yu'nian'nian'mu'mu'zhao'zhao 风风雨雨年年暮暮朝朝
'feng'jing'zhe'bian'du'hao 风景这边独好
'feng'jiu'sheng 凤九声
'feng'pu'di 蜂扑地
'feng'shan'shan'feng'feng'chu'shan 风扇扇风风出扇
'feng'shang'feng 峰上枫
'feng'shang'zai'feng 峰上栽枫
'feng'xi'feng'fei 风息蜂飞
'feng'xiao'mo'sai'yu 烽销漠塞榆
'feng'yi'lan'qi'ru 风移兰气入
'fo'jiao'qing'quan 佛脚清泉
'fu'fu'zi'zi 父父子子
'fu'jin'shi'zi'jin'shi 父进士子进士
'fu'jin'tu'zi'jin'tu 父进土子进土
'fu'li'wan'min 福利万民
'fu'man'ren'jian 福满人间
'fu'shui'yuan'lin'ping'quan'hua'mu 富水园林平泉花木
'fu'wu'zi 父戊子
'fu'yun'zhang'chang'zhang'chang'zhang'chang'chang'xiao 浮云长长长长长长长消
'fu'ze'bai'xing'fang'wei'hao 福泽百姓方为好
'fu'zi'tong'jin'shi 父子同进士
'fu'zi'tong'jin'tu 父子同进土
'fu'zi'wu'zi 父子戊子
'gang'tie'chang'cheng'jian'bu'ke'cui 钢铁长城坚不可摧
'gao'ai'zi'chi're'liang'fen 高矮子吃热凉粉
'gao'gao'xia'xia'shu 高高下下树
'gao'peng'ya'hui'ren'xuan'shan'zhen 高朋雅会任选山珍
'gao'ren'yun'shi 高人韵士
'gao'tian'dong'qu'su'wan'wu 高天冬去苏万物
'gao'ya'gu'jian'qian'nian'shou 高崖古涧千年寿
'ge'fei'ge'bu'fei 鸽飞阁不飞
'ge'ge'kong'ming'zhu'ge'liang 个个孔明诸葛亮
'ge'luo'ge 阁落鸽
'geng'pin'tian'wei'di 更频天苇地
'geng'tian'bu'yong'suo'yi'zhe 耕田不用蓑衣着
'geng'xi'chun'feng'man'mian'sheng 更喜春风满面生
'gong'chang'zhang'you'you'shuang 弓长张又又双
'gong'chen'xi'bao'men'di'sheng'hui 功臣喜报门第生辉
'gong'dui'yi'zun'jiu 共对一樽酒
'gong'men'tao'li'zheng'rong'ri 公门桃李争荣日
'gong'qing'chun'hui'da'di 共庆春回大地
'gong'ying'san'can'wo'you'gong 供应三餐我有功
'gong'yue'dan'ping'jian'wen'xi'bei 公月旦评见闻悉备
'gong'zuo'hao'fan'bu'zhou'yao'fen'qing 工作浩繁步骤要分清
'gou'ken'he'shang'gu 狗啃河上骨
'gou'qu'jie'wang'you'shui'jie'qing 沟渠结网有水皆清
'gu'jia'jia'gu 鼓架架鼓
'gu'jian'ao'zhong'yin'chang'man 古涧凹中引长蔓
'gu'ke'yun'ji'shi'sheng'huan 顾客云集市声欢
'gu'nai'guo'zhi'bao 谷乃国之宝
'gu'yue'qing'sheng'ping 鼓乐庆升平
'gu'zhi'ying'huang'lin'jin'tie 古纸硬黄临晋帖
'gua'gong'fu'sang 挂弓扶桑
'gua'gua'qian'kun'yi'ding 卦卦乾坤已定
'guan'guan'chi 关关迟
'guang'bo'li'zhou 光波利州
'guang'hua'neng'zhao'cheng 光华能照乘
'guang'hui'da'di'chun 光辉大地春
'guang'ming'zhu'chu'qian'qiu'jian 光明铸出千秋鉴
'guang'sheng'xiu'mu'feng'xue'nan'qin 光生朽木风雪难侵
'guang'wu'qi'zi'han'zhong 光舞起自汉中
'guang'zhao'tian'bian'yue 光照天边月
'gui'gui'fan'bian 鬼鬼犯边
'gui'tai'nei'wai'zhang'zhang'xiao'lian'ying'chun 柜台内外张张笑脸迎春
'gui'zhou'po'lang'jin'lin'man'cang 归舟破浪锦鳞满仓
'guo'dan'bo'nian 过淡泊年
'guo'feng'an'ding'bai'shi'hao 国逢安定百事好
'guo'qiang'jia'fu'ren'shou 国强家富人寿
'guo'qiang'min'fu'nian'feng 国强民富年丰
'guo'ran'yi'dian'bu'xiang'gan 果然一点不相干
