'a'bi'ji 阿蓖姬
'a'li 阿篱
'a'pi'gong'zhu 阿毘公主
'ai'de'ou'ge 爱的讴歌
'ao'yi 奥义
'ao'yi'cang'long'po 奥义苍龙破
'ao'yi'jie'chuan 奥义皆传
'ao'yi'luan'wu 奥义乱舞
'bai'jiao 白角
'bai'tong'zi 白童子
'bai'xin'shang'ren 白心上人
'bai'zu'shang'ai 百足上蔼
'ban'yao 半妖
'bao'liu'po 爆流破
'bao'sui'ya 爆碎牙
'bei'tiao'jun 北条君
'bei'tiao'qiu'shi 北条秋时
'bei'tiao'tong'xue 北条同学
'bei'yun'wu'nv'jie'geng 悲运巫女桔梗
'bi'ye'wei'le'ming'tian'shuo'zai'jian 毕业为了明天说再见
'bu'mei 步美
'cang'long'po 苍龙破
'cao'tai 草太
'cha'cha 叉叉
'cha'mi 叉迷
'cha'na'meng'wan 刹那猛丸
'chang'pu 菖蒲
'chao'yue'shi'kong'de'si'nian 超越时空的思念
'chao'yue'shi'kong'zhi'huan'xiang 超越时空之幻想
'chi'tian'cheng 池田成
'chi'tian'fan'mei 池田繁美
'chi'zi 赤子
'chu'yao'shi 除妖师
'cong'yun'ya 丛云牙
'cun'de'yi'ri 村的一日
'dao'dao'zhai 刀刀斋
'de'chuan'jia'kang 德川家康
'di'nian'er 地念儿
'dou'gui'shen 斗鬼神
'dou'ya'wang 斗牙王
'du'hua'zhao 毒华爪
'e'zuo'ju'zhi'wen 恶作剧之吻
'fei'lai'gu 飞来骨
'fei'ren'xue'zhao 飞刃血爪
'fei'yao'e 飞妖蛾
'feng'xue 风穴
'feng'yin'zhi'jian 封印之箭
'feng'yin'zhi'shi 封印之矢
'feng'zhi'shang 风之伤
'gang'ya 钢牙
'gao'qiao'liu'mei'zi 高桥留美子
'ge'wei 戈薇
'gui'nv 鬼女
'gui'zhi'zhu 鬼蜘蛛
'he'hun 和魂
'hei'se'tie'sui'ya 黑色铁碎牙
'hong'lian'zhi'peng'lai'dao 红莲之蓬莱岛
'hong'se'tie'sui'ya 红色铁碎牙
'hu'po 琥珀
'huan'ying'sha 幻影杀
'huang'hun 荒魂
'hui'dao'fang 灰刀坊
'hui'li 绘理
'huo'shu'qiu 火鼠裘
'jie'geng 桔梗
'jin'gang'qiang'po 金刚枪破
'jin'gang'qiang'po 金钢枪破
'jing'hua'zhi'shi 净化之矢
'jing'zhong'de'meng'huan'cheng 镜中的梦幻城
'ju'dian 桔殿
'ju'mi 桔迷
'ju'wei 桔薇
