'si'gui'yi 四归一
'si'lian'ke 四连刻
'si'ren'ma'jiang 四人麻将
'si'shun'zi 四顺子
'si'tiao 四条
'si'wan 四万
'tian'he 天和
'tian'hu 天和
'tong'san'ju 同三句
'tong'shun 同顺
'tong'si'ju 同四句
'tui'bu'dao 推不倒
'wu'cai'shen 无财神
'wu'fan'he 无番和
'wu'fan'hu 无番和
'wu'men'qi 五门齐
'wu'zi 无字
'xi'feng 西风
'xi'feng'quan 西风圈
'xi'pai 洗牌
'xi'xiang'feng 喜相逢
'xiao'he 小和
'xiao'san'yuan 小三元
'xiao'si'feng'hui 小四风会
'xiao'si'xi 小四喜
'xiao'yu'wu 小于五
'xie'po 斜坡
'yan'jing 眼镜
'yao'ji 幺鸡
'yao'jiu'ke 幺九刻
'yao'jiu'pai 幺九牌
'yi'ban'gao 一般高
'yi'bei'kou 一杯口
'yi'bing 一饼
'yi'pai 役牌
'yi'pao'duo'xiang 一炮多响
'yi'pao'liang'xiang 一炮两响
'yi'pao'san'xiang 一炮三响
'yi'se'san'bu'gao 一色三步高
'yi'se'san'jie'gao 一色三节高
'yi'se'san'tong'shun 一色三同顺
'yi'se'shuang'long'hui 一色双龙会
'yi'se'si'bu'gao 一色四步高
'yi'se'si'jie'gao 一色四节高
'yi'se'si'shun 一色四顺
'yi'se'si'tong'shun 一色四同顺
'yi'tiao 一条
'yi'tiao'long 一条龙
'yi'ting'yi'hu 一听一和
'zeng'qiang'ren'min'ti'zhi 增强人民体质
'zha'hu 诈和
'zhi'qu'sheng'chen'gang 智取生辰纲
'zhong'fa'bai 中发白
'zhuo'zi 桌子
'zi'mo 自摸
'zi'mo'hu 自摸和
'zi'yi'se 字一色
'zu'he'long 组合龙
'zuo'zhuang 坐庄
