'an'neng'liang 暗能量
'an'wu'zhi 暗物质
'bao'zhang 暴涨
'bao'zhang'li'lun 暴涨理论
'bao'zhang'mo'xing 暴涨模型
'bao'zhang'yu'zhou'xue 暴涨宇宙学
'bao'zhang'zi 暴涨子
'bian'sheng'su 变声速
'biao'du 标度
'biao'du'bu'bian'xing 标度不变性
'biao'du'yin'zi 标度因子
'biao'guan'shi'jie 表观视界
'biao'liang'mo'shi 标量模式
'biao'liang'rao'dong 标量扰动
'biao'liang'zhang'luo 标量涨落
'bo'er'zi'man'fang'cheng 玻耳兹曼方程
'chao'xin'xing 超新星
'chi'du'yin'zi 尺度因子
'chu'shi'jie 出视界
'ci'dan'ji 磁单极
'da'bao'zha 大爆炸
'da'chang 大场
'da'chang'bao'zhang 大场暴涨
'dan'chang 单场
'dan'chang'bao'zhang 单场暴涨
'dan'chang'bao'zhang'mo'xing 单场暴涨模型
'dan'ji 单极
'deng'jia'yuan'li 等价原理
'du'gui'li'lun 度规理论
'du'gui'rao'dong 度规扰动
'duo'chang 多场
'duo'chang'bao'zhang 多场暴涨
'duo'chang'bao'zhang'mo'xing 多场暴涨模型
'duo'ji'ju 多极矩
'duo'ji'ju'fu'she 多极矩辐射
'duo'pu'le'xiao'ying 多普勒效应
'duo'shi'jie 多世界
'duo'yu'zhou 多宇宙
'er'jie'rao'dong 二阶扰动
'fei'gao'si 非高斯
'fei'gao'si'xing 非高斯性
'fei'xian'xing'rao'dong 非线性扰动
'fu'li'de'man'fang'cheng 弗里德曼方程
'fu'she 辐射
'fu'she'wei'zhu'shi'qi 辐射为主时期
'ga'ma'she'xian 伽马射线
'ga'ma'she'xian'bao 伽马射线暴
'gao'jie'dao'shu 高阶导数
'gao'jie'dao'shu'yin'li 高阶导数引力
'gao'si'fen'bu 高斯分布
'gao'si'xing 高斯性
'ge'xiang'tong'xing 各向同性
'ge'xiang'yi'xing 各向异性
'gong'dong 共动
'gong'dong'gui'fan 共动规范
'gong'dong'qu'lv'rao'dong 共动曲率扰动
'gong'dong'zuo'biao 共动坐标
'gong'lv'pu 功率谱
'gong'lv'pu'han'shu 功率谱函数
'gong'zhen'xi'shou 共振吸收
