'bi'bao 闭包
'bian'li 遍历
'bian'liang 变量
'bian'liang'ti'sheng 变量提升
'bu'er 布尔
'chang'du 长度
'chang'liang 常量
'cheng'yuan'fang'wen 成员访问
'chu'shi'hua 初始化
'di'gui 递归
'ding'yi 定义
'dui'xiang 对象
'fan'hui'zhi 返回值
'fan'xiang'bian'li 反向遍历
'fen'zhi'jie'gou 分支结构
'fu'zhi 赋值
'gou'zao'qi 构造器
'han'shu 函数
'han'shu'biao'da'shi 函数表达式
'han'shu'diao'yong 函数调用
'han'shu'qian'tao 函数嵌套
'han'shu'ti'sheng 函数提升
'han'shu'zuo'yong'yu 函数作用域
'jian'zhi'dui 键值对
'ju'bu'bian'liang 局部变量
'ju'bu'zuo'yong'yu 局部作用域
'kuai'ji'zuo'yong'yu 块级作用域
'mian'xiang'dui'xiang 面向对象
'ming'ming'han'shu 命名函数
'mo'kuai'hua 模块化
'nei'zhi'dui'xiang 内置对象
'ni'ming'han'shu 匿名函数
'quan'ju'bian'liang 全局变量
'quan'ju'han'shu 全局函数
'quan'ju'zuo'yong'yu 全局作用域
'sheng'ming 声明
'shi'can 实参
'shu'zhi 数值
'shu'zu 数组
'si'you'bian'liang 私有变量
'si'you'cheng'yuan 私有成员
'si'you'han'shu 私有函数
'suo'yin'zhi 索引值
'tiao'jian'pan'duan'yu'ju 条件判断语句
'tong'bu 同步
'wei'ding'yi 未定义
'wei'fu'zhi 未赋值
'wei'sheng'ming 未声明
'wei'shu'zu 伪数组
'xing'can 形参
'xun'huan'yi'lai 循环依赖
'xun'huan'yin'yong 循环引用
'xun'huan'yu'ju 循环语句
'yi'bu 异步
'yi'lai 依赖
'yu'jie'xi 预解析
'yuan'xing'dui'xiang 原型对象
'yuan'xing'lian 原型链
'zi'diao'yong'han'shu 自调用函数
'zi'ding'yi 自定义
'zi'fu'chuan 字符串
'zuo'yong'yu 作用域
'zuo'yong'yu'lian 作用域链
