'an'wu'yu 俺物语
'bei'chuan'li'nai 北川里奈
'da'he 大和
'da'he'lin'zi 大和凛子
'dao'qi'xin'chang 岛崎信长
'fu'shan'run 福山润
'gang'tian'bai'he'zi 刚田百合子
'gang'tian'feng 刚田丰
'gang'tian'meng'nan 刚田猛男
'ji'sui'fan'she 脊髓反射
'ji'ying'gao'xiao 集英高校
'jia'mu'chun'mi 榎木淳弥
'jiang'kou'tuo'ye 江口拓也
'jing'shang'xi'jiu'zi 井上喜久子
'lang'chuan'da'fu 浪川大辅
'li'yuan'xiu 栗原修
'mao'ye'ai'yi 茅野爱衣
'meng'nan 猛男
'pan'hui'mei 潘惠美
'qian'tian'ling'nai 前田玲奈
'qing'mu'he'dai 青木和代
'sha'chuan 砂川
'sha'chuan'ai 砂川爱
'sha'chuan'cheng 砂川诚
'shan'qi'cai'cai'zi 山崎菜菜子
'tian'hai'you'ji'hua 天海悠纪华
'xi'cheng'zhong'li'ya 西城中里亚
'xiao'quan'nv'zi'xue'yuan 小泉女子学园
'xuan'tian'zhe'zhang 玄田哲章
'yi'zhi'lai'guang'ji 一之濑光基
'zhi'tian'sun'ren 织田隼人
