'a'wei 阿魏
'ai'di'cha 矮地茶
'ai'pian 艾片
'ai'ye 艾叶
'an'xi'xiang 安息香
'ba'dou'shuang 巴豆霜
'ba'ji'rou 巴戟肉
'ba'ji'tian 巴戟天
'ba'jiao'feng 八角枫
'ba'jiao'hui'xiang 八角茴香
'ba'qia 菝葜
'bai'bian'dou 白扁豆
'bai'bu 百部
'bai'cao'shuang 百草霜
'bai'fan 白矾
'bai'guo'ren 白果仁
'bai'he 百合
'bai'hu'jiao 白胡椒
'bai'hua'cai'zi 白花菜子
'bai'ji 白及
'bai'jiang'cao 败酱草
'bai'jie'zi 白芥子
'bai'lian 白蔹
'bai'mao'gen 白茅根
'bai'mei'hua 白梅花
'bai'qian 白前
'bai'qu'cai 白屈菜
'bai'shao 白芍
'bai'tou'weng 白头翁
'bai'wei 白薇
'bai'xian'pi 白鲜皮
'bai'yao'zi 白药子
'bai'ying 白英
'bai'zhi 白芷
'bai'zhu 白术
'bai'zi'ren 柏子仁
'bai'zi'ren'shuang 柏子仁霜
'ban'bian'lian 半边莲
'ban'lan'gen 板蓝根
'ban'li'ke 板栗壳
'ban'zhi'lian 半枝莲
'bei'chai'hu 北柴胡
'bei'dou'gen 北豆根
'bei'han'shui'shi 北寒水石
'bei'liu'ji'nu 北刘寄奴
'bei'sha'shen 北沙参
'bi'ba 荜茇
'bi'cheng'qie 荜澄茄
'bi'ma'zi 蓖麻子
'bian'dou'hua 扁豆花
'bian'xu 萹蓄
'bie'jia 鳖甲
'bie'jia'jiao 鳖甲胶
'bing'lang 槟榔
'bing'pian'he'cheng'long'nao 冰片合成龙脑
'bo'he 薄荷
'bu'gu'zhi 补骨脂
'bu'zha'ye 布渣叶
'can'sha 蚕沙
'cang'er'zi 苍耳子
'cang'zhu 苍术
'cao'dou'kou 草豆蔻
'cao'guo'ren 草果仁
'cao'wu'ye 草乌叶
'ce'bai'tan 侧柏炭
'ce'bai'ye 侧柏叶
'chan'ku'xing'ren 燀苦杏仁
'chan'shan'tao'ren 燀山桃仁
'chan'su'fen 蟾酥粉
'chan'tao'ren 燀桃仁
'chan'tui 蝉蜕
'chang'shan 常山
'chao'bai'bian'dou 炒白扁豆
'chao'bai'guo'ren 炒白果仁
'chao'bai'shao 炒白芍
'chao'bing'lang 炒槟榔
'chao'cang'er'zi 炒苍耳子
'chao'chang'shan 炒常山
'chao'chong'wei'zi 炒茺蔚子
'chao'chuan'lian'zi 炒川楝子
'chao'dao'ya 炒稻芽
'chao'gu'ya 炒谷芽
'chao'gua'lou'zi 炒瓜蒌子
'chao'hei'zhi'ma 炒黑芝麻
'chao'hua'jiao 炒花椒
'chao'huai'hua 炒槐花
'chao'huo'ma'ren 炒火麻仁
'chao'ji'li 炒蒺藜
'chao'ji'nei'jin 炒鸡内金
'chao'jiang'can 炒僵蚕
'chao'jie'zi 炒芥子
'chao'jiu'xiang'chong 炒九香虫
'chao'jue'ming'zi 炒决明子
'chao'ku'xing'ren 炒苦杏仁
'chao'lai'fu'zi 炒莱菔子
'chao'mai'ya 炒麦芽
'chao'man'jing'zi 炒蔓荆子
'chao'niu'bang'zi 炒牛蒡子
'chao'qian'niu'zi 炒牵牛子
'chao'sang'zhi 炒桑枝
'chao'shan'tao'ren 炒山桃仁
'chao'shan'zha 炒山楂
'chao'shi'jun'zi'ren 炒使君子仁
'chao'suan'zao'ren 炒酸枣仁
'chao'tao'ren 炒桃仁
'chao'ting'li'zi 炒葶苈子
'chao'wang'bu'liu'xing 炒王不留行
'chao'zhi'zi 炒栀子
'chao'zi'su'zi 炒紫苏子
'che'qian'cao 车前草
