'ai'xing'xi 矮星系
'an'wu'zhi 暗物质
'ao'qu'xian'yang'miu 奥曲线佯谬
'ban'xing'xi 伴星系
'bang'xuan'xing'xi 棒旋星系
'bao'bing'mo'xing 薄饼模型
'bao'fa'xing'xi 爆发星系
'bao'zhang'yu'zhou'mo'xing 暴胀宇宙模型
'bei'mian'xing'xi'tuan 北冕星系团
'bei'yin'ji'zhi 北银极支
'ben'chao'xing'xi'tuan 本超星系团
'ben'xing'xi'qun 本星系群
'bi'yu'zhou 闭宇宙
'biao'zhun'yu'zhou'mo'xing 标准宇宙模型
'bu'gui'ze'xing'xi 不规则星系
'bu'ke'jian'wu'zhi 不可见物质
'cao'mao'xing'xi 草帽星系
'chan'juan'kun'nan 缠卷困难
'chang'xing'xi 场星系
'chao'ju'xing'xi 超巨星系
'chao'xing'xi'tuan 超星系团
'chen'ai'dai 尘埃带
'cheng'yuan'xing'xi 成员星系
'da'bao'zha'yu'zhou'lun 大爆炸宇宙论
'da'mai'yun 大麦云
'da'shu'jia'shuo 大数假说
'dao'feng'du 氘丰度
'deng'ji'shi'yu'zhou'lun 等级式宇宙论
'duo'chong'xing'xi 多重星系
'fa'she'xian'xing'xi 发射线星系
'fang'zhong'zhuang'xing'xi 纺锺状星系
'fu'she'zhan'you'qi 辐射占优期
'ge'xiang'te'yu'zhou'mo'xing 各向特宇宙模型
'ge'xiang'yi'xing'yu'zhou'lun 各向异性宇宙论
'gong'zhuan'ban'jing 共转半径
'guang'du'yan'hua 光度演化
'ha'bo'ban'jing 哈勃半径
'ha'bo'chang'shu 哈波常数
'ha'bo'guan'xi 哈波关系
'ha'bo'nian'ling 哈勃年令
'ha'bo'tu 哈勃图
'ha'bo'xu'lie 哈波序列
'hai'feng'du 氦丰度
'hong'guan'tu'xiang 宏观图象
'hong'wai'xing'xi 红外星系
'hu'rao'xing'xi 互扰星系
'hua'xue'yan'hua 化学演化
'huan'zhuang'xing'xi 环状星系
'huo'dong'xing'xi 活动星系
'ji'bian'xing'xi 激变星系
'ji'dian'xiang'guan'han'shu 几点相关函数
'ji'ti'mo'ni 几体模拟
'ji'zao'qi'yu'zhou 极早期宇宙
'jian'su'yin'zi 减速因子
'jin'lin'xing'xi 近邻星系
'jin'qi'bo'chang 金期波长
'jin'qi'zhi'liang 金期质量
'ju'dong 巨洞
'ju'jian'xing'xi 居间星系
'ju'tuo'yuan'xing'xi 巨椭圆星系
'ju'xing'xi 巨星系
'kai'yu'zhou 开宇宙
'lei'xing'ti 类星体
'li'feng'du 锂丰度
'lian'xu'chuang'sheng 连续创生
'liang'xing'xi'shu 亮星系数
'lin'jie'mi'du 临界密度
'luo'bo'xun'te'liu'zhong'xing'xi 罗伯逊特六重星系
'luo'bo'xun'wo'ke'du'gui 罗伯逊沃克度规
'ma'he'yuan'li 马赫原理
'ma'ka'liang'xing'xi 马卡良星系
'ma'yu'zhou 马宇宙
'mai'zhe'lun'yun 麦哲伦云
'mi'du'bo 密度波
'mi'du'yan'hua 密度演化
'mu'xing'xi 母星系
'nei'bing'hong'yi 内禀红移
'niu'dun'yu'zhou'lun 牛顿宇宙论
'pan'xing'xi 盘星系
'pen'she'xing'xi 喷射星系
'peng'zhang'yu'zhou 膨胀宇宙
'peng'zhuang'xing'xi 碰撞星系
'pu'lang'ke'shi'jian 普郎克时间
'pu'te'xing'xi 普特星系
'qian'xing'xi 前星系
'qiang'zi'qi 强子期
'qiu'zhuang'xing'xi 球状星系
're'gai'zheng 热改正
're'shi 热史
're'yan'hua 热演化
'san'chong'xing'xi 三重星系
'san'jiao'xing'xi 三角星系
'she'dian'yuan'ji'shu 射电源计数
'shi'chao'guang'su'yun'dong 视超光速运动
'shi'nv'chao'xing'xi'tuan 室女超星系团
'shi'nv'xing'xi'tuan 室女星系团
'shi'zi'shuang'chong'xing'xi 狮子双重星系
'shuang'chong'xing'xi 双重星系
'shuang'lei'xing'xi 双类星系
'si'di'fen'wu'zhong'xing'xi 斯蒂芬五重星系
'te'shu'xing'xi 特殊星系
'tian'long'xing'xi 天龙星系
'tian'lu'xing'xi 天炉星系
