'ao'jia'lu'gui 凹甲陆龟
'yu'dai'hai'diao 玉带海雕
'yu'mao 渔猫
'yuan 鼋
'yuan'ji 原鸡
'yuan'yang 鸳鸯
'yun'bao 云豹
'yun'nan'bi'ke'gui 云南闭壳龟
'zang'ma'ji 藏马鸡
'zhang'jiao'yang'ji 长脚秧鸡
'zhen'hai'you'yuan 镇海疣螈
'zhi'chun 雉鹑
'zhong'hua'bai'hai'tun 中华白海豚
'zhong'hua'qiu'sha'ya 中华秋沙鸭
'zhu'huan 朱鹮
'zi'diao 紫貂
'zong'bei'tian'ji 棕背田鸡
'zong'xiong 棕熊
