'da'yu'qiu 大玉球
'dou'fu'mao'sha 豆腐猫砂
'fei'shi'mao'sha 沸石猫砂
'hua'sheng'ke'mao'sha 花生壳猫砂
'hua'xue'mao'sha 化学猫砂
'hun'he'mao'sha 混合猫砂
'kuang'sha 矿砂
'niu'pi'zhi'dai'dou'fu'mao'sha 牛皮纸袋豆腐猫砂
'peng'run'tu'kuang'sha 膨润土矿砂
'peng'run'tu'mao'sha 膨润土猫砂
'peng'run'tu'po'sui'sha 膨润土破碎砂
'peng'run'tu'qiu'sha 膨润土球砂
'shui'jing'mao'sha 水晶猫砂
'song'mu'mao'sha 松木猫砂
'tie'cai'po'mao'sha 贴菜粕猫砂
'zhen'kong'bao'zhuang'mao'sha 真空包装猫砂
'zhi'mao'sha 纸猫砂
'zhi'wu'mao'sha 植物猫砂
