'a'dun 阿顿
'a'meng 阿蒙
'a'nu'bi'si 阿努比斯
'a'pi'si 阿匹斯
'a'tun 阿吞
'ai'de'qiao 艾德桥
'ai'xie'te 艾谢特
'an'mu'kai 安穆凯
'ao'xi'li'si 奥西里斯
'bei'si 贝斯
'bei'si'te 贝斯特
'bu'ta 布塔
'du'mi'te'fu 杜米特夫
'gei'bu 给布
'ha'bi 哈比
'ha'bo'kui'te'si 哈波奎特斯
'ha'tuo'er 哈托尔
'hai'kui'te 海奎特
'hai'lu'la'ha 海鲁拉哈
'he'lu'si 荷鲁斯
'kai'bu'li 凯布利
'ke'nu'mu 克奴姆
'kong'su 孔苏
'kui'ben'han'mu'fu 奎本汉穆夫
'kui'te 奎特
'ma'te 马特
'mai'he'bei'te 迈荷贝特
'mu'te 姆特
'nai'fu'ti'si 奈芙提斯
'nai'fu'tu 奈夫图
'nai'si 奈斯
'nu'te 奴特
'sai'ke 塞克
'sai'ke'he'mai'te 塞克荷迈特
'sai'la'pi'si 塞拉匹斯
'sai'le'kai'te 塞勒凯特
'sai'te 赛特
'sha'ti 沙提
'suo'bei'ke 索贝克
'suo'ti'si 索提斯
'tai'fu'mu'te 泰夫姆特
'tu'te 图特
'tuo'he'ai'rui'si 托荷艾瑞斯
'tuo'te 托特
'ya'tu'mu 亚图姆
'yi'mu'he'te'pu 伊姆贺特普
'yi'xi'si 伊西斯
