'ou'ji'li'de'lu'xi'fei'ge'si 欧几里得路西菲格斯
'pian'lai 片濑
'pu'lu'tuo 普鲁托
'qi'ge'fu'li'de 齐格弗里德
'qi'hei'zhi'ling'yu 漆黑之领域
'qian'cang'xing'mei 浅仓杏美
'qing'shui'ai 清水爱
'ren'cun'liu'liu'zi 仁村留流子
'ren'gou 刃狗
'ri'li'yang'zi 日笠阳子
'ru'long'di 乳龙帝
'ru'shen'zhi'li 乳神之力
'ru'zhi'jing'ling 乳之精灵
'rui'sai'er'fei'ni'ke'si 瑞赛尔菲尼克斯
'sa'mai'er 萨麦尔
'sa'ze'ke'si 萨泽克斯
'sa'ze'ke'si'ji'meng'li 萨泽克斯吉蒙里
'sai'la'ao'ge'ba'li 塞拉奥格巴力
'sai'la'fu'er'xi'di 塞拉芙尔西迪
'san'sen'ling'zi 三森铃子
'san'zhai'jian'tai 三宅健太
'shan'guang'yu'an'hei'de'long'jue'dao 闪光与暗黑的龙绝刀
'shan'kou'tai'lang 山口太郎
'shan'qi'yao 山崎遥
'shang'chi 上匙
'shen'mie'ju 神灭具
'shen'qi'wu'xiao'hua 神器无效化
'shen'zhi'zi'jian'shi'zhe 神之子监视者
'sheng'ba'zhi'long'qi'shi'tuan 圣霸之龙骑士团
'sheng'jian 圣剑
'sheng'jian'chuang'zao 圣剑创造
'sheng'mu'de'wei'xiao 圣母的微笑
'sheng'tian'mu'ren'mei 生天目仁美
'sheng'wang'jian 圣王剑
'shi'chuan'jie'ren 石川界人
'shi'hu'sha'zhi 世户沙织
'shi'long'zhe 食龙者
'shi'qin'ba 辻亲八
'shi'shen'zhi'ya 弑神之牙
'shi'yuan'xia'zhi 石原夏织
'shi'zi'wang 狮子王
'shi'zi'wang'de'gang'pi 狮子王的钢皮
'shi'zi'wang'de'zhan'fu 狮子王的战斧
'shou'huang 兽皇
'shou'zhong'hong'dao 手冢弘道
'shuang'ba'zhi'sheng'mo'jian 双霸之圣魔剑
'si'lei'pu'ni'er 斯雷普尼尔
'song'gang'zhen'cheng 松冈祯丞
'song'tian 松田
'ta'cheng'xiao'mao 塔城小猫
'tan'ning 坦宁
'tian'mo'zhi'ye'long 天魔之业龙
'tian'ye'xi'ma 天野夕麻
'ting'zhi'shi'jie'de'xie'yan 停止世界的邪眼
'tong'sheng'lan'hua 桐生蓝华
'tu'long'jian 屠龙剑
'tun'long'huang 臀龙皇
'wa'le'li'cai'pei'shen 瓦勒莉采佩什
'wa'li 瓦利
'wa'li'lu'xi'fa 瓦利路西法
