'chang'jing 场景
'che'pai'shi'bie 车牌识别
'du'tou 读头
'du'xie'qi 读写器
'duo'chang'jing 多场景
'duo'chang'jing'ying'yong 多场景应用
'fa'ka'qi 发卡器
'hui'yi'qian'dao 会议签到
'hui'yi'qian'dao'ji 会议签到机
'jia'mi'ji 加密机
'kao'qin 考勤
'kao'qin'ji 考勤机
'men'jin 门禁
'men'jin'du'tou 门禁读头
'men'jin'ji 门禁机
'ren'yuan'dian 人员点
'she'xiang'ji 摄像机
'shi'jian'dian 事件点
'xiao'fei 消费
'xiao'fei'ji 消费机
'xie'ka'qi 写卡器
'xun'geng 巡更
'xun'geng'bang 巡更棒
'xun'geng'dian 巡更点
'ying'pan'lu'xiang'ji 硬盘录像机
