'an'gang 暗杠
'an'ke 暗刻
'an'pai 安牌
'an'quan'pai 安全牌
'an'ting 暗听
'an'ting'pai 暗听牌
'ba'ben'chang 八本场
'ba'bing 八饼
'ba'fan 八番
'ba'lian'zhuang 八连庄
'ba'suo 八索
'ba'tiao 八条
'ba'tong 八筒
'ba'wan 八万
'bai'ban 白板
'bai'wan'shi 百万石
'ban'zhuang 半庄
'ban'zhuang'zhan 半庄战
'bao'pai 包牌
'bao'pai'biao'shi'pai 宝牌表示牌
'bei'er'ju 北二局
'bei'feng 北风
'bei'jia 北家
'bei'man 倍满
'bei'ru 北入
'bei'san'ju 北三局
'bei'si'ju 北四局
'bei'yi'ju 北一局
'biao'bao'pai 表宝牌
'biao'bao'pai'biao'shi'pai 表宝牌表示牌
'biao'xuan'shang'pai 表悬赏牌
'bu'ting 不听
'bu'ting'fa'fu 不听罚符
'bu'ting'pai 不听牌
'chang'feng 场风
'chang'feng'pai 场风牌
'chi'bao'pai 赤宝牌
'chi'pai 吃牌
'chi'wu'bing 赤五饼
'chi'wu'suo 赤五索
'chi'wu'tiao 赤五条
'chi'wu'tong 赤五筒
'chi'wu'wan 赤五万
'chi'xuan'shang'pai 赤悬赏牌
'chun'jiu'lian'bao'deng 纯九莲宝灯
'chun'quan 纯全
'chun'quan'dai 纯全带
'chun'quan'dai'yao'jiu 纯全带幺九
'chun'si'lian'ke 纯四连刻
'chun'yi'qi'tong'guan'quan'dai'yao'jiu 纯一气通贯全带幺九
'ci'ma 刺马
'cuo'he 错和
'cuo'hu 错胡
'da'che'lun 大车轮
'da'ming'gang 大明杠
'da'qi'xing 大七星
'da'san'yuan 大三元
'da'shu'lin 大数临
'da'si'xi 大四喜
'da'si'xi'he 大四喜和
'da'si'xi'hu 大四喜胡
'da'xiang'gong 大相公
'da'zhu'lin 大竹林
'da'zi 搭子
'dan'long 单龙
'dan'qi 单骑
'dan'xiang'ting 单向听
'di'fang'yi 地方役
'di'he 地和
'di'hu 地胡
'di'yu'dan'qi 地域单骑
'dian'bang 点棒
'ding'san'ke 顶三刻
'dong'bei'xin'gan'xian 东北新干线
'dong'bei'zi'dong'che'dao 东北自动车道
'dong'er'ju 东二局
'dong'feng 东风
'dong'feng'zhan 东风战
'dong'feng'zhuang 东风庄
'dong'jia 东家
'dong'nan'zhan 东南战
'dong'san'ju 东三局
'dong'si'ju 东四局
'dong'yi'ju 东一局
'duan'hong'he 断红和
'duan'hong'hu 断红胡
'duan'ping 断平
'duan'yao'jiu 断幺九
'dui'dui 对对
'dui'dui'he 对对和
'dui'dui'hu 对对胡
'dui'jia 对家
'dui'zi 对子
'duo'mian'ting 多面听
'duo'mian'zhang 多面张
'er'bei'kou 二杯口
'er'ben'chang 二本场
'er'bing 二饼
'er'fan 二番
'er'suo 二索
'er'suo'qiang'gang 二索抢杠
'er'suo'qiang'gang 二索枪杠
'er'tiao 二条
'er'tiao'qiang'gang 二条抢杠
'er'tiao'qiang'gang 二条枪杠
'er'tong 二筒
'er'tong'ke 二同刻
'er'wan 二万
'er'xiang'ting 二向听
'fa'fu 罚符
'fan'dian 返点
'fan'dong'ru 返东入
'feng'hua'xue'yue 风花雪月
'feng'pai 风牌
'fu'di 副底
'fu'di 符底
'fu'lu 副露
'fu'tiao 符跳
'gang'bao'pai 杠宝牌
'gang'xuan'shang'pai 杠悬赏牌
'gang'zi 杠子
'gu'yi 古役
'guo'shi'wu'shuang 国士无双
'hai'di 海底
'hai'di'lao'yue 海底捞月
'hai'di'mo'yue 海底摸月
'he'di 河底
'he'di'lao'yu 河底捞鱼
'he'le 和了
'hei'yi'se 黑一色
'hong'kong'que 红孔雀
'hong'yi'dian 红一点
'hong'zhong 红中
'hu'pai 胡牌
'hua'niao'feng'yue 花鸟风月
'huang'pai 荒牌
'hun'lao 混老
'hun'lao'dui'dui 混老对对
'hun'lao'qi'dui 混老七对
'hun'lao'tou 混老头
'hun'lao'tou'dui'dui'he 混老头对对和
'hun'lao'tou'dui'dui'hu 混老头对对胡
'hun'lao'tou'qi'dui'zi 混老头七对子
'hun'quan'dai'yao'jiu 混全带幺九
'hun'yi 混一
'hun'yi'se 混一色
'ji'fei 击飞
'ji'li 即立
'jia'ting 假听
'jia'ting'pai 假听牌
'jin'ji'du'li 金鸡独立
'jin'men'qiao 金门桥
'jin'pai'ke 筋牌刻
'jing'tong'he 镜同和
'jing'tong'hu 镜同胡
'jiu'bing 九饼
'jiu'bing'lao'yu 九饼捞鱼
'jiu'fan 九番
'jiu'lian'bao'deng 九莲宝灯
'jiu'suo 九索
'jiu'tiao 九条
'jiu'tong 九筒
'jiu'tong'lao'yu 九筒捞鱼
'jiu'wan 九万
'jiu'zhong'dao'pai 九种倒牌
'jiu'zhong'jiu'pai 九种九牌
'jue'yi'men 绝一门
'ke'feng 客风
'ke'feng'pai 客风牌
'ke'feng'san'ke 客风三刻
'ke'zi 刻子
'kong'ting 空听
'kong'ting'li'zhi 空听立直
'la'ji'he 垃圾和
'la'ji'hu 垃圾胡
'lao'tou'pai 老头牌
'lei'ji'yi'man 累计役满
'li'bao'pai 里宝牌
'li'bao'pai'biao'shi'pai 里宝牌表示牌
'li'pai 理牌
'li'xuan'shang'pai 里悬赏牌
'li'zhi 立直
'li'zhi'bang 立直棒
'lian'feng'pai 连风牌
'lian'kai'hua 连开花
'lian'ke 连刻
'lian'zhuang 连庄
'liang'fan 两番
'liang'jia'he 两家和
'liang'jia'hu 两家胡
'liang'mian'ting 两面听
'liang'qian 两嵌
'liang'xiang'ting 两向听
'ling'shang 岭上
'ling'shang'kai'hua 岭上开花
'liu'ben'chang 六本场
'liu'bing 六饼
'liu'fan 六番
'liu'ju 流局
'liu'ju'man'guan 流局满贯
'liu'suo 六索
'liu'tiao 六条
'liu'tong 六筒
'liu'wan 六万
'lun'zhuang 轮庄
'luo'dan'qi 裸单骑
'lv'fa 绿发
'lv'yi'se 绿一色
'lv'yi'se'lun 绿一色轮
'ma'jiang 麻将
'ma'que 麻雀
'man'guan 满贯
'mang'pai 盲牌
'men'feng'pai 门风牌
'men'qian 门前
'men'qian'jia'fu 门前加符
'men'qian'qing 门前清
'men'qian'qing'zi'mo'he 门前清自摸和
'men'qian'qing'zi'mo'hu 门前清自摸胡
'mian'duan'ping 面断平
'mian'zi'fu 面子符
'ming'gang 明杠
'ming'ke 明刻
'ming'pai 鸣牌
'mo'ni'da'fa 模拟打法
'nan'bei'zhan'zheng 南北战争
'nan'er'ju 南二局
'nan'feng 南风
'nan'jia 南家
'nan'ru 南入
'nan'san'ju 南三局
'nan'si'ju 南四局
'nan'yi'ju 南一局
'pai'pu 牌谱
'pei'pai 配牌
'peng'pai 碰牌
'ping'he 平和
'ping'hu 平胡
'ping'ju 平局
'po'hui'ba'lian'zhuang 破回八连庄
'qi'ben'chang 七本场
'qi'bing 七饼
'qi'dui'zi 七对子
'qi'fan 七番
'qi'suo 七索
'qi'tiao 七条
'qi'tong 七筒
'qi'wan 七万
'qi'xing'wu'kao 七星无靠
'qian'zhang 嵌张
'qian'zhang'ting 嵌张听
'qian'zhang'ting'pai 嵌张听牌
'qiang'an'gang 抢暗杠
'qiang'an'gang 枪暗杠
'qiang'gang 抢杠
'qiang'gang 枪杠
'qin'tiao 亲跳
'qing'bei'kou 清杯口
'qing'dong'men 青洞门
'qing'jia 亲家
'qing'lao 清老
'qing'lao'tou 清老头
'qing'yi 清一
'qing'yi'se 清一色
'quan'dai 全带
'quan'dai'yao'jiu 全带幺九
'quan'zhuang 全庄
'quan'zhuang'zhan 全庄战
'que'long'men 雀龙门
'que'sheng 雀圣
'que'shi 雀士
'que'tou 雀头
'que'tou'fu 雀头符
'que'zhuang 雀庄
'que'zhuo 雀桌
'ran'shou 染手
'ren'he 人和
'ren'hu 人胡
'rong'he 荣和
'rong'hu 荣胡
'san'an'ke 三暗刻
'san'bei'man 三倍满
'san'bei'man'guan 三倍满贯
'san'bei'yi'man 三倍役满
'san'ben'chang 三本场
'san'bing 三饼
'san'fan 三番
'san'feng'ke 三风刻
'san'gang'zi 三杠子
'san'jia'he 三家和
'san'jia'he'liu'ju 三家和流局
'san'jia'hu 三家胡
'san'jia'hu'liu'ju 三家胡流局
'san'lian'ke 三连刻
'san'ma 三麻
'san'ren'ma 三人麻
'san'ren'ma'jiang 三人麻将
'san'se'lian'ke 三色连刻
'san'se'tong'guan 三色通贯
'san'se'tong'ke 三色同刻
'san'se'tong'shun 三色同顺
'san'suo 三索
'san'tiao 三条
'san'tong 三筒
'san'wan 三万
'san'xiang'ting 三向听
'san'yuan'pai 三元牌
'san'yuan'qi'dui 三元七对
'san'yuan'qi'dui'zi 三元七对子
'shan'pai 山牌
'shao'ji 烧鸡
'shao'zhu 烧猪
'she'pai 捨牌
'sheng'pai 生牌
'shi'duan 食断
'shi'er'fan 十二番
'shi'er'luo'tai 十二落抬
'shi'fan 十番
'shi'san'bu'da 十三不搭
'shi'san'bu'ta 十三不塔
'shi'san'fan 十三番
'shi'san'wu'kao 十三无靠
'shi'yi'fan 十一番
'shou'pai 手牌
'shu'pai 数牌
'shu'zi'da'fa 数字打法
'shu'zi'pai 数字牌
'shuang'bei 双北
'shuang'bei'feng 双北风
'shuang'bei'li'zhi 双倍立直
'shuang'dong 双东
'shuang'dong'feng 双东风
'shuang'li'zhi 双立直
'shuang'long'zheng'zhu 双龙争珠
'shuang'nan 双南
'shuang'nan'feng 双南风
'shuang'peng'ting 双碰听
'shuang'peng'ting'pai 双碰听牌
'shuang'xi 双西
'shuang'xi'feng 双西风
'shuang'yi'man 双役满
'shun'gang 顺杠
'shun'wei'dian 顺位点
'shun'zi 顺子
'si'an'ke 四暗刻
'si'bei'man 四倍满
'si'bei'man'guan 四倍满贯
'si'ben'chang 四本场
'si'bing 四饼
'si'fan 四番
'si'feng'lian'da 四风连打
'si'feng'pai'lian'da 四风牌连打
'si'gang'liu'ju 四杠流局
'si'gang'zi 四杠子
'si'kai'gang 四开杠
'si'lian'ke 四连刻
'si'mian'zi'yi'que'tou 四面子一雀头
'si'ren'li'zhi 四人立直
'si'suo 四索
'si'tiao 四条
'si'tong 四筒
'si'wan 四万
'si'xi'he 四喜和
'si'xi'hu 四喜胡
'si'xi'qi'dui 四喜七对
'si'xi'qi'dui'zi 四喜七对子
'si'xiang'ting 四向听
'si'zi'ke 四字刻
'ta'jia 他家
'ta'zi 塔子
'te'kuai'che'piao 特快车票
'te'shu'yi 特殊役
'tian'feng 天凤
'tian'he 天和
'tian'hu 天胡
'tiao'man 跳满
'tiao'pai'ke 跳牌刻
'ting'pai 听牌
'ting'pai'ji'li'zhi 听牌即立直
'tong'ke 同刻
'tong'shun 同顺
'tou'gang'he 头杠和
'tou'gang'hu 头杠胡
'wang'pai 王牌
'wei'ting 未听
'wei'ting'pai 未听牌
'wei'xian'pai 危险牌
'wu'ben'chang 五本场
'wu'bing 五饼
'wu'bing'kai'hua 五饼开花
'wu'fan 五番
'wu'men'qi 五门齐
'wu'qian'dian'bang 五千点棒
'wu'san 五三
'wu'suo 五索
'wu'tiao 五条
'wu'tong 五筒
