'ban'zou 伴奏
'chong'chang 重唱
'da'pai'zi 打拍子
'gang'ban 钢伴
'gang'qin 钢琴
'ge'ju 歌剧
'he'chang 合唱
'he'sheng 和声
'jie'pai'qi 节拍器
'jie'zou 节奏
'jun'heng'qi 均衡器
'nan'di'yin 男低音
'nan'gao'yin 男高音
'nan'sheng 男声
'nan'zhong'yin 男中音
'nv'gao'yin 女高音
'nv'sheng 女声
'sheng'bu 声部
'shi'yin'qi 拾音器
'xiao'ti'qin 小提琴
'yin'gao 音高
'yin'xiang 音箱
'yin'yue 音乐
'yin'zhun 音准
'zhi'hui 指挥
