'bao'ming 包名
'ben'di'fang'fa'zhan 本地方法栈
'bi'jiao'yun'suan'fu 比较运算符
'bian'cheng'yu'yan 编程语言
'bian'li 遍历
'bian'liang 变量
'bian'yi 编译
'biao'zhi'fu 标识符
'bu'er'chang'liang 布尔常量
'can'shu'lie'biao 参数列表
'chang'liang 常量
'cheng'yuan'bian'liang 成员变量
'chong'zai 重载
'chu'shi'hua 初始化
'chu'shi'zhuang'tai 初始状态
'dan'xing'zhu'shi 单行注释
'diao'yong 调用
'dui'nei'cun 堆内存
'duo'hang'zhu'shi 多行注释
'duo'tai 多态
'fan'hui'zhi'lei'xing 返回值类型
'fan'xing 泛型
'fang'fa 方法
'fang'fa'qu 方法区
'fang'fa'ti 方法体
'fen'zhi'jie'gou 分支结构
'feng'zhuang 封装
'fu'zhi'yun'suan'fu 赋值运算符
'gou'zao'fang'fa 构造方法
'guan'jian'zi 关键字
'huan'jing'bian'liang 环境变量
'ji'ben'shu'ju'lei'xing 基本数据类型
'ji'cheng 继承
'ji'cun'qi 寄存器
'jian'pan'shu'ru 键盘输入
'jie'kou'ming 接口名
'ju'bu'bian'liang 局部变量
'kai'fa 开发
'kong'chang'liang 空常量
'kua'ping'tai 跨平台
'lei'ming 类名
'luo'ji'yun'suan'fu 逻辑运算符
'mei'ju 枚举
'mei'ju'ming'cheng 枚举名称
'mian'xiang'dui'xiang 面向对象
'ming'ming'gui'fan 命名规范
'ni'ming'dui'xiang 匿名对象
'pan'duan'yu'ju 判断语句
'pei'zhi 配置
'qian'tao'xun'huan 嵌套循环
'san'yuan'yun'suan'fu 三元运算符
'sheng'ming'zhou'qi 生命周期
'shu'ju'lei'xing 数据类型
'shu'xing 属性
'shu'zu 数组
'si'xun'huan 死循环
'suan'shu'yun'suan'fu 算术运算符
'tiao'zhuan'yu'ju 跳转语句
'wan'guo'ma 万国码
'wei'yi'yun'suan'fu 位移运算符
'wen'dang'zhu'shi 文档注释
'xiao'shu'chang'liang 小数常量
'xing'wei 行为
'xiu'shi'fu 修饰符
'xuan'ze'yu'ju 选择语句
'xun'huan'jie'gou 循环结构
'yi'chang 异常
'yi'dong'duan 移动端
'yu'liu'guan'jian'zi 预留关键字
'yuan'dai'ma 源代码
'yun'suan'fu 运算符
'zhan'mu'si'gao'si'lin 詹姆斯高斯林
'zhan'nei'cun 栈内存
'zheng'shu'chang'liang 整数常量
'zhi'chi'fan'xing 支持泛型
'zi'fu'chang'liang 字符常量
'zi'fu'chuan'chang'liang 字符串常量
'zi'zeng'zi'jian'yun'suan'fu 自增自减运算符
