'an'niu 按钮
'an'xia'mou'jian 按下某键
'an'xia'tu'pian 按下图片
'bang'ding'shi'jian 绑定事件
'bang'ding'tan'chu'cai'dan 绑定弹出菜单
'bao'du 报毒
'bei'an'xia 被按下
'bei'chang'an 被长按
'bei'dan'ji 被单击
'bei'jing'tu'pian 背景图片
'bei'jing'yan'se 背景颜色
'bei'tan'qi 被弹起
'bei'yi'dong 被移动
'bian'ji'kuang 编辑框
'biao'qian 标签
'biao'ti 标题
'cai'dan'bei'xuan'ze 菜单被选择
'cheng'xu'bei'chong'qi 程序被重启
'cheng'xu'bei'qi'dong 程序被启动
'cheng'xu'bei'xiao'hui 程序被销毁
'cheng'xu'bei'zan'ting 程序被暂停
'chu'mo'shou'shi 触摸手势
'chu'qu'wen'ben 出去文本
'chuang'jian'wan'bi 创建完毕
'chuang'kou 窗口
'cu'ti 粗体
'dan'xuan'kuang 单选框
'dao'ding'ceng 到顶层
'dian'shi'ji'guan'bi'te'xiao 电视机关闭特效
'ding'bian 顶边
'dui'qi'fang'shi 对齐方式
'duo'xuan'kuang 多选框
'er'wei'ma 二维码
'gao'du 高度
'hui'zhi'wan'bi 绘制完毕
'huo'qu'jiao'dian 获取焦点
'jia'ru'wen'ben 加入文本
'jia'zai'chao'wen'ben 加载超文本
'jian'ting'bei'dan'ji'shi'jian 监听被单击事件
'jian'ting'hui'zhi 监听绘制
'kai'qi'te'xiao 开启特效
'kai'qi'te'xiao'wan'bi 开启特效完毕
'ke'fou'huo'dong 可否活动
'ke'shi 可视
'ke'ting'liu'jiao'dian 可停留焦点
'ke'yong 可用
'kuan'du 宽度
'mi'ma'bian'ji'kuang 密码编辑框
'ping'mu'fang'xiang'bei'gai'bian 屏幕方向被改变
'qie'huan'wan'bi 切换完毕
'qing'chu'jiao'dian 清楚焦点
'qing'kong'cai'dan 清空菜单
'qing'kong'tan'chu'cai'dan 清空弹出菜单
'qu'chu'cun'ka'lu'jing 取储存卡路径
'qu'gao'du 取高度
'qu'guang'biao'wei'zhi 取光标位置
'qu'kuan'du 取宽度
'qu'zu'jian'suo'yin 取组建索引
'quan'xuan 全选
'ri'qi'kuang'bei'xuan'ze 日期框被选择
'shan'chu'wen'ben 删除文本
'shi'jian'kuang'bei'xuan'ze 时间框被选择
'shi'qu'jiao'dian 失去焦点
'shu'ru'fang'shi 输入方式
'shua'xin 刷新
'tan'chu'cai'dan'bei'xuan'ze 弹出菜单被选择
'tan'chu'ti'shi 弹出提示
'tan'qi'tu'pian 弹起图片
'ti'shi'xin'xi 提示信息
'tian'jia'cai'dan 添加菜单
'tian'jia'tan'chu'cai'dan 添加弹出菜单
'tou'ming'du 透明度
'tu'pian 图片
'tu'pian'kuang 图片框
'xian'shi'fang'shi 显示方式
'xian'shi'guang'biao 显示光标
'xian'shi'shu'ru'fa 显示输入法
'xiao'hui 销毁
'xie'ti 斜体
'xin'xi'kuang 信息框
'xuan'fu'an'niu'bei'chang'an 悬浮按钮被长按
'xuan'fu'an'niu'bei'dan'ji 悬浮按钮被单击
'xuan'fu'an'niu'bei'tan'qi 悬浮按钮被弹起
'xuan'ze'kuang 选择框
'xuan'zhong'wen'ben 选中文本
'xuan'zhuan'te'xiao 旋转特效
'yi'dong 移动
'yi'dong'te'xiao 移动特效
'yi'dong'te'xiao'wan'bi 移动特效完毕
'yin'cang'guang'biao 隐藏光标
'yin'cang'shu'ru'fa 隐藏输入法
'zhi'duo'xing'mo'shi 置多行模式
'zhi'guang'biao'wei'zhi 置光标位置
'zhi'sou'suo'mo'shi 置搜索模式
'zhi'te'xiao'chong'fu'mo'shi 置特效重复模式
'zhi'ti'shi'xin'xi'yan'se 置提示信息颜色
'zhi'zu'jian'suo'yin 置组建索引
'zhi'zuo'ce'tu'biao 置左侧图标
'zi'ding'yi'zi'ti 自定义字体
'zi'ti'da'xiao 字体大小
'zi'ti'yan'se 字体颜色
'zuo'bian 左边
