'a'bi'xi'ni'ya'mao 阿比西尼亚猫
'ai'ji'mao 埃及猫
'ao'xi'mao 奥西猫
'ba'li'mao 巴厘猫
'bo'man'mao 伯曼猫
'bo'si'mao 波斯猫
'bu'ou'mao 布偶猫
'de'wen'juan'mao'mao 德文卷毛猫
'dian'tang'juan'mao 电烫卷猫
'dong'fang'duan'mao'mao 东方短毛猫
'dong'qi'ni'mao 东奇尼猫
'e'luo'si'lan'mao 俄罗斯蓝猫
'ha'wa'na'zong'mao 哈瓦那棕猫
'jia'na'da'wu'mao'mao 加拿大无毛猫
'jin'ji'la 金吉拉
'ke'la'te'mao 科拉特猫
'ke'ni'si'juan'mao'mao 柯尼斯卷毛猫
'lan'lv'mao 褴褛猫
'li'mao 狸猫
'man'dao'wu'wei'mao 曼岛无尾猫
'mei'guo'duan'mao'mao 美国短毛猫
'mei'guo'duan'wei'mao 美国短尾猫
'mei'guo'juan'er'mao 美国卷耳猫
'mei'guo'ying'mao'mao 美国硬毛猫
'meng'mai'mao 孟买猫
'mian'dian'mao 缅甸猫
'mian'yin'mao 缅因猫
'nuo'wei'sen'lin'mao 挪威森林猫
'ri'ben'duan'wei'mao 日本短尾猫
'san'hua'mao 三花猫
'shan'dong'shi'zi'mao 山东狮子猫
'shi'zi'mao 狮子猫
'si'chuan'jian'zhou'mao 四川简州猫
'si'ke'ke'mao 斯可可猫
'su'ge'lan'zhe'er'mao 苏格兰折耳猫
'suo'ma'li'mao 索马里猫
'tu'er'qi'an'ge'la'mao 土耳其安哥拉猫
'tu'er'qi'fan'mao 土耳其梵猫
'xi'bo'li'ya'mao 西伯利亚猫
'xi'ma'la'ya'mao 喜马拉雅猫
'xia'te'er'mao 夏特尔猫
'xian'luo'mao 暹罗猫
'xin'jia'po'mao 新加坡猫
'xuan'mao 玄猫
'yi'guo'duan'mao'mao 异国短毛猫
'ying'guo'duan'mao'mao 英国短毛猫
'yun'mao 云猫
'zhong'dian'se'duan'mao'mao 重点色短毛猫
