'bi'he 笔盒
'bi'xiao'xuan 笔啸宣
'bing'xi 丙烯
'da'wei'hua'cai 大卫画材
'fan'gao'hua'cai 梵高画材
'gou'xian'bi 勾线笔
'guo'dong'zhuang'yan'liao 果冻装颜料
'hui'hua'gong'ju'xiang 绘画工具箱
'kao'shi'yi'jian'tao 考试一件套
'ke'luo'te'yan'liao 克洛特颜料
'la'gan'hui'hua'gong'ju'xiang 拉杆绘画工具箱
'lang'hao 狼毫
'ma'di'si'yan'liao 马蒂斯颜料
'ma'ke'bi 马克笔
'ma'li'yan'liao 马利颜料
'mo'lan'di'yan'liao 莫兰迪颜料
'ni'long'bi'mao 尼龙笔毛
'ping'zhuang 瓶装
'qi'shi'ge'yan'liao'he 七十格颜料盒
'qing'zhu'yan'liao 青竹颜料
'shui'fen'bi 水粉笔
'shui'tong 水桶
'tiao'se'pan 调色盘
'tuo'jiao'se 脱胶色
'tuo'pin'gong'ju'xiang 拓品工具箱
'tuo'pin'hua'cai 拓品画材
'tuo'pin'yan'liao'he 拓品颜料盒
'wen'sha'niu'dun 温莎牛顿
'wu'shi'wu'ge'yan'liao'he 五十五格颜料盒
'yan'liao'he 颜料盒
'zhong'guo'se'cai'ji'chu'jiao'xue'quan'guo'xun'zhan 中国色彩基础教学全国巡展
'zhu'zong 猪鬃
