'ban'ben 版本
'bao'biao 报表
'bao'cun'tian'shu 保存天数
'bian'ma 编码
'biao'zhun'mu'lu 标准目录
'bu'men'quan'xian 部门权限
'cai'gou'fen'xi 采购分析
'cai'gou'hui'zong 采购汇总
'cai'gou'ye'wu 采购业务
'can'shu'tiao'zheng 参数调整
'can'zhao'chu'ku 参照出库
'can'zhao'lu'ru 参照录入
'cang'ku'quan'xian 仓库权限
'cha'yi'fu'he 差异复核
'chai'xiang 拆箱
'chao'chu 超储
'chao'e 超额
'chao'e'dan 超额单
'cheng'ben'ji'suan 成本计算
'chu'ku 出库
'chu'ku'can'zhao 出库参照
'chu'ku'cang'ku 出库仓库
'chu'ku'dan 出库单
'chu'ku'kong'zhi 出库控制
'chu'ku'lei'xing 出库类型
'chu'ku'que'ren 出库确认
'chu'yun'bu 储运部
'da'qu'guan'li 大区管理
'dai'fa'huo'liang 待发货量
'dai'xiao'pei'huo 代销配货
'dan'hao 单号
'dan'ju 单据
'dan'ju'lai'yuan 单据来源
'dan'ju'ri'qi 单据日期
'dan'ju'shen'he 单据审核
'dao'chu'mo'ban 导出模版
'dao'huo'ri'qi 到货日期
'dao'ru'mo'ban 导入模版
'dao'ru'she'zhi 导入设置
'deng'lu'duan'kou 登录端口
'deng'lu'ming'cheng 登录名称
'di'qu'dang'an 地区档案
'dian'jian'diao'huo 店间调货
'diao'bo 调拨
'diao'bo'chu'ku 调拨出库
'diao'bo'pei'huo 调拨配货
'diao'bo'ru'ku 调拨入库
'ding'dan'zhong'zhi 订单终止
'ding'huo'hui 订货会
'duan'que'yu'jing 短缺预警
'er'wei'cha'kan 二维查看
'er'wei'zhan'xian 二维展现
'fa'huo'ji'hua 发货计划
'fa'huo'zhuang'tai 发货状态
'fen'xiao 分销
'fu'chu'ku 负出库
'fu'he'fang'shi 复核方式
'fu'kuan'fang'shi 付款方式
'guan'li'yuan 管理员
'guang'xuan'pin 广宣品
'hong'zi'xiao'shou 红字销售
'hui'zong'biao 汇总表
'hui'zong'zhuang'tai 汇总状态
'ji'gou 机构
'ji'gou'dang'an 机构档案
'ji'gou'ming'cheng 机构名称
'ji'gou'she'zhi 机构设置
'ji'liang'dan'wei 计量单位
'ji'suan'dui'xiang 计算对象
'ji'suan'jing'du 计算精度
'jia'ge'fen'xi 价格分析
'jie'suan'fang'shi 结算方式
'jin'xiao'cun'hui'zong 进销存汇总
'kai'dan'ren'shou'kuan 开单人收款
'kai'piao'dan'wei 开票单位
'ke'hu 客户
'ke'hu'fen'xi 客户分析
'ke'hu'hua 客户化
'ke'hu'lei'bie 客户类别
'ke'yong'liang 可用量
'ku'cun 库存
'ku'cun'fen'xi 库存分析
'ku'cun'kong'zhi 库存控制
'ku'cun'ye'wu 库存业务
'lai'yuan'dan'ju 来源单据
