'a'er'bo'te'shi'huai'zhe 阿尔伯特史怀哲
'a'er'fa'zu 阿尔法组
'a'gu'si 阿古斯
'a'gu'si'da'wei 阿古斯大尉
'a'la'bo'lian'meng'yi'zhang 阿拉伯联盟议长
'a'lan're 阿兰若
'a'lan're'dian'xia 阿兰若殿下
'a'lan're'zhi'meng 阿兰若之梦
'a'li 阿离
'a'qing 阿青
'a'yin 阿音
'ai'shang'ni'na'yi'ke 爱上你那一刻
'ai'zai'tian'di'zhong'liu'zhuan 爱在天地中流转
'an'le'gong'zhu 安乐公主
'an'ying'liu'guang 暗影流光
'an'yue'xi 安悦溪
'ba'jiu'lin'ting 把酒临听
'ba'she'zu 巴蛇族
'ba'zhen'tang 八珍汤
'bai'chen 白辰
'bai'e'hu 白额虎
'bai'feng'jiu 白凤九
'bai'gun'gun 白滚滚
'bai'qi 白颀
'bai'qian 白浅
'bai'shou'tu 百寿图
'bai'xuan 白玄
'bai'xue 白雪
'bai'yi 白奕
'bai'zhen 白真
'bai'zhi 白止
'bai'zhi 白芷
'bai'zhi'di'jun 白止帝君
'bai'zi'hua 白子画
'bai'zi'hua'zi'hua'shi'fu 白子画子画师傅
'ban'yue'zhen 半月阵
'bao'bao 宝宝
'bao'tian'qi 鲍天琦
'bao'zi 包子
'bei'fang 北方
'bei'fang'bu'yuan'ding 北方卜元鼎
'bei'hai'shui'jun 北海水君
'bei'liang'gong'zhu 北凉公主
'bei'ying'cheng'shuang 背影成双
'bi'duan 彼端
'bi'fang 毕方
'bi'guan'chang'xiu 闭关长修
'bi'hai'cang'ling 碧海苍灵
'bi'luo'jian 碧落剑
'bi'xia 陛下
'bi'yi'niao'wang'du 比翼鸟王都
'bi'yi'niao'zu 比翼鸟族
'bian'jiang 边江
'bing'kuai'lian 冰块脸
'bo're'dian 般若殿
'bo're'hua 般若花
'bo'ruo'hua 波若花
'bu'gui'yan 不归砚
'bu'ke'shuo 不可说
'bu'lai'ke 布莱克
'bu'lai'ke'bu'er 布莱克布尔
'bu'si'bu'feng'bian'cheng'mo 不死不疯便成魔
'bu'si'liang'zi'nan'xiang'wang 不思量自难相忘
'bu'yuan'ding 卜元鼎
'cai'huang'ran'dong'le 才恍然懂了
