'ba'shou 把手
'bao'chi'jia 保持架
'bi'suo'he 闭锁盒
'cheng'li'dian'ban 承力垫板
'cheng'li'kuai 承力块
'cheng'ya'ban 承压板
'cheng'zhong'bi 承重臂
'cheng'zhong'zhi'jia 承重支架
'chuan'dong'gan 传动杆
'chuan'dong'zhou 传动轴
'di'zuo 底座
'dian'ban 垫板
'fang'chen'gai 防尘盖
'gang'jie'gou'fang'hu'mi'bi'men 钢结构防护密闭门
'gang'zhu 钢珠
'gu'ding'kuai 固定块
'gu'jia 骨架
'heng'xiang'jiao'gang 横向角钢
'hu'xing'xie'bian'gang 弧形斜扁钢
'hua'ban 滑板
'huan'xiang'bian'su'qi 换向变速器
'hun'ning'tu'fang'hu'mi'bi'men 混凝土防护密闭门
'jian'su'qi 减速器
'jian'su'qi'zuo 减速器座
'jiao'lian'ban 铰链板
'jiao'zuo 铰座
'jie'chu'zhou 接出轴
'la'shou 拉手
'li'zhou 立轴
'li'zhou'gang'guan 立轴钢管
'lian'gan 连杆
'lian'jie'ban 连接板
'mao'gu'gou 锚固钩
'men'kan'du'ban 门槛堵板
'men'kan'zhi'ban 门槛支板
'men'shan'jiao'zuo 门扇铰座
'mi'feng'gai'ban 密封盖板
'mi'feng'quan 密封圈
'qian'jin'ding 千斤顶
'qu'bing 曲柄
'shang'bi'suo'zuo 上闭锁座
'shang'jiao'ye'di'zuo 上铰页底座
'shang'jiao'zuo 上铰座
'shu'chu'zhou'tao 输出轴套
'shui'ping'lian'gan 水平连杆
'si'gan 丝杆
'suo'tao 锁套
'suo'tou 锁头
'tao'guan 套管
'xia'jiao'ye'di'zuo 下铰页底座
'xia'jiao'zuo 下铰座
'xian'wei'kuai 限位块
'xiao'zhou 销轴
'ya'ban 压板
'yao'bing 摇柄
'you'bei 油杯
'yuan'luo'mu 圆螺母
'yuan'luo'mu'zhi'dong'dian'quan 圆螺母止动垫圈
'zhi'zuo 支座
'zhou'cheng 轴承
'zhou'cheng'dang'quan 轴承挡圈
'zhou'cheng'gai 轴承盖
'zhou'cheng'gai'ban 轴承盖板
'zhou'cheng'zuo 轴承座
'zhou'yong'tan'xing'dang'quan 轴用弹性挡圈
'zhuan'bi'zhi'zuo 转臂支座
'zong'xiang'jiao'gang 纵向角钢
