'a'can 阿餐
'an'cha'shi 按察使
'an'cha'si'fu'shi 按察司副使
'an'cha'si'qian'shi 按察司佥事
'an'fu'da'shi 安抚大使
'an'fu'dou'jian 安抚都监
'an'fu'fu'shi 安抚副使
'an'fu'shi 安抚使
'an'fu'shi'si 安抚使司
'an'fu'shi'si'da'shi'si'can'yi'guan 安抚使司大使司参议官
'an'fu'shi'si'da'shi'si'gan'ban'gong'shi 安抚使司大使司干办公事
'an'fu'shi'si'da'shi'si'zhu'guan'ji'yi'wen'zi 安抚使司大使司主管机宜文字
'an'fu'shi'si'da'shi'si'zhun'bei'chai'qian 安抚使司大使司准备差遣
'an'fu'si'an'fu'shi 安抚司安抚使
'an'fu'zhi'zhi'da'shi 安抚制置大使
'an'fu'zhi'zhi'shi 安抚制置使
'an'ren 安人
'ba'pin'san'guan 八品散官
'ba'zong 把总
'bai'hu 百户
'bai'hu'suo'guan'jun 百户所管军
'ban'du 伴读
'bao'er'chi 宝儿赤
'bao'mo'ge'dai'zhi 宝谟阁待制
'bao'mo'ge'xue'shi 宝谟阁学士
'bao'mo'ge'zhi'xue'shi 宝谟阁直学士
'bao'wen'ge'dai'zhi 宝文阁待制
'bao'wen'ge'xue'shi 宝文阁学士
'bao'wen'ge'zhi'xue'shi 宝文阁直学士
'bao'yi'lang 保义郎
'bao'zhang'ge'dai'zhi 宝章阁待制
'bao'zhang'ge'xue'shi 宝章阁学士
'bao'zhang'ge'zhi'xue'shi 宝章阁直学士
'ben'sheng'tong'kao 本省同考
'bi'bu 比部
'bi'bu'lang'zhong 比部郎中
'bi'bu'yuan'wai'lang 比部员外郎
'bian'xiu 编修
'bian'xiu'guan 编修官
'bie'jiang 别将
'bing'bu 兵部
'bing'bu'guan'zheng 兵部观政
'bing'bu'lang'zhong 兵部郎中
'bing'bu'shang'shu 兵部尚书
'bing'bu'shi'lang 兵部侍郎
'bing'bu'si'lang'guan 兵部司郎官
'bing'bu'si'lang'zhong 兵部司郎中
'bing'bu'si'yuan'wai'lang 兵部司员外郎
'bing'bu'you'shi'lang 兵部右侍郎
'bing'bu'yuan'wai'lang 兵部员外郎
'bing'bu'zhu'shi 兵部主事
'bing'bu'zuo'shi'lang 兵部左侍郎
'bing'cao 兵曹
'bing'cao'can'jun 兵曹参军
'bing'ke'du'ji'shi'zhong 兵科都给事中
'bing'ke'ji'shi'zhong 兵科给事中
'bing'ma'dou'bu'shu'zong'guan 兵马都部署总管
'bing'ma'dou'jian 兵马都监
'bing'ma'dou'qian'xia 兵马都钤辖
'bing'ma'fu'dou'bu'shu'zong'guan 兵马副都部署总管
'bing'ma'jian'ya 兵马监押
'bing'ma'qian'xia 兵马钤辖
'bing'ma'shi 兵马使
