'a'ma'ni 阿玛尼
'ai'hao'zhe'xie'hui 爱好者协会
'bai'he'shi'da 百合十大
'bao'xian'xue'she 保险学社
'bei'da'lou 北大楼
'bian'lun'xie'hui 辩论协会
'cai'jing'ping'tai 财经平台
'cai'liao'ke'xue'yu'gong'cheng'xi 材料科学与工程系
'chang'feng'she 长风社
'chen'jun 陈俊
'chong'chang'shi'she 重唱诗社
'da'huo 大活
'da'qi'ke'xue'xue'yuan 大气科学学院
'da'xue'sheng'huo'dong'zhong'xin 大学生活动中心
'da'xue'wai'yu'bu 大学外语部
'de'yu'ju'le'bu 德语俱乐部
'di'er'ju'she 第二剧社
'di'li'yu'hai'yang'ke'xue'xue'yuan 地理与海洋科学学院
'di'qiu'ke'xue'yu'gong'cheng'xue'yuan 地球科学与工程学院
'di'tie'zhan 地铁站
'dian'ying'sha'long 电影沙龙
'dian'zi'jing'ji'lian'meng 电子竞技联盟
'dian'zi'ke'xue'yu'gong'cheng'xue'yuan 电子科学与工程学院
'dian'zi'shu'ma'xie'hui 电子数码协会
'dong'nan'da'xue 东南大学
'du'xia'tu'shu'guan 杜厦图书馆
'e'yu'ju'le 俄语俱乐
'fa'xue'yuan 法学院
'fan'bu'xue'she 反哺学社
'fei'pan'ju'le'bu 飞盘俱乐部
'gao'fen'zi'ke'xue'yu'gong'cheng'xi 高分子科学与工程系
'ge'sheng'mei'ying'yin'yue'ju'she 歌声魅影音乐剧社
'gong'cheng'guan'li'xue'yuan 工程管理学院
'gong'gong'guan'xi'xie'hui 公共关系协会
'gong'ji'she'hui'gong'zuo'xie'hui 共济社会工作协会
'gu'ge'xue'sheng'ying 谷歌学生营
'gu'lou'xiao'qu 鼓楼校区
'gu'qin'she 古琴社
'guang'gao'xue'she 广告学社
'guo'ji'zhi'yuan'zhe'xie'hui 国际志愿者协会
'hai'wai'jiao'yu'xue'yuan 海外教育学院
'han'yu'ju'le'bu 韩语俱乐部
'he'yuan 和园
'hong'lou'meng'ai'hao'zhe'xie'hui 红楼梦爱好者协会
'hong'yin'xing 洪银兴
'hua'gong'xi 化工系
'hua'xue'hua'gong'xue'yuan 化学化工学院
'hua'xue'xi 化学系
'huan'jing'ke'xue'xue'yuan 环境科学学院
'huan'jing'xie'hui 环境协会
'huo'li'fang 火立方
'ji'qing'hui'guan 集庆会馆
'ji'suan'ji'ke'xue'yu'ji'shu'xi 计算机科学与技术系
'ji'ta'xie'hui 吉他协会
'jia'gu'wen'ju'le'bu 甲骨文俱乐部
'jian'zhu'xue'yuan 建筑学院
'jiao'chao 教超
'jiao'wu'chu 教务处
'jie'wu'she 街舞社
'jin'ling'xue'yuan 金陵学院
'jin'yong'wen'xue'ai'hao'zhe'xie'hui 金庸文学爱好者协会
'ju'le'bu 俱乐部
'kai'ping'guan'li'xie'hui 开平管理协会
'kang'ping'xue'she 康平学社
'ke'huan'ai'hao'zhe'xie'hui 科幻爱好者协会
'ke'ji'jiao'liu'yu'shi'jian'xie'hui 科技交流与实践协会
'kuang'ya'ming 匡亚明
'kuang'ya'ming'xue'yuan 匡亚明学院
'la'ding'wu'she 拉丁舞社
'lan'da'wu'ye 兰达物业
'lan'qiu'xie'hui 篮球协会
'lang'man'fa'yu'xie 浪漫法语协
'le'huo'she 乐活社
'li'shi'xue'xi 历史学系
'lin'quan'gang'qin'she 林泉钢琴社
'lun'hua'ai'hao'zhe'xie'hui 轮滑爱好者协会
'lv'you'xie'hui 旅游协会
'ma'ke'si'zhu'yi'li'lun'yan'jiu'zhong'xin 马克思主义理论研究中心
'man'hua'she 漫画社
'min'jian'yi'shu'xie'hui 民间艺术协会
'mo'fang 魔方
'mo'ni'lian'he'guo'xie'hui 模拟联合国协会
'nan'da'ke'xue'yuan 南大科学园
'nan'jing'da'xue'guo'xue'she 南京大学国学社
'nan'jing'da'xue'jing'ji'xie'hui 南京大学经济协会
'nan'jing'da'xue'qi'yuan 南京大学棋院
