'a'bi'jian 阿鼻剑
'a'bu 阿布
'a'jin 阿金
'a'mai'er 阿脉儿
'ai'dao 爱到
'ai'de'wang'dao 爱的王道
'ai'jiu'zhai'yi'qi 爱就宅一起
'ai'lian'jin'shi'qi'xi'qing'ren'jie'xi'lie 爱恋金誓七夕情人节系列
'an'shi'ai'mei'hui 安室爱美惠
'bai'dao'yi'neng'meng'zhu 白道异能盟主
'bai'fa'bai'zhong'gui'xin'si'jian'biao 百发百中归心似箭镖
'bao'yu'li'hua'dong'ye'bu'dong'shui'dou'mei'yong'yi'neng'fan'zhi'qi 暴雨梨花动也不动谁都没用异能反制器
'bi'jiao'mei'hao'de'shi'jie 比较美好的世界
'bian'li'shang'dian 便利商店
'bing'dao 兵刀
'bing'xin 冰心
'bo'mi'guo'cai'zhi 波蜜果菜汁
'bu'hui'ai 不会爱
'bu'si'zhi'mi 不死之迷
'cai'han'cen 蔡函岑
'chao'xi'huan'ni 超喜欢你
'chen'de'xiu 陈德修
'chen'fu'zheng 陈傅正
'chen'yi'ru 辰亦儒
'chu'kou 出口
'chu'shen'ru'hua 出神入化
'dao'ba'jie'sen 刀疤杰森
'dian'ji'shu 电击术
'ding'xiao'yu 丁小雨
'dong'cheng'wei 东城卫
'dong'fang'liu'xing'feng 东方流行风
'dong'fang'zhu'li'ye 东方茱丽叶
'dong'li'huo'che 动力火车
'duan'chang'ren 断肠人
'duan'chang'ren 段常仁
'e'zuo'ju'er'wen 恶作剧二吻
'e'zuo'ju'zhi'wen 恶作剧之吻
'er'shao'ye 二少爷
'er'yue'san'shi'hao'jian 二月三十号见
'fan'gun'ba'dan'chao'fan 翻滚吧蛋炒饭
'fei'lun'hai 飛輪海
'fei'lun'hai 飞轮海
'fen'jian'da'fa 弅剑大法
'feng'long'ka 封龙卡
'feng'long'tie 封龙贴
'gan'ying'shu 感应术
'gang'cun'shi'lang 冈村史朗
'gong'zhu'xiao'mei 公主小妹
'gu'la'yi'er'lan'ling'wang 古拉依尔兰陵王
'gui'feng 鬼凤
'gui'ling'yan'huo'qiu 鬼灵焰火球
'gui'long 鬼龙
'gui'long'bi'ke 鬼龙鎞克
'gui'wa 鬼娃
'gui'zhan'yin'cha 鬼战音叉
'guo'er 过儿
'han'ke'la'ma'han 韩克拉玛寒
'hei'long 黑龙
'hei'se'wu'zhi 黑色物质
'heng'xing 恒星
'hong'long 红龙
'hong'se'feng'bao 红色风暴
'hu'yan'jue'luo'xiu 呼延觉罗脩
'hu'yu'wai 胡宇崴
'hua'yan 华研
'hua'yang'shao'nian'shao'nv 花样少年少女
'hua'yu'wei'shi 华娱卫视
'huang'xiao'rou 黄小柔
'hun'tian'mo'ku 浑天魔库
'huo'yan'guang'shu 火焰光束
'huo'yan'shi'zhe 火焰使者
'huo'yi'nv 火蚁女
'ji'dian'shu 急电术
'ji'feng'liang 纪风亮
'jia'neng'shu'ma'xiang'ji'dai'yan 佳能数码相机代言
'jian'die 剑蝶
'jiang'mo'ba'jue 降魔八诀
'jiang'mo'zhang'ke'mo'ba 降魔杖克魔跋
'jiao'shou 教授
'jie'ke 接客
'jin'xiu'yi 金秀伊
'jin'yuan'feng 金元丰
'jing'dian 惊典
'jing'lei'gu'bang 惊雷鼓棒
