'bie'shu 别墅
'chao'gao'ceng 超高层
'cheng'ben'jing'li 成本经理
'cheng'shi'zong 城市总
'da'yue'cheng 大悦城
'dao'gang 到岗
'di'chan'gong'si 地产公司
'gong'cheng'fu'zong 工程副总
'gong'cheng'fu'zong'cai 工程副总裁
'gong'cheng'jian'li 工程监理
'gong'cheng'shi 工程师
'hua'yuan'yang'fang 花园洋房
'ji'ben'nian'xin 基本年薪
'ji'tuan'ren'li'zi'yuan'zong'jian 集团人力资源总监
'jian'li 简历
'jian'zhu'she'ji 建筑设计
'jie'gou'she'ji 结构设计
'jing'guan'she'ji 景观设计
'jing'zhuang'xiu 精装修
'lie'pin'wang 猎聘网
'lie'tou'gong'si 猎头公司
'mu'qiang 幕墙
'nian'xin 年薪
'shang'ye'xiang'mu 商业项目
'she'ji'fu'zong'cai 设计副总裁
'shi'yong'qi 试用期
'tu'jian'gong'cheng'shi 土建工程师
'wan'da'guang'chang 万达广场
'xiang'mu 项目
'xiang'mu'zong 项目总
'xin'zi'jia'gou 薪资架构
'zhu'li'jian'zhu'shi 助理建筑师
'zhuang'shi'she'ji 装饰设计
'zong'he'ti 综合体
