'ban'ben 版本
'ban'ci 版次
'ban'yun 搬运
'bao'ding 报订
'bao'ding'qi 报订期
'bao'guan 保管
'bao'jian'zheng'li 包件整理
'bao'kan'bian'dong'shou'xu'fei 报刊变动手续费
'bao'kan'fa'xing'fei 报刊发行费
'bao'kan'fa'xing'fei'lv 报刊发行费率
'bao'kan'fa'xing'qi'dian'fei 报刊发行起点费
'bao'kan'you'fa 报刊邮发
'bao'qian 包签
'bao'sun'dan 报损单
'bao'wen 报文
'bao'xiao 包销
'bao'yi'dan 报溢单
'bao'zhi 报纸
'bao'zhuang 包装
'bei'huo'ku 备货库
'bi'jia'shou'shu 闭架售书
'cai'gou 采购
'can'po'shu 残破书
'can'po'shu'chu'li 残破书处理
'cang'chu 仓储
'cang'chu'fei'yong 仓储费用
'cang'chu'guan'li 仓储管理
'cang'ku 仓库
'cang'ku'guan'li'xi'tong 仓库管理系统
'cang'ku'kong'jian'li'yong'lv 仓库空间利用率
'cang'ku'mian'ji'li'yong'lv 仓库面积利用率
'chang'bei'mu'lu 常备目录
'chang'bei'shu 常备书
'chang'xiao'shu 常销书
'chang'xiao'shu 畅销书
'chang'xiao'shu 长销书
'cheng'liang'zhuang'zhi 称量装置
'cheng'yun'ren 承运人
'cheng'zhuan'jie'suan 承转结算
'chong'yin'shu 重印书
'chu'ban 初版
'chu'ban'dan'wei 出版单位
'chu'ban'gong'si 出版公司
'chu'ban'ji'gou 出版机构
'chu'ban'she 出版社
'chu'ban'wu 出版物
'chu'ban'wu'gong'ying'lian 出版物供应链
'chu'ban'wu'gou'xiao'he'tong 出版物购销合同
'chu'ban'wu'gou'xiao'xing'shi 出版物购销形式
'chu'ban'wu'liu'tong 出版物流通
'chu'ban'wu'shang'liu 出版物商流
'chu'ban'wu'shi'chang 出版物市场
'chu'ban'wu'shi'chang'xi'fen 出版物市场细分
'chu'ban'wu'tiao'ma 出版物条码
'chu'ban'wu'wu'liu 出版物物流
'chu'ban'wu'xin'xi'liu 出版物信息流
'chu'ban'wu'ying'xiao'fen'lei 出版物营销分类
'chu'ban'wu'zi'jin'liu 出版物资金流
'chu'ban'zhe 出版者
'chu'ban'zhuang'tai 出版状态
'chu'chang'bao 出厂包
'chu'chang'bao'biao'qian 出厂包标签
'chu'cun 储存
'chu'cun'ku 储存库
'chu'ku 出库
'chu'ku'cha'cuo'lv 出库差错率
'chu'wei 储位
'chuang'kan'hao 创刊号
'ci'pan 磁盘
'cong'kan 丛刊
'cong'shu 丛书
'cun'huo'cheng'ben 存货成本
'da'zhong'lei'tu'shu 大众类图书
'dai'li 代理
'dai'li'shang 代理商
'dai'xiao'dian 代销点
'dan'xing'ben 单行本
'di'san'fang'wu'liu 第三方物流
'dian'zi'chu'ban'wu 电子出版物
'dian'zi'ding'huo'xi'tong 电子订货系统
'dian'zi'shang'wu 电子商务
'dian'zi'shu'ju'jiao'huan 电子数据交换
'ding'dan'man'zu'lv 订单满足率
'ding'huo 订货
