'a'po 阿婆
'an'ying'ci'ke 暗影刺客
'an'ying'ci'ke'qi 暗影刺客柒
'bao'biao 保镖
'bei'qing'mo'yin 悲情魔音
'chen'da'bo 陈大伯
'chi'ya 赤牙
'ci'ke 刺客
'ci'ke'lian'meng 刺客联盟
'he'da'chun 何大春
'ji'da'bao 鸡大保
'ji'xiao'fei 鸡小飞
'jiang'hui'lian 江惠莲
'jiu'zhi'qin'mo 九指琴魔
'ke'le 可乐
'mei'hua'biao 梅花镖
'mei'hua'shi'san 梅花十三
'mei'hua'shi'yi 梅花十一
'miao'cai 喵财
'miao'xiao'mi 喵小咪
'mo'dao'qian'ren 魔刀千刃
'qing'feng 青凤
'shan'ji'wang 山鸡王
'shou'ling 首领
'shuang'dao 双刀
'si'tan'guo 斯坦国
'si'tan'guo'wang'zi 斯坦国王子
'si'te'guo 斯特国
'si'te'guo'wang'zi 斯特国王子
'tian'lian'pai 天莲派
'wang'feng 汪疯
'wu'liu'qi 伍六七
'yi'qi'yu'jian 以气御剪
