'a'gang 阿纲
'a'jin 阿金
'a'ming 阿明
'a'xue 阿雪
'a'zhong 阿忠
'ba'chi 八尺
'ba'dao'ji'guan 霸道机关
'ba'dao'ji'guan'shu 霸道机关术
'bai'bu'fei'jian 百步飞剑
'bai'cao'dan 百草丹
'bai'feng 白凤
'bai'feng'huang 白凤凰
'bai'lu'qi'shuang 白露欺霜
'bai'ma'fei'ma 白马非马
'bai'shao 白少
'bai'xue 白雪
'ban'da'shi 班大师
'ban'lao'tou 班老头
'bi'hua 碧华
'bi'xue'yu'ye'hua 碧血玉叶花
'bian'jing 边境
'bing'jia 兵家
'can'hong 残虹
'can'yue'gu 残月谷
'cang'hai'heng'liu 沧海横流
'cang'lang'wang 苍狼王
'cang'long'chu'xian 苍龙初现
'cang'long'qi'su'zhi'mi 苍龙七宿之谜
'chang'hong'guan'ri 长虹贯日
'chen'yan'xi 陈妍希
'chen'zhe'lun 陈喆伦
'chi'lian 赤练
'chi'lian'wang'she 赤练王蛇
'chi'song'zi 赤松子
'chi'tong 赤瞳
'chi'xiao 赤霄
'chi'you'jian 蚩尤剑
'chu'guo 楚国
'chu'guo'shao'zhu 楚国少主
'chu'nan'gong 楚南公
'da'shu 大叔
'da'si'ming 大司命
'da'tie'chui 大铁锤
'da'ye'xin'jia 大野心家
'da'yu'shi'xiang 大禹石像
'da'zhou'tian'xing'qi'fa 大周天行气法
'dang'ren'bu'rang 当仁不让
'dao'jia 道家
'dao'jia'wu'gong 道家武功
'dao'ming 盗命
'dao'wang'zhi'wang 盗王之王
'dao'zhi 盗跖
'deng'li'min 邓立民
'di'yi'jian'sheng 第一剑圣
'dian'guang'shen'xing'bu 电光神行步
'die'chi 谍翅
'ding'yu'chen 丁宇辰
'dong'huang'ge'xia 东皇阁下
'dong'huang'tai'yi 东皇太一
'dong'shen'tai'yi 东神太一
'du'xin'shu 读心术
'duan'mu'rong 端木蓉
'duan'shui 断水
'er'shi'gong 二师公
'er'shu 二叔
'er'zong 二宗
'fa'jia 法家
'fan'zeng 范增
'fang'zi'nuo 方梓诺
'fei'gong 非攻
'fei'gong'ji'guan 非攻机关
'fei'gong'ji'guan'shu 非攻机关术
'fei'xue'ge 妃雪阁
'fei'xue'yu'hua'tai 飞雪玉花台
'fen'shu'keng'ru 焚书坑儒
'fen'zheng 纷争
'feng'hu'zi 风胡子
'feng'hu'zi'jian'pu 风胡子剑谱
'feng'lian 凤练
'feng'mian'zhou'yin 封眠咒印
'feng'shao 风少
'feng'si 凤司
'feng'wu'liu'huan 凤舞六幻
'feng'xiao'xiao'xi'yi'shui'han 风萧萧兮易水寒
'feng'zhi 凤跖
'fu'che 扶澈
'fu'nian 伏念
'fu'sang'shen'mu 扶桑神木
'fu'su 扶苏
'fu'xue'shu 蝠血术
'gai'nie 盖聂
'gan'jiang 干将
'gao'jian'li 高渐离
'gao'xue 高雪
'gao'yue 高月
'gao'yue'gong'zhu 高月公主
'geng'le 耿乐
'gong'bei'bi 龚蓓苾
'gong'fang'min 公方敏
'gong'shu'chou 公输仇
'gong'shu'jia'zu 公输家族
'gong'sun'da'ma 公孙大妈
'gong'sun'li'ji 公孙丽姬
'gong'sun'ling'long 公孙玲珑
'gui'gu 鬼谷
'gui'gu'pai 鬼谷派
'gui'gu'tu'na'shu 鬼谷吐纳术
'gui'gu'wu'gong 鬼谷武功
'gui'gu'ye'sheng 鬼谷野生
'gui'gu'zi 鬼谷子
'guo'xu'wei 郭许炜
'han'fei 韩非
'han'fei'zi 韩非子
'han'guang 含光
'han'guo 韩国
'han'wang'an 韩王安
'han'xin 韩信
'han'zhen'hua 韩振华
'he'guang'tong'chen 和光同尘
'hei'long'juan'zong 黑龙卷宗
'hei'qi'lin 黑麒麟
'heng'guan'si'fang 横贯四方
'heng'jian'shu 横剑术
'hong'lian 红莲
'hong'lian'dian'xia 红莲殿下
'hu'bing'qing 胡冰卿
'hu'hai 胡亥
'hu'shun'er 胡顺儿
'huan'yin'bao'he 幻音宝盒
'huang'tian'hou'tu 皇天后土
'huang'yang'chuan 黄羊川
'hun'dian 魂殿
'hun'xi'long'you 魂兮龙游
'huo'mei'shu 火媚术
'huo'yan'chi'lian'wang'she 火焰赤练王蛇
'ji'da'ren 姬大仁
'ji'guan'bai'hu 机关白虎
'ji'guan'bi 机关臂
'ji'guan'bian'fu 机关蝙蝠
'ji'guan'gang'ren 机关钢人
'ji'guan'jiao 机关脚
'ji'guan'mo'zi 机关墨子
'ji'guan'qing'long 机关青龙
'ji'guan'san 机关伞
'ji'guan'sha'zhou 机关沙舟
'ji'guan'she 机关蛇
'ji'guan'shou 机关兽
'ji'guan'shou 机关手
'ji'guan'wu'shuang 机关无双
'ji'guan'xuan'wu 机关玄武
'ji'guan'zhu'que 机关朱雀
'ji'ru 姬如
'ji'ru'qian'long 姬如千泷
'ji'wu'ye 姬无夜
'ji'xiao'fei 姬晓飞
'ji'zhu'qu'mu 击筑曲目
'jian'fa 剑法
'jian'pu 剑谱
'jian'qi 剑气
'jian'sheng 剑圣
'jian'shu 剑术
'jiang'jin'fu 蒋劲夫
'jie'niu'dao'fa 解牛刀法
'jin'chen 金晨
'jing'gao 荆高
'jing'hu'yi'zhuang 镜湖医庄
'jing'hun 精魂
'jing'ke 荆轲
'jing'ke'wai'zhuan 荆轲外传
'jing'tian'ming 荆天明
'jiu'gong'yi'hun'shu 九宫移魂术
'jiu'quan'bi'xue'yu'ye'hua 九泉碧血玉叶花
'jiu'shui'feng'qi 九水风起
'ju'qi'cheng'ren 聚气成刃
'ju'que 巨阙
'ju'san'liu'sha 聚散流沙
'ju'zi 巨子
'jue'tian'suo 绝天锁
'jue'ying 绝影
'jun'lin'tian'xia 君临天下
'kong'zhou'san'jian 孔周三剑
'ku'lou'xue'shou'yin 骷髅血手印
'ku'yu 枯鱼
'kuang'xiu 旷修
'lan'lan 兰兰
'lan'mei'zhi 蓝莓汁
'lan'mei'zi 兰妹子
'lan'xiao'er 兰小二
'lan'yue 兰月
'lei'shen'chui 雷神锤
'lei'shen'quan 雷神拳
'li'ji 丽姬
'li'qian'li 李乾立
'li'shang'wang'lai 礼尚往来
'li'si 李斯
'li'yu'fu 李昱孚
'lian'she'ruan'jian 链蛇软剑
'liang'dian 良殿
'liang'yan 良颜
'lin'er 麟儿
'ling'bo'fei'yan 凌波飞燕
'ling'hao'bai'hu 零号白虎
'ling'xu 凌虚
'liu'bang 刘邦
'liu'chu'tian 刘楚恬
'liu'dao'lun'jia'zi'suo 六道轮甲子锁
'liu'hun'kong'zhou 六魂恐咒
'liu'ji 刘季
'liu'jian'nu 六剑奴
'liu'sha 流沙
'liu'shuai'liang 刘帅良
'liu'xi'ming 刘锡明
'liu'zhi'hei'xia 六指黑侠
'long'hou 龙喉
'long'qie 龙且
'long'teng'wan'li 龙腾万里
'lou'lan 楼兰
'lu'ban 鲁班
'lu'yi 陆毅
'luan'shen 乱神
'luo'wang 罗网
'luo'yang'cheng 洛阳城
'lv'lao'bo 吕老伯
'mai'hua'gu'niang 卖花姑娘
'men'pai 门派
'meng'die'zhi'dun 梦蝶之遁
'meng'die'zhi'fa 梦蝶之法
'meng'tian 蒙恬
'mie'hun 灭魂
'ming'bao 明宝
'ming'hao 名号
'ming'jia 名家
'ming'yu 明羽
'ming'yue 明月
'ming'yue'xia'dao 明月侠道
'ming'yue'yong'heng 明月永恒
'mo'he'mi'shi 墨核密室
'mo'jia 墨家
'mo'jia'ji'guan'cheng 墨家机关城
'mo'jia'ju'zi 墨家巨子
'mo'jia'si'ling'shou 墨家四灵兽
'mo'mei 墨眉
'mo'yu'qi'lin 墨玉麒麟
'mo'zi 墨子
'mu'yuan 木鸢
'ni'liu'sha 逆流沙
'nian'duan 念端
'niao'yu'fu 鸟羽符
'nie'da'shu 聂大叔
'nie'rong 聂蓉
'nong'jia 农家
'nong'yu 弄玉
'nv'shen'zhi'lei 女神之泪
'ou'ye'zi 欧冶子
'pao'ding 庖丁
'pi'xiu 貔貅
'po'tu'qi'lang 破土七郎
'po'tu'san'lang 破土三郎
'po'zhen'ba'wang'qiang 破阵霸王枪
'qi'hai'jiao'long'jia 七海蛟龙甲
'qi'lin'ci 麒麟刺
'qi'lu'san'jie 齐鲁三杰
'qi'sha'men 七杀门
'qi'wu'lun 齐物论
'qian'ji'lou 千机楼
'qian'ji'mi'ma'tong'pan 千机密码铜盘
'qian'long 千泷
'qian'yuan'yu'sha 乾元玉煞
'qiang'yu 强宇
'qin'guo 秦国
'qin'jun'jie 秦俊杰
'qin'mi 秦迷
'qin'shi'huang 秦始皇
'qin'shi'ming'yue 秦时明月
'qin'shi'ming'yue'zhi'bai'bu'fei'jian 秦时明月之百步飞剑
'qin'shi'ming'yue'zhi'cang'hai'heng'liu 秦时明月之沧海横流
'qin'shi'ming'yue'zhi'jing'ke'wai'zhuan 秦时明月之荆轲外传
'qin'shi'ming'yue'zhi'jun'lin'tian'xia 秦时明月之君临天下
'qin'shi'ming'yue'zhi'long'teng'wan'li 秦时明月之龙腾万里
'qin'shi'ming'yue'zhi'wan'li'chang'cheng 秦时明月之万里长城
'qin'shi'ming'yue'zhi'wang'qin'bi'chu 秦时明月之亡秦必楚
'qin'shi'ming'yue'zhi'xiao'chuang'jiang'hu 秦时明月之笑闯江湖
'qin'shi'ming'yue'zhi'ye'jin'tian'ming 秦时明月之夜尽天明
'qin'shi'ming'yue'zhi'yue'bing'kuang'chao 秦时明月之月饼狂潮
'qin'shi'ming'yue'zhi'zhu'zi'bai'jia 秦时明月之诸子百家
'qin'wang 秦王
'qin'wu'yang 秦舞阳
'qing'lin'huo'yan'she 青鳞火焰蛇
'qiu'li 秋骊
'qu'gao'he'gua 曲高和寡
'qu'zhe'ming 曲哲明
'ren'zong 人宗
'ren'zong'jian'fa 人宗剑法
'rong'gu'niang 蓉姑娘
'rong'jie'jie 蓉姐姐
'ru'jia 儒家
'ru'jia'wu'gong 儒家武功
'san'cai'dou'zhen 三才斗阵
'san'shi'gong 三师公
'san'zhang'yi'fu 三丈翼蝠
'san'zu'jin'wu 三足金乌
'sang'hai 桑海
'sang'hai'cheng 桑海城
'sha'chi 鲨齿
'sha'shou 沙兽
'shang'shan'ruo'shui 上善若水
'shang'tong'mo'fang 尚同墨方
'shao'shao 少少
'shao'si'ming 少司命
'shao'yu 少羽
'shao'yu 烧鱼
'shao'zhu 少主
'she'gu'shu 蛇蛊术
'shen'lou 蜃楼
'shen'xue'wei 沈雪炜
'sheng'qi 胜七
'sheng'wang'jian'fa 圣王剑法
'shi'da'ming'jian 十大名剑
'shi'huang'zhi'si 始皇之死
'shi'lan 石兰
'shi'long 弑龙
'shi'men'xia 石门峡
'shi'shen'zhou'gu 尸神咒蛊
'shi'ya'yu 噬牙狱
'shu'shan 蜀山
'shu'shan'die'bian 蜀山蝶变
'shu'shan'gong'zhu 蜀山公主
'shu'shan'wu'gong 蜀山武功
'shuang'hun 霜魂
'shui'han 水寒
'shui'ming'yue 水明月
'shun'fei'lun 瞬飞轮
'si'zhao'tie'zhi'zhu 四爪铁蜘蛛
'song'ning 宋宁
'song'xin'jia'yi 宋欣佳怡
'su'ying 素影
'sui'yong'liang 隋咏良
'sun'yi'zhou 孙艺洲
'ta'ren 踏人
'ta'xue 踏雪
'tai'e 太阿
'tao'wang 逃亡
'teng'nuo'ge'dou'shu 腾挪格斗术
'tian'di'xuan'huang 天地玄黄
'tian'gang'jian'zhen 天罡剑阵
'tian'lai'chuan'yin 天籁传音
'tian'ming 天明
'tian'wen 天问
'tian'xia'di'yi'jian 天下第一剑
'tian'xia'di'yi'jian'ke 天下第一剑客
'tian'zhao 天照
'tian'zong 天宗
'tie'qi 铁骑
'tong'men 同门
'tong'ren 铜人
'tong'ren'zhen 铜人阵
'tu'dou 土豆
'tu'na'fa'men 吐纳法门
'wan'chuan'qiu'shui 万川秋水
'wan'li'chang'cheng 万里长城
'wan'ye'fei'hua'liu 万叶飞花流
'wang'chun'yuan 王春元
'wang'dao'mo'gong 王道墨攻
'wang'jian 王翦
'wang'liang 魍魉
'wang'qin'bi'chu 亡秦必楚
'wang'xiu'ze 王修泽
'wang'yan'lin 王彦霖
'wei'guo 卫国
'wei'lian 卫练
'wei'zhuang 卫庄
'wu'bu'jue'sha 五步绝杀
'wu'ji 舞姬
'wu'lei 吴磊
'wu'ling'xuan'tong 五灵玄同
'wu'shuang 无双
'wu'shuang'gui 无双鬼
'wu'ze'jin'xi 武泽锦熙
'wu'zu 巫族
'xi'chu'ba'wang 西楚霸王
'xi'shi'du 西施毒
'xia'dao'fei'gong 侠道非攻
'xian'yang 咸阳
'xian'yang'gong 咸阳宫
'xiang'fu'ren 湘夫人
'xiang'jian'shi 相剑师
'xiang'jun 湘君
'xiang'liang 项梁
'xiang'shao'yu 项少羽
'xiang'shi'yi'zu 项氏一族
'xiang'yan 项燕
'xiao'bing 萧兵
'xiao'gao 小高
'xiao'hei 小黑
'xiao'li 小黎
'xiao'long 小龙
'xiao'meng 晓梦
'xiao'meng'da'shi 晓梦大师
'xiao'rong'sheng 肖荣生
'xiao'sheng'xian'zhuang 小圣贤庄
'xiao'yao'you 逍遥游
'xiao'yao'zi 逍遥子
'xiao'yu 小虞
'xiao'zhi 小跖
'xiao'zhuang 小庄
'xin'er 昕儿
'xin'wu 信物
'xing'hun 星魂
'xu'fu'ren 徐夫人
'xu'fu'zi 徐夫子
'xu'yao'ling'zhe 徐尧令喆
'xuan'hu 玄虎
'xuan'ji 玄机
'xuan'jian 玄翦
'xue'can'si 血蚕丝
'xue'can'si'zhen 血蚕丝阵
'xue'gao 雪高
'xue'hao'sheng'lang'du 雪蒿生狼毒
'xue'hou'chu'qing 雪后初晴
'xue'ji 雪霁
'xue'nv 雪女
'xue'nv'jie'jie 雪女姐姐
'xue'zhu 薛烛
'xun'bao 寻宝
'xun'zi 荀子
'yan'chun'jun 燕春君
'yan'chun'jun 雁春君
'yan'dan 燕丹
'yan'guo 燕国
'yan'hui 颜回
'yan'liang 颜良
'yan'lu 颜路
'yan'tai'zi'dan 燕太子丹
'yan'tai'zi'fei 燕太子妃
'yan'wang'xi 燕王喜
'yan'yi 晏懿
'yang'chun 阳春
'yang'chun'bai'xue 阳春白雪
'yang'guang 杨光
'yao'jian 妖剑
'ye'jin'tian'ming 夜尽天明
'ye'mu 夜幕
'yi'hun'fa 易魂法
'yi'jia 医家
'yi'shui 易水
'yi'shui'han 易水寒
'yi'xian 医仙
'yi'xing'huan'wei 移形换位
'yi'ye'zhang'mu 一叶障目
'yin'fu 隐蝠
'yin'mai'ba'zhou 阴脉八咒
'yin'yang'he'shou'yin 阴阳合手印
'yin'yang'jia 阴阳家
'yin'yang'jia'gong'zhu 阴阳家公主
'yin'yang'kui'lei'shu 阴阳傀儡术
'yin'yang'mi'shu 阴阳秘术
'yin'yang'zhou'yin 阴阳咒印
'yin'zhen 银针
'ying'shu 樱树
'ying'zheng 嬴政
'you'jian'ke'zhan 有间客栈
'you'jing'ru 尤靖茹
'you'lan'si'jin 幽兰丝巾
'yu'bo 于波
'yu'han'gu 于函谷
'yu'ji 虞姬
'yu'lan 羽兰
'yu'lan'wang'dao 羽兰王道
'yu'ming 羽明
'yu'ren 羽刃
'yu'sha 玉煞
'yuan'gu'long'hun 远古龙魂
'yuan'hong 渊虹
'yue'bing 月饼
'yue'bing'kuang'chao 月饼狂潮
'yue'er 月儿
'yue'gu'niang 月姑娘
'yue'guang 月光
'yue'shen 月神
'yue'wang'ba'jian 越王八剑
'yun'zhong'jun 云中君
'zhan'guo 战国
'zhan'lu 湛卢
'zhang'liang 张良
'zhang'men 掌门
'zhang'meng 张萌
'zhang'shan 张羴
'zhang'xi'he 张溪和
'zhang'xiang 张翔
'zhao'gao 赵高
'zhao'guo 赵国
'zhao'yi 赵一
'zhao'yun'wei'yang'zhan 昭云未央斩
'zhen'gang 真刚
'zhen'yu'qian'ye 鸩羽千夜
'zheng'ge 政哥
'zhi'shao 跖少
'zhi'zun'wu'qi 至尊武器
'zhong'yang'da'ting 中央大厅
'zhu'hong 朱虹
'zhu'yu'shuo 朱俞硕
'zhu'zi'bai'jia 诸子百家
'zhuan'po 转魄
'zhuang'lian 庄练
'zhuang'shu 庄叔
'zhui'yue 追月
'zi'cong 子聪
'zi'fang 子房
'zi'ming 子明
'zi'mu 子慕
'zi'nv 紫女
'zi'ya'yu 子牙狱
'zi'you 子游
'zi'yu 子羽
'zong'heng'jia 纵横家
'zong'heng'jian'fa 纵横剑法
'zong'jian'shu 纵剑术
'zui'xian'si'shi 醉仙四式
'zuo'jin'zhu 左金珠
'zuo'wang'xin'fa 坐忘心法
