'an'jiao 岸礁
'ao'zhou'jie 澳洲界
'ban'dao 半岛
'ban'gu'ding'sha'qiu 半固定沙丘
'ban'nong'ban'mu'qu 半农半牧区
'bao'fa'hong'shui 暴发洪水
'bao'he'dai 饱和带
'bao'jiao 堡礁
'bao'yu'jing'liu 暴雨径流
'bao'zai 雹灾
'bei'ban'qiu 北半球
'bei'dao'gong'ye 被导工业
'bei'hui'gui'xian 北回归线
'bei'ji 北极
'bi'he'pen'di 闭合盆地
'bi'li'kuo'zhang 比例扩张
'bi'li'zeng'qiang 比例增强
'bian'yuan'di 边缘地
'bian'yuan'hua 边缘化
'bian'yuan'zeng'qiang 边缘增强
'bian'zhuang'he 辫状河
'biao'xing'hua'he'wu 标型化合物
'biao'xing'li'zi 标型离子
'biao'xing'yuan'su 标型元素
'biao'zhun'hua'da'du'shi'tong'ji'qu 标准化大都市统计区
'biao'zhun'wei'xian 标准纬线
'bin'he'chuang'sha'ba 滨河床沙坝
'bin'wai'ba 滨外坝
'bing'ca'hen 冰擦痕
'bing'chuan 冰川
'bing'chuan'bian'hua 冰川变化
'bing'chuan'bu'gei 冰川补给
'bing'chuan'di'zhi'xue 冰川地质学
'bing'chuan'he'liu 冰川河流
'bing'chuan'hua 冰川化
'bing'chuan'tui'suo 冰川退缩
'bing'chuan'wu'zhi'ping'heng 冰川物质平衡
'bing'chuan'xi 冰川隙
'bing'chuan'xue 冰川学
'bing'chuan'zuo'yong 冰川作用
'bing'dou 冰斗
'bing'dou'bing'chuan 冰斗冰川
'bing'fen'ning 冰分凝
'bing'gai 冰盖
'bing'jiao'jie 冰胶结
'bing'qi 冰期
'bing'qi'hou 冰期后
'bing'shan 冰山
'bing'tou'jing'ti 冰透镜体
'bing'xia'he'dao 冰下河道
'bing'xie 冰楔
'bing'yuan 冰原
'bing'yuan 冰缘
'bo'lang'qin'shi 波浪侵蚀
'bo'luo 剥落
'bo'pu'fen'bian'lv 波谱分辨率
'bo'shi 剥蚀
'bo'shi'mian 剥蚀面
'bu'gui'ze'san'jiao'wang'ge 不规则三角网格
'bu'ju'gui'mo'jing'ji 布局规模经济
'bu'luo'ling'tu 部落领土
'bu'men'jing'ji'di'li'xue 部门经济地理学
'cai'se'he'cheng 彩色合成
'can'ji'ceng 残积层
'can'ji'jing'guan 残积景观
'can'ji'tu 残积土
'can'ji'wu 残积物
'can'liu'yin'su 残留因素
'can'yi'zhong'qu 残遗种区
'cang'jing'kong 苍井空
'cao'dian 草甸
'cao'dian'zhao'ze 草甸沼泽
'cao'yuan 草原
'cao'yuan'qi'hou 草原气候
'cao'yuan'tu'rang 草原土壤
'ce'xiang'qin'shi 侧向侵蚀
'ceng'jian'liu 层间流
'ceng'jie'hu 层结湖
'cha'yi'feng'hua'zuo'yong 差异风化作用
'chan'liu 产流
'chan'sha'liang 产沙量
'chan'sha'lv 产沙率
'chan'shui'liang 产水量
'chan'zhao 颤沼
'chang'lv'kuo'ye'lin 常绿阔叶林
'chao'gou 潮沟
'chao'tan 潮滩
'chao'xi'tong'dao 潮汐通道
'chen'ji'wu 沉积物
'chen'ji'xiang 沉积相
'chen'ji'zuo'yong 沉积作用
'cheng'bing'zuo'yong 成冰作用
'cheng'shi 城市
'cheng'shi'bian'yuan 城市边缘
'cheng'shi'chang 城市场
'cheng'shi'deng'ji'xu'lie 城市等级序列
'cheng'shi'di'li'xue 城市地理学
'cheng'shi'fu'ji 城市辐集
'cheng'shi'geng'xin 城市更新
'cheng'shi'hua 城市化
'cheng'shi'hua'cun 城市化村
'cheng'shi'hua'qu'yu 城市化区域
'cheng'shi'ji'qun 城市集群
'cheng'shi'li'shi'di'li 城市历史地理
'cheng'shi'lian'mian'qu 城市连绵区
'cheng'shi'qi'hou 城市气候
'cheng'shi're'dao 城市热岛
'cheng'shi'ren'kou 城市人口
'cheng'shi'sheng'tai'xi'tong 城市生态系统
'cheng'shi'sheng'zhang'ji 城市生长极
'cheng'shi'shuai'luo'qu 城市衰落区
'cheng'shi'ti'xi 城市体系
'cheng'shi'wan'sheng 城市蔓生
'cheng'shi'xing'tai 城市形态
'cheng'shi'yin'li 城市引力
'cheng'shi'zai'kai'fa 城市再开发
'cheng'shu'tu'rang 成熟土壤
'cheng'xiang'jiao'cuo'dai 城乡交错带
'cheng'ya'di'xia'shui 承压地下水
'chi'dao 赤道
'chi'dao'dai 赤道带
'chong'gou 冲沟
'chong'ji'ceng 冲积层
'chong'ji'shan 冲积扇
'chong'ji'wu 冲积物
'chong'ji'zhui 冲积锥
'chong'shua 冲刷
'chu'kou'ji'di'li'lun 出口基地理论
'chuan'ran'kuo'san 传染扩散
'chui'shi 吹蚀
'chui'xue 吹雪
'chui'zhi'di'dai 垂直地带
'chui'zhi'di'dai'xing 垂直地带性
'ci'ji'kuo'san 刺激扩散
'cong'shu'jing'guan 从属景观
'da'du'shi'quan 大都市圈
'da'du'shi'shi'qu 大都市市区
'da'gu'jie'bing 大骨节病
'da'lu 大陆
