'a'bo'luo'xing 阿波罗型
'a'la'bo'tu'an 阿拉伯图案
'a'te'la'si 阿特拉斯
'ai 爱
'ai'ge 哀歌
'ai'ge'xing 哀歌性
'ai'qing'wen'xue 爱情文学
'ai'shang 哀伤
'an'tou'ju'ben 案头剧本
'ao'fu'diao 凹浮雕
'ba'lei'wu 芭蕾舞
'ba'xi'li'ka 巴西利卡
'bai'miao 白描
'bai'zhan'ting'mei'shu 拜占庭美术
'ban'fu'diao 半浮雕
'ban'hua 版画
'ban'ji'lu'pian 半纪录片
'ban'mian'hua 板面画
'ban'mian'she'ji 版面设计
'ban'yin'jie 半音阶
'ban'yin'yin'lie 半音音列
'ban'yin'yin'lie'yin'yue 半音音列音乐
'bao'hao'si 包浩斯
'bao'she'yun 包摄韵
'bao'zhuang 包装
'bei'ai 悲哀
'bei'ge 悲歌
'bei'ge'ju 悲歌剧
'bei'jing 背景
'bei'jing'qu'xian 贝京曲线
'bei'ju 悲剧
'bei'ju'mei 悲剧美
'bei'ju'xing'de'dian 悲剧性的点
'bei'ju'zhi'xing 悲剧知性
'bei'ke'guan'hua'jing'shen 被客观化精神
'bei'xi'ju 悲喜剧
'bei'zhuang 悲壮
'ben'ban'hua 本版画
'ben'lai'de'mei 本来的美
'ben'lai'xing'yi'qing 本来性移情
'ben'wen'jie'shi 本文解释
'ben'wen'pi'ping 本文批评
'ben'zhi'zhi'guan 本质直观
'bi'jiao'dong'qi'xue 比较东器学
'bi'jiao'mei'shu'xue 比较美术学
'bi'jiao'mei'xue 比较美学
'bi'jiao'wen'xue 比较文学
'bi'jiao'wen'xue'shi 比较文学史
'bi'jiao'yin'yue'shi 比较音乐史
'bi'jiao'yin'yue'xue 比较音乐学
'bi'li 比例
'bi'yu 比喻
'bi'yu'xing'kua'zhang 比喻性夸张
'bian'tai'de 变态的
'bian'zou'qu'xing'shi 变奏曲形式
'biao'chu 表出
'biao'chu'yi'shu 表出艺术
'biao'mian 表面
'biao'mian'se 表面色
'biao'mian'xian 表面线
'biao'qing'shu 表情术
'biao'ti'yin'yue 标题音乐
'biao'xian 表现
'biao'xian'de'yi'shu 表现的艺术
'biao'xian'mei 表现美
'biao'xian'nei'rong 表现内容
'biao'xian'xue 表现学
'biao'xiang'gan'qing 表象感情
'biao'zhun'dian'ying 标准电影
'biao'zhun'zhao'xiang 标准照相
'bo'li'gong'yi 玻璃工艺
'bo'li'hua 玻璃画
'bu'se 补色
'bu'tou'ming'yan'liao 不透明颜料
'bu'xie'he'yin 不协和音
'bu'zi'you'zhi'shu 不自由芝术
'cai'hua 彩画
'cai'liao'de'shi'dang'xing 材料的适当性
'cai'liao'ji'neng 材料机能
'cai'neng'jiao'yu 才能教育
'cai'se'bo'li 彩色玻璃
'ce'mian'da'dao'ju'wu'tai 侧面大道具舞台
'cha'dao 茶道
'cha'hua 插话
'cha'tu 插图
'chang 场
'chang'diao 长调
'chang'ju 长句
'chang'mian 场面
'chang'pian'xiao'shuo 长篇小说
'chang'yin'jie 长音阶
'chao'gan'xing'mei 超感性美
'chao'mei 超美
'chao'xian'shi'zhu'yi 超现实主义
'chen'fu'diao 沉浮雕
'chen'lie 陈列
'cheng'jie'xing 惩戒性
'chong'chang 重唱
'chong'die 重叠
'chong'gao 崇高
'chong'gao'de'ling'hun 崇高的灵魂
'chong'zou 重奏
'chou 丑
'chou'de'mei'xue 丑的美学
'chou'xiang 抽象
'chou'xiang'chong'dong 抽象冲动
'chou'xiang'de'kong'jian'yi'shu 抽象的空间艺术
'chou'xiang'mei'shu 抽象美术
'chou'xiang'xing'shi'zhu'yi 抽象形式主义
'chou'xiang'yi'shu 抽象艺术
'chu'jue 触觉
'chu'jue'kong'jian 触觉空间
'chu'jue'xiang 触觉像
'chu'jue'xing 触觉形
'chu'jue'xing 触觉性
'chuan'shuo 传说
'chuan'tong 传统
'chuan'tong'pi'ping 传统批评
'chuan'tong'zhu'yi 传统主义
'chuang'zao 创造
'chuang'zao'de'zi'ran 创造的自然
'chuang'zao'jiao'yu 创造教育
'chuang'zao'jiao'yu'li'lun 创造教育理论
'chuang'zao'xing'pi'ping 创造性批评
'chuang'zao'xing'wen'xue 创造性文学
'chuang'zao'xing'xing'shi 创造性形式
'chuang'zao'xing'zhi'guan 创造性直观
'chuang'zuo'mei'xue 创作美学
'chuang'zuo'qi'fen 创作气氛
'chun'cui'dian'ying 纯粹电影
'chun'cui'gan'qing 纯粹感情
'chun'cui'ke'shi'xing 纯粹可视性
'chun'cui'liang'xing'shi 纯粹量形式
'chun'cui'mei 纯粹美
'chun'cui'sheng'chan 纯粹生产
'chun'cui'shi 纯粹诗
'chun'cui'xing'shi 纯粹形式
'chun'cui'yi'shu 纯粹艺术
'chun'cui'zhi'guan 纯粹直观
'chun'cui'zhi'xing'shi 纯粹质形式
'chun'yin'yue 纯音乐
'chun'zheng'lv 纯正律
'chun'zheng'mei 纯正美
'cun'zai 存在
'cun'zai'de'jiao'ji 存在的交际
'cun'zai'zhu'yi 存在主义
'cun'zai'zhu'yi'mei'xue 存在主义美学
'cuo'ci 措辞
'da 大
'da'da'zhu'yi 达达主义
'da'diao 大调
'da'ju'chang 大剧场
'da'li'shi'diao'ke 大理石雕刻
'da'zhong'chuan'bo 大众传播
'da'zhong'guan'zhong 大众观众
'da'zhong'mei'ti 大众媒体
'da'zhong'yi'shu 大众艺术
'dan'chun'mei 单纯美
'dan'mei'zhu'yi 耽美主义
'dan'qing'hua 蛋清画
'dao'de'mei 道德美
'dao'de'xing'de'xiang'zheng 道德性的象征
'dao'ru'bu 导入部
'dao'yan 导演
'dao'zhi 倒置
'dao'zhuang'fa 倒装法
'de'guo'guan'nian'lun 德国观念论
'deng'chang'ren'wu 登场人物
'deng'ji'ju'chang 等级剧场
'deng'shen'xiang 等身像
'di'ao'ni'suo'si'song'ge 狄奥尼索斯颂歌
'di'ao'ni'suo'si'xing 狄奥尼索斯型
'di'er'zhu'ti 第二主题
'di'jin'fa 递进法
'di'qu'yang'shi 地区样式
'di'san'ren'cheng'xing'shi 第三人称形式
'di'si'mian'bi 第四面壁
'di'yi'ren'cheng'xing'shi 第一人称形式
'di'yi'zhu'ti 第一主题
'dian'hua'pai 点画派
'dian'jing 点景
'dian'shi'ju 电视剧
'dian'shi'pian 电视片
'dian'shi'yi'shu'li'lun 电视艺术理论
'dian'xing 典型
'dian'ying 电影
'dian'ying'de'zhong'lei 电影的种类
'dian'ying'jiao'yu 电影教育
'dian'ying'shi 电影诗
'dian'ying'shi'jie 电影世界
'dian'ying'xue 电影学
'dian'ying'yi'shu'li'lun 电影艺术理论
'dian'ying'yin'yue 电影音乐
'dian'ying'yun'dong 电影运动
'dian'zi'yin'yue 电子音乐
'diao'xing 调性
'diao'xing'yin'yue 调性音乐
'ding'liang'zhu'yi 定量主义
'ding'xuan'lv 定旋律
'dong'fang'hua 东方画
'dong'hua 动画
'dong'hua'dian'ying 动画电影
'dong'ji 动机
'dong'zuo 动作
'dong'zuo'tai 动作态
'du'bai 独白
'du'bai'chang'mian 独白场面
'du'chang 独唱
'du'chuang'xing 独创性
'du'jiao'xi 独角戏
'du'zou 独奏
'duan'tiao 短调
'duan'yin'jie 短音阶
'duan'zhang 断章
'dui'chen 对称
'dui'hua 对话
'dui'hua'qing'ge'ju 对话轻歌剧
'dui'ju 对句
'dui'wei'de'yin'yue 对位的音乐
'dui'wei'fa 对位法
'dui'xiang'de'gan'qing 对象的感情
'dui'xiang'de'nei'rong 对象的内容
'dui'xiang'de'yi'shu 对象的艺术
'dui'yun 对韵
'dui'zhao'fa 对照法
'duo'diao'xing 多调性
'duo'gan'yang'shi 多感样式
'duo'han'xu'de'shun'jian 多含蓄的瞬间
'duo'se'mu'ban 多色木版
'duo'yang'de'tong'yi 多样的统一
'e'bei'ju 恶悲剧
'e'er'fu'si'zhu'yi 俄耳甫斯主义
'e'guo'xing'shi'zhu'yi 俄国形式主义
'e'han'xiao'shuo 恶汉小说
'e'mo'zhu'yi 恶魔主义
'er'chong'fu'ge'qu 二重赋格曲
'er'chong'lou'chu 二重露出
'er'duan'shi 二段式
'fa'xian 发现
'fa'zhan'xiao'shuo 发展小说
'fan'fu 反复
'fan'li'de'bi'ran'xing 范例的必然性
'fan'mei'zhu'yi 泛美主义
'fan'pai'jiao'se 反派角色
'fan'xiao'shuo 反小说
'fan'ying'de'pei'tai 反应的胚胎
'fan'ying'li'lun 反映理论
'fan'yu 反语
'fang'xiang'kong'jian 方向空间
'fei'ju'xiang'yi'shu 非具象艺术
'fei'miao'xie'yi'shu 非描写艺术
'fei'mo'fang'xing'yi'shu 非模仿性艺术
'fei'shi'wu'yi'shu 非事物艺术
'fei'tong'shi'biao'xian 非同时表现
'fen'ge'pai 分割派
'fen'jing'tou'ju'ben 分镜头剧本
'fen'li'pai 分离派
'fen'xi'mei'xue 分析美学
'fen'xi'zhe'xue 分析哲学
'feng'ci 讽刺
'feng'ci'ge 讽刺歌
'feng'ci'hua 讽刺画
'feng'ci'shi 讽刺诗
'feng'ci'xing 讽刺性
'feng'ge 风格
'feng'jing'hua 风景画
'feng'su'hua 风俗画
'feng'su'wen'xue 风俗文学
'feng'su'xiao'shuo 风俗小说
'fo'shi 佛师
'fo'suo 佛所
'fu'diao 浮雕
'fu'diao'fa 复调法
'fu'diao'xing 复调性
'fu'ge'qu 赋格曲
'fu'hao 符号
'fu'hao'lun'mei'xue 符号论美学
'fu'hao'xue 符号学
'fu'he'er'bu'xing'shi 复合二部形式
'fu'he'san'bu'xing'shi 复合三部形式
'fu'shi'hui'ban'hua 浮世绘版画
'fu'yong'mei 附庸美
'fu'zhi 复制
'fu'zhi'pin 复制品
'fu'zhi'yi'shu 复制艺术
'fu'zhuang'jian'wu'tai'fu'zhuang'bao'he'du 服装见舞台服装饱和度
'gan'dong 感动
'gan'guan'gan'qing 感官感情
'gan'jue'xing'shi 感觉形式
'gan'jue'xing'shi'zhu'yi 感觉形式主义
'gan'jue'you'xi'yi'shu 感觉游戏艺术
'gan'jue'zhi'guan 感觉直观
'gan'qing 感情
'gan'qing'biao'xiang'shuo 感情表象说
'gan'qing'jing'hua 感情净化
'gan'qing'mei'xue 感情美学
'gan'shang'xi'ju 感伤喜剧
'gan'xing'ren'shi 感性认识
'gan'xing'yu'yan 感性语言
'gao'fu'diao 高浮雕
'gao'ji'xiang'zheng 高级象征
'ge'dao 歌道
'ge'ju 歌剧
'ge'lv'shi 格律诗
'ge'ming'wen'xue 革命文学
'ge'ren'wen'xue 个人文学
'ge'ren'yang'shi 个人样式
'ge'shi'ta'li'lun 格式塔理论
'ge'te'shi 哥特式
'ge'ti'fa'sheng'shi'pi'ping 个体发生史批评
'ge'wu 歌舞
'ge'wu'dian'ying 歌舞电影
'ge'wu'ji 歌舞伎
'ge'wu'tuan 歌舞团
'ge'xing 个性
'ge'xing'fa'ze 个性法则
'ge'xing'jiao'yu'lun 个性教育论
'ge'xing'mei 个性美
'ge'xing'ren'shi 个性认识
'ge'xing'xing'shi 个性形式
'ge'xing'xue 个性学
'ge'yan 格言
'ge'yao 歌谣
'gen'ben'xing'shi 根本形式
'gen'yuan'mei 根源美
'gong'gan 共感
'gong'gong'yi'shu 公共艺术
'gong'tong'fen'hua'lv 共同分化律
'gong'tong'gan 共通感
'gong'ye'she'ji 工业设计
'gong'yi 工艺
'gong'yi'mei'shu 工艺美术
'gong'yi'mei'shu'yun'dong 工艺美术运动
'gou'cheng 构成
'gou'si 构思
'gou'si'li 构思力
'gou'tu 构图
'gou'zao'fen'xi 构造分析
'gou'zao'xing 构造型
'gou'zhu'mei 构筑美
'gou'zhu'xing 构筑性
'gu'dai'de 古代的
'gu'dian 古典
'gu'dian'kao'gu'xue 古典考古学
'gu'dian'pai 古典派
'gu'dian'xing 古典性
'gu'dian'yi'shu'xing'shi 古典艺术形式
'gu'dian'zhu'yi 古典主义
'gu'ding'de'mei 固定的美
'gu'ding'wen'xue 固定文学
'gu'du'de'yi'shu 孤独的艺术
'gu'ren'mo'fang 古人模仿
'gu'shi 故事
'gu'shi'wei'xiao 古式微笑
'gu'you'se 固有色
'guan'bi'xing'ju'chang 关闭性剧场
'guan'nian'lun'mei'xue 观念论美学
'guan'nian'shi 观念史
'guan'nian'xiang'zheng 观念象征
'guan'nian'yi'shu 观念艺术
'guan'nian'zao'xing'xing 观念造型性
'guan'xi'de'zhi'jue 关系的知觉
'guan'xian'yue 管弦乐
'guan'xian'yue'fa 管弦乐法
'guan'xin 关心
'guan'yu'gan'qing 关与感情
'guan'yu'gan'qing'de'miu'wu 关于感情的谬误
'guan'yu'yi'tu'de'miu'wu 关于意图的谬误
'guan'zhao 观照
'guan'zhao'xiang'shou 观照享受
'guang 光
'guang'bo'ju 广播剧
'guang'de'mei'xue 光的美学
'gui'fan 规范
'gui'fan'mei 规范美
'han'se 寒色
'hang'hui 行会
'hao'hua'chang'mian'ju 豪华场面剧
'he'chang 合唱
'he'chang'tuan 合唱团
'he'fa'ze'xing'shi 合法则形式
'he'ge 和歌
'he'sheng 和声
'he'sheng'xue 和声学
'he'sheng'yin'yue 和声音乐
'he'yin 和音
'he'zou 合奏
'hei'bai'dian'ying 黑白电影
'hei'ge'er'xue'pai 黑格尔学派
'hou'jing 后景
'hou'qi'lang'man'pai 后期浪漫派
'hou'qi'yin'xiang'zhu'yi 后期印象主义
'hou'tai'jian'du 后台监督
'hua'dao 花道
'hua'dao 画道
'hua'fa 画法
'hua'ji 滑稽
'hua'ji'ju 滑稽剧
'hua'ju 话剧
'hua'kuang 画框
'hua'suo 画所
'huan'jing 环境
'huan'jing'xi'ju 环境喜剧
'huan'jue 幻觉
'huan'xiang'qu'xing'shi 幻想曲形式
'huan'xiang'shuo 幻想说
'huan'yu 换喻
'huang'dan'pai'xi'ju 荒诞派戏剧
'huang'jin'fen'ge 黄金分割
'hui'fo'shi 绘佛师
'hui'hua 绘画
'hui'hua'xing 绘画性
'hui'hua'xing'fu'diao 绘画性浮雕
'hui'xie 诙谐
'hui'xuan'qu 回旋曲
'hui'xuan'qu'xing'shi 回旋曲形式
'hui'xuan'zou'ming'qu'xing'shi 回旋奏鸣曲形式
'hun'se 混色
'huo'de'bei'ju 祸的悲剧
'ji'ben'yang'shi 基本样式
'ji'du'jiao'kao'gu'xue 基督教考古学
'ji'du'jiao'tu'xiang'xue 基督教图像学
'ji'fa 技法
'ji'ji'yi'qing 积极移情
'ji'li 祭礼
'ji'liang'yin'yue 计量音乐
'ji'lu'dian'ying 纪录电影
'ji'mou'xi'ju 计谋喜剧
'ji'neng'he'sheng 机能和声
'ji'neng'kuai'gan 机能快感
'ji'nian'diao'su 纪念雕塑
'ji'nian'xiang 纪念像
'ji'nian'xiao'shuo 纪年小说
'ji'pu 记谱
'ji'qiao 技巧
'ji'quan'zhu'yi 极权主义
'ji'se 基色
'ji'shu 技术
'ji'shu'jiao'yu 技术教育
'ji'shu'mei 技术美
'ji'shu'xue 技术学
'ji'shu'zhe'xue 技术哲学
'ji'suan'ji'yi'shu 计算机艺术
'ji'suan'ji'yin'yue 计算机音乐
'ji'xie'ji'shu 机械技术
'ji'xie'yi'shu 机械艺术
'ji'xing 即兴
'ji'xing'yin'yue 即兴音乐
'ji'zai'wen'xue 记载文学
'ji'zhi 机智
'ji'zhuan 急转
'jia'jie 加节
'jia'mian'ju 假面剧
'jia'ting'yin'yue 家庭音乐
'jia'xiang 假象
'jia'xiang'gan'qing 假象感情
'jia'xiang'se 假象色
'jia'zhi'mei'xue 价值美学
'jia'zhi'pan'duan 价值判断
'jian'ji 剪辑
'jian'jie'zi'you'wen'jian 间接自由文件
'jian'se 间色
'jian'shang 鉴赏
'jian'shang'pi'ping 鉴赏批评
'jian'shi'jue'she'ji 见视觉设计
'jian'zhu 建筑
'jian'zhu'diao'su 建筑雕塑
'jian'zhu'hua 建筑画
'jian'zhu'yan'jiu'suo 建筑研究所
'jiang'yan 讲演
'jiao'ben 脚本
'jiao'hu'yun 交互韵
'jiao'hui'diao'shi 教会调式
'jiao'liu'guo'cheng 交流过程
'jiao'se 角色
'jiao'tang'he'chang 教堂合唱
'jiao'tang'yi'shu 教堂艺术
'jiao'tang'yin'yue 教堂音乐
'jiao'xiang'qu 交响曲
'jiao'xiang'shi 交响诗
'jiao'xun'wen'xue 教训文学
'jiao'yu'dian'ying 教育电影
'jiao'yu'mei'xue 教育美学
'jiao'yu'yin'yue 教育音乐
'jiao'yun 脚韵
'jie'gou'zhu'yi 结构主义
'jie'ji'yang'shi 阶级样式
'jie'ju'fan'fu'fa 结句反复法
'jie'pai 节拍
'jie'pai'ge'diao 节拍格调
'jie'shi'quan'shi 解释诠释
'jie'shi'xue 解释学
'jie'wei 结尾
'jie'zou 节奏
'jin'dai'ju 近代剧
'jin'dai'yin'ju 近代音剧
'jin'gong 金工
'jin'shi'ju 近世剧
'jin'si'diao'ke 金丝雕刻
'jin'xiang 近像
'jing'guan 静观
'jing'li'shuo 精力说
'jing'shen'fen'xi 精神分析
'jing'shen'fen'xi'de'jie'shi 精神分析的解释
'jing'shen'shi 精神史
'jing'tai'lan 景泰蓝
'jing'wu'hua 静物画
'jing'yu'bei'ju 境遇悲剧
'jing'yuan'zhe'xue 经院哲学
'jing'zhi'yi'shu 静止艺术
'jiu'shen'xing 酒神型
'ju'chang 剧场
'ju'chang'yin'yue 剧场音乐
'ju'fa 句法
'ju'lun 剧论
'ju'ti'yin'yue 具体音乐
'ju'xiang'xing'shi 具象形式
'ju'xiang'yi'shu 具象艺术
'jue'dui'dian'ying 绝对电影
'jue'dui'mei 绝对美
'jue'dui'shi 绝对诗
'jue'dui'yin'yue 绝对音乐
'jun'heng 均衡
'kai'fang'shi'ju'chang 开放式剧场
'kao'gu'xue 考古学
'ke'dong'de'mei 可动的美
'ke'guan'de'hua'ji 客观的滑稽
'ke'guan'hua'jing'shen 客观化精神
'ke'guan'mei'xue 客观美学
'ke'guan'yi'shu 客观艺术
'ke'lian 可怜
'ke'xue'de'pi'ping 科学的批评
'ke'xue'dian'ying 科学电影
'kong'jian 空间
'kong'jian'jia'zhi 空间价值
'kong'jian'se 空间色
'kong'jian'xiao'shuo 空间小说
'kong'jian'yang'shi 空间样式
'kong'jian'yi'shu 空间艺术
'kong'jian'yin'xiang'xue 空间音响学
'kong'qi'tou'shi'fa 空气透视法
'kou'song'ti'wen'xue 口诵体文学
'kou'tou'wen'xue 口头文学
'kuai'de'gan'qing 快的感情
'kuai'gan 快感
'kuai'he'bu'kuai'de'gan'qing 快和不快的感情
'kuai'le 快乐
'kuai'le'zhu'yi 快乐主义
'kuai'liang 块量
'kuai'yi 快意
