'ba'jin'zhi 八进制
'bao'xian'si 保险丝
'bei'shi'pin 被试品
'bei'yong'rong'liang 备用容量
'bi'lei'qi 避雷器
'bi'lei'xian 避雷线
'bian'bi 变比
'bian'dian'zhan 变电站
'biao'mian'ji'chuan 表面击穿
'bing'lian'dian'kang'qi 并联电抗器
'bo'li'jue'yuan'zi 玻璃绝缘子
'bo'tou'wei 波头尾
'bo'tou'wei'dian'zu 波头尾电阻
'bo'zu'kang 波阻抗
'bu'jian'duan'dian'yuan 不间断电源
'bu'jun'yun'chang 不均匀场
'can'yu'dian'rong 残余电容
'cao'dong'ji'gou 操动机构
'cao'zuo'guo'dian'ya 操作过电压
'ce'liang'hu'gan'qi 测量互感器
'cha'dong'bao'hu 差动保护
'chang'gui'shi'yan 常规试验
'chang'ji'bian 场畸变
'chang'qiang 场强
'chang'ti'du 场梯度
'chang'zhi'fa'she 场致发射
'chao'gao'ya 超高压
'chao'liu 潮流
'chao'shi 潮湿
'chong'dian'zu'ni'dian'zu 充电阻尼电阻
'chong'he'zha 重合闸
'chong'ji'dian'liu 冲击电流
'chong'ji'shan'luo 冲击闪络
'chong'you'dian'li'dian'lan 充油电力电缆
'chou'shui'xu'neng'dian'zhan 抽水蓄能电站
'chu'fa'dian'ji 触发电极
'chu'xian 出线
'chuan'bing'lian'bu'chang 串并联补偿
'chuan'ji'bian'ya'qi 串级变压器
'chuan'shu'xian 传输线
'ci'chang 磁场
'ci'fu'xi'tong 伺服系统
'dan'mu'xian 单母线
'dan'mu'xian'dai'pang'lu 单母线带旁路
'dao'xian 导线
'dao'zha'cao'zuo 倒闸操作
'di'san'rao'zu 第三绕组
'di'xia'dian'lan 地下电缆
'dian'chang 电场
'dian'chang'li 电场力
'dian'chang'qiang'du 电场强度
'dian'ci'jian'rong 电磁兼容
'dian'dong'ji 电动机
'dian'fu'xing'qi'ti 电负性气体
'dian'gan 电感
'dian'gong'li'lun 电工理论
'dian'hu'chong'ran 电弧重燃
'dian'hu'fang'dian 电弧放电
'dian'hua'xue'fu'shi 电化学腐蚀
'dian'ji 电机
'dian'ji'chuan 电击穿
'dian'jie'zhi'jue'yuan'ti 电介质绝缘体
'dian'kang 电抗
'dian'kang'de'wu'gong'de 电抗的无功的
'dian'kang'qi 电抗器
'dian'li 电力
'dian'li'bian'ya'qi 电力变压器
'dian'li'dian'rong 电力电容
'dian'li'dian'zi 电力电子
'dian'li'wang'luo 电力网络
'dian'li'xi'tong 电力系统
'dian'li'xi'tong'fang'zhen 电力系统仿真
'dian'li'xi'tong'wen'tai'fen'xi 电力系统稳态分析
'dian'li'xi'tong'zan'tai'fen'xi 电力系统暂态分析
'dian'li'xian'zai'bo 电力线载波
'dian'liu 电流
'dian'liu'biao 电流表
'dian'liu'hu'gan'qi 电流互感器
'dian'lu'yuan'li 电路原理
'dian'qi'gong'cheng'shi'xue'hui 电气工程师学会
'dian'rong 电容
'dian'rong'qi'zu 电容器组
'dian'shu 电枢
'dian'shua 电刷
'dian'ya 电压
'dian'ya'bing'lie 电压并列
'dian'ya'hu'gan'qi 电压互感器
'dian'yun 电晕
'dian'zi'beng 电子崩
'diao'du'yuan 调度员
'ding'zi 定子
'dong'chu'tou 动触头
'dong'shi'neng 动势能
'dong'tai'wen'ding'xing 动态稳定性
'duan'dian 断电
'duan'lu'bi 短路比
'duan'lu'gu'zhang 短路故障
'duan'lu'qi 断路器
'duan'lu'shi'yan 短路试验
'dui'di'dian'rong 对地电容
'duo'ji'bian'ya'qi 多级变压器
'duo'you'duan'lu'qi 多油断路器
'e'ding 额定
'er'jin'zhi 二进制
'fa'dian'ji 发电机
'fa'guang'er'ji'guan 发光二极管
'fan'dian'shi 反电势
'fan'xiang'feng'zhi'dian'ya 反向峰值电压
'fang'dian 放电
'fei'po'huai'xing'shi'yan 非破坏性试验
'fen'jie'tou 分接头
'fen'shi'dian'jia 分时电价
