'a'bi'de 阿比德
'a'fu'han'geng'si'min'zi 阿富汗更死民子
'a'li'hou'sai'yin 阿里侯赛因
'ai'ci'yan'zhi'bu'yu'ting 哀此言之不予听
'ai'gu'ren'xi'ming'ming 爱骨人兮冥冥
'ai'ping'duan'zhou'yi'ke'bao 矮屏短轴已可宝
'ai'qin'er'shou'ren'zhi'lao 爱亲而寿人之老
'ai'qing'fen'qi'ru'zai'xi 蔼清芬其如在兮
'ai'shan'gu'zhi'duo'feng'xi 哀山谷之多风兮
'ai'yu'wo'zhi'qi'shui 哀与我之其谁
'ai'zeng'xi'wan'shi'yi'gui 爱憎兮万世一轨
'ai'zhong'ming'zhi'jiang'luo 哀众命之将落
'an'de'chang'gan'ru'shou'lai 安得长竿入手来
'an'de'qing'tian'hua'zuo'yi'zhang'zhi 安得青天化作一张纸
'an'de'sheng'shi'dang'cheng'zhou 安得生世当成周
'an'de'tian'xia'chang'nian'feng 安得天下常年丰
'an'neng'bian'hua'wei'long'mi'han'zai 安能变化为龙弭旱灾
'an'neng'zuo'he'zhong'zhi'fu'mu 安能作河中之桴木
'an'qi'qi'ju'zai'he'chu 安期棋局在何处
'an'qian'wu'zhe'yan'ru'yu 案前舞者颜如玉
'an'ran'xiao'hun'bie'er'yi 黯然消魂别而已
'an'you'wang'chun'si'bai'ba'shi'shi 安有王春四百八十时
'ang'zhong'you'yu'su 盎中有余粟
'ba'bi'xian'you'xing'tuan'yun'wei'gong 把臂閒游星团云为宫
'ba'fang'tong'yu'xi'yun'yue'wei'jia 八方同宇兮云月为家
'ba'jiu'yue'yang'huang'he'lou 把酒岳阳黄鹤楼
'ba'ling'hao'ke'yi'shi'xing 灞陵豪客一时兴
'ba'qian'zi'di'di'wang'kai 八千子弟敌王忾
'ba'she'pou'xin'ming'he'xi 拔舌剖心命何惜
'ba'shi'fang'wei'shi'shi'nian 八十方为筮仕年
'ba'xia'wei'wen'du'juan'ku 巴峡唯闻杜鹃哭
'ba'ye'chi'tai'lian'tu'qiu 霸业池台连秃鹙
'ba'yue'ji 八月鸡
'ba'yue'long'sha'xue'hua'qi 八月龙沙雪花起
'ba'yue'shi'ba'chao 八月十八潮
'ba'yue'shi'wu'ye 八月十五夜
'ba'zhu'jiang'nao'xi 八柱将挠兮
'bai'bang'he'ze'ru'feng'yu 白棒诃责如风雨
