'an'jiao 岸礁
'ao'tao'ji 奥陶纪
'ao'tao'xi 奥陶系
'ao'zhou'jie 澳洲界
'ba'dong'zu 巴东组
'bai'e 白垩
'bai'e'ji 白垩纪
'bai'e'xi 白垩系
'bai'yun'mu 白云母
'bai'yun'shi 白云石
'bai'yun'yan 白云岩
'bai'yun'zhi'hui'yan 白云质灰岩
'ban'chang'lv'sen'lin 半常绿森林
'ban'cheng'ya'shui'ceng 半承压水层
'ban'gan'han'di'qu 半干旱地区
'ban'gen 板根
'ban'gu'ding'sha'qiu 半固定沙丘
'ban'jing 斑晶
'ban'kuai 板块
'ban'kuai'bian'jie 板块边界
'ban'kuai'gou'zao 板块构造
'ban'kuai'gou'zao'shuo 板块构造说
'ban'kuai'gou'zao'xue 板块构造学
'ban'kuai'hui'ju 板块会聚
'ban'kuai'jia'shuo 板块假说
'ban'kuai'jian'di'zhen 板块间地震
'ban'kuai'jie'he'dai 板块接合带
'ban'kuai'jue'dui'yun'dong 板块绝对运动
'ban'kuai'la'li 板块拉力
'ban'kuai'peng'zhuang 板块碰撞
'ban'kuai'qu'dong'li 板块驱动力
'ban'kuai'xiao'jian 板块消减
'ban'kuai'xue'shuo 板块学说
'ban'kuai'yun'dong 板块运动
'ban'li'yan 斑粝岩
'ban'nei'di'zhen 板内地震
'ban'quan 阪泉
'ban'ri'chao'xi 半日潮汐
'ban'tong'kuang 斑铜矿
'ban'wen'dai 斑纹带
'ban'yan 斑岩
'ban'yan 板岩
'ban'yun'zuo'yong 搬运作用
'ban'zhuang'jie'gou 斑状结构
'bang'jia'jia'la'dou'ya 邦贾加拉陡崖
'bao'fa'hong'shui 暴发洪水
'bao'fen'fen'xi 孢粉分析
'bao'he'du 饱和度
'bao'hu'di'zhi'huan'jing 保护地质环境
'bao'jiao 堡礁
'bao'po'di'zhen 爆破地震
'bao'qi'dai'shui 包气带水
'bao'shi'kuang'wu'xue 宝石矿物学
'bao'shi'xue 宝石学
'bao'ta'zu 宝塔组
'bao'ti'li'lun 包体理论
'bao'zai 雹灾
'bei'chang'shi 钡长石
'bei'hui'gui'xian 北回归线
'bei'xie 背斜
'ben'chu'zi'wu'xian 本初子午线
'beng'di 崩堤
'beng'ji'ceng 崩积层
'beng'ji'xie 崩积楔
'beng'po'ji 崩坡积
'bi'bo'luo'ku 毕钵罗窟
'bi'da'ge'li'weng 毕达哥利翁
'bi'he'pen'di 闭合盆地
'bi'jiao'xing'xing'xue 比较行星学
'bi'wei'qiu 鼻尾丘
'bian'ci'zu'di'zhen'yi 变磁阻地震仪
'bian'guo 边国
'bian'jie'dai'shu'suan'fa 边界代数算法
'bian'liang'ju'lei'fen'xi 变量聚类分析
'bian'liang'shai'xuan'fen'xi 变量筛选分析
'bian'yuan'di 边缘地
'bian'yuan'di'zhen 边缘地震
'bian'yuan'duan'ceng 边缘断层
'bian'yuan'hu 边缘弧
'bian'yuan'hua 边缘化
'bian'yuan'shen'duan'lie 边缘深断裂
'bian'zhi'yan 变质岩
'bian'zhi'zuo'yong 变质作用
'bian'zhuang'he 辫状河
'biao'guan 标贯
'biao'mian'zhong'li'bo 表面重力波
'biao'xing'hua'he'wu 标型化合物
'biao'xing'li'zi 标型离子
'biao'xing'yuan'su 标型元素
'biao'zhi'ceng 标志层
'biao'zhun'guan'ru 标准贯入
'bin'he'chuang'sha'ba 滨河床沙坝
'bin'wai'ba 滨外坝
'bing'ca'hen 冰擦痕
'bing'chuan 冰川
