'an'niu 按钮
'an'quan'dai 安全带
'ban'zu 班组
'bao'biao 报表
'bao'gu 包箍
'bao'gu 抱箍
'bao'hu'duan'lu'qi 保护断路器
'bao'hu'te'xing 保护特性
'bao'xian'si 保险丝
'bei'dao 被盗
'bei'jian 备件
'bei'pin 备品
'bei'zhu 备注
'bi'lei'qi 避雷器
'bi'lei'qi'shi'yan 避雷器试验
'bi'lei'qi'xing'hao 避雷器型号
'bian'bi 变比
'bian'dian'zhan 变电站
'bian'hao 编号
'bian'po 边坡
'bian'xian 边线
'bian'ya'qi 变压器
'bian'ya'qi'xi'tong'tiao'shi 变压器系统调试
'biao'zhun'de'ji'zu'shu'ju'xian'shi 标准的机组数据显示
'biao'zhun'hu'chui 标准弧垂
'bing'gou'xian'jia 并沟线夹
'bing'lian'dian'rong'qi 并联电容器
'bing'lie'de 并列的
'bo'li'jue'yuan'zi 玻璃绝缘子
'bo'wen'ban 波纹板
'bo'xing 波形
'bu'chang'du 补偿度
'bu'gou 不够
'bu'jian'ming'cheng 部件名称
'bu'xiu'gang 不锈钢
'cai'yang'pin'lv 采样频率
'cai'yang'zhou'qi 采样周期
'can'kao'zhi 参考值
'can'shu'zhi 参数值
'ce'liang'fang'fa 测量方法
'ce'liang'ji'lu 测量记录
'ce'liang'ren 测量人
'ce'liang'ri'qi 测量日期
'ce'liang'shi'wen'du 测量时温度
'ce'liang'xin'hao 测量信号
'ce'shi'fang'fa 测试方法
'ce'shi'ren 测试人
'ce'shi'ri'qi 测试日期
'ce'shi'yi 测试仪
'cha'liang 叉梁
'cha'liang'la'xian 叉梁拉线
'cha'zuo 插座
'chang'ji'shi'shi'jian'kong'xi'tong 厂级实时监控系统
'chao'biao'shi'jian 抄表时间
'chao'gao'ya'shu'dian'xian 超高压输电线
'chao'su'gu'zhang'ting'ji 超速故障停机
'chen'luo 沉落
'cheng'qu 城区
'chong'dian'shi'gao'kong'ye'ya'qian 充电式高空液压钳
'chu'li'cuo'shi 处理措施
'chu'li'yi'jian 处理意见
'chu'tan 初探
'chuan'di'han'shu 传递函数
'chui'zhi'ju'li 垂直距离
'da'luo'mao 大螺帽
'da'rong'liang'fa'dian'ji'zu 大容量发电机组
'da'tang'liao'yuan're'dian'chang 大唐辽源热电厂
'da'yin'ji 打印机
'dan'ji'wu'qiong'da'xi'tong 单机无穷大系统
'dan'jia 单价
'dan'lian'wan'tou 单联碗头
'dan'lian'wan'tou'gua'ban 单联碗头挂板
'dan'wei 单位
'dan'xiang'dian'du'biao 单相电度表
'dan'xiang'dian'ya 单相电压
'dan'xiang'jiao'lian'dian'lan'tou 单相交联电缆头
'dang'ju 档距
'dang'wei 档位
'dao'di'xian'gui'ge 导地线规格
'dao'kai'guan 刀开关
'dao'na 导纳
'dao'xian 导线
'dao'xian'duan'gu 导线断股
'dao'xian'fang'zhen'chui 导线防震锤
'dao'xian'wen'du 导线温度
'dao'zha'ge'li'kai'guan 刀闸隔离开关
'deng'xiao'yu 等效于
'deng'zhi'bo'zu'kang 等值波阻抗
'di'xian 地线
'di'xian'fang'zhen'chui 地线防震锤
'di'ya 低压
'di'ya'jin'xian'gui 低压进线柜
'di'you'ya'gu'zhang'ting'ji 低油压故障停机
'dian'chang 电厂
'dian'dao 电导
'dian'dong'ji 电动机
'dian'dong'ji'bao'hu'qi 电动机保护器
'dian'du'biao 电度表
'dian'gan 电感
'dian'gan 电杆
'dian'kang 电抗
'dian'kang'qi 电抗器
'dian'lan'gu'ding'bao'gu 电缆固定抱箍
'dian'lan'shi'yan 电缆试验
'dian'lan'tou 电缆头
'dian'lao'hu 电老虎
'dian'li'fa'gui 电力法规
'dian'li'xi'tong 电力系统
'dian'li'xi'tong'zi'dong'hua 电力系统自动化
'dian'liang'bao'song 电量报送
'dian'ling 电铃
'dian'liu 电流
'dian'liu'biao 电流表
'dian'liu'hu'gan'qi 电流互感器
'dian'na 电纳
'dian'nao 电脑
'dian'neng'liang 电能量
'dian'neng'zhi'liang 电能质量
'dian'pian 垫片
'dian'ping'dian'ya'biao 电瓶电压表
