'bai'xue'fen'fen'he'suo'si 白雪纷纷何所似
'e'er'xue'zhou 俄而雪骤
'gong'da'xiao'le 公大笑乐
'gong'xin'ran'yue 公欣然曰
'ji'gong'da'xiong'wu'yi'nv 即公大兄无奕女
'sa'yan'kong'zhong'cha'ke'ni 撒盐空中差可拟
'wei'ruo'liu'xu'yin'feng'qi 未若柳絮因风起
'xie'tai'fu'han'xue'ri'nei'ji 谢太傅寒雪日内集
'xiong'nv'yue 兄女曰
'xiong'zi'hu'er'yue 兄子胡儿曰
'yu'er'nv'jiang'lun'wen'yi 与儿女讲论文义
'zuo'jiang'jun'wang'ning'zhi'qi'ye 左将军王凝之妻也
