'an'yan 暗焱
'bai'fen'bai'sun'shi'sheng'ming'zhi'zeng'jia'gong'ji 百分百损失生命值增加攻击
'bai'fen'bi'shu'chu 百分比输出
'bai'she 白蛇
'bai'yu'chu'chen 白羽出尘
'bai'yu'jin'wu 白羽金乌
'bai'ze 白泽
'bai'zhou 白昼
'bao'ji'lv 暴击率
'bao'zha 爆炸
'bi'fang 毕方
'bi'yi 比翼
'bing'dong 冰冻
'chan'rao 缠绕
'chang'she 长蛇
'chang'xi 常曦
'chao'feng 嘲讽
'chen'mo 沉默
'cheng'huang 乘黄
'chi'li 蚩梨
'chi'li 蚩黎
'chi'yan'zhuo'xin 赤焰灼心
'chong'fu'ji'zhong 重复击中
'chong'ling 冲灵
'chong'ling'deng'ji 冲灵等级
'chong'ling'tu'po 冲灵突破
'chong'su'da'huang 重塑大荒
'chou'ka 抽卡
'chu'shi'jing'ling 初始镜灵
'chuan'tong'zhong'guo'shen'hua 传统中国神话
'chuan'yue'wan'qian'da'huang 穿越万千大荒
'chuang'shi'shen'ren 创世神人
'chuang'shi'zhi'chu 创世之初
'cong'long 葱聋
'da'dou'ji 打斗技
'da'e 大鵞
'da'huang'min'zhong 大荒民众
'da'huang'shi'jie 大荒世界
'da'huang'wei'ji 大荒危机
'da'huang'wei'ji'si'fu 大荒危机四伏
'da'huang'zhi'mei 大荒之美
'da'huo'ji'she 打火机蛇
'da'li 大鵹
'dan'ti 单体
'dan'ti'duo'duan 单体多短
'dan'ti'gao'gong 单体高攻
'dan'ti'nai 单体奶
'dan'ti'shu'chu 单体输出
'dan'zhu 丹朱
'dang'hu 当扈
'di'fang'wu'fa'fu'huo 敌方无法复活
'di'fang'wu'zeng'yi'shang'hai'fan'bei 敌方无增益伤害翻倍
'dong'fang'huan'xiang 东方幻想
'dong'fang'huan'xiang'feng 东方幻想风
'dong'fang'huan'xiang'feng'ge 东方幻想风格
'du'xi'shu'chu 毒系输出
'duo'jue'se'ka'pai 多角色卡牌
'e'wai'xing'dong 额外行动
'er'ce'ji'huo'ma 二测激活码
'er'ci'yuan 二次元
'fan'ji 反击
'fan'ji'dui'you 反击队友
'feng'huang 凤凰
'feng'huang 凤皇
'feng'huang'zu 凤凰族
'feng'yi'yang'ling 凤裔扬灵
'feng'yin 封印
'feng'yu'ran'jin 凤羽燃烬
'fu'ben 副本
'fu'huo 复活
'gao'chong'ling'deng'ji 高冲灵等级
'gao'lian'ji'shu 高连击数
'gao'ling'zhi'hua 高岭之花
'gong'gong 共工
'gong'ji'li'jia'cheng 攻击力加成
'gou'mang 句芒
'gu'huo'niao 姑获鸟
'gu'zhi'wu'shu 古之巫书
'gui'mian'tong'zi 鬼面童子
'han'ling'yin'ji 汉灵印记
'he'luo 何罗
'hong'huang'bei'jing 洪荒背景
'hou'yi 后羿
'hou'zao'si'xiong 犼造四凶
'huang'hou'da'zhan 煌犼大战
'huang'long 黄龙
'hui'he'ji'zhi'qing'chang 回合机制清场
'hui'hu'shen'ren 回护神人
'hui'xue 回血
'hun'luan 混乱
'huo'dou 祸斗
'huo'dou'ji'neng'xiao'guo 祸斗技能效果
'huo'shen'zhu'rong 火神祝融
'ji'jing'ling'qing'niao 级镜灵青鸟
'ji'neng'ling'wu 技能领悟
'ji'sha'di'ren 击杀敌人
'ji'sheng'zhi'zhong 寄生之种
'jia'si 假死
'jian'jian 鹣鹣
'jian'jie'shang'hai 间接伤害
'jian'shang 减伤
'jian'shang'xiao'guo 减伤效果
'jian'yi'xiao'guo'zeng'qiang'gong'ji 减益效果增强攻击
'jian'zhi'liao 减治疗
'jiang'di'su'du 降低速度
'jie'jing'ling 阶镜灵
'jin'wu 金乌
'jin'wu'qi'chen 金乌七宸
'jin'wu'san'yao 金乌三曜
'jin'wu'zhong'ling 金乌仲灵
'jing'hua'zhi'jie 镜花之劫
'jing'ji'chang 竞技场
'jing'wei 精卫
'jiu'wei'hu 九尾狐
'jiu'wei'qun'shang 九尾群伤
'jiu'wei'qun'shang'kou'xue 九尾群伤扣血
'jun'ren 菌人
'ka'yi'jie 卡一姐
'ke'nai'ke'kong 可奶课控
'kua'fu 夸父
'la'tiao 辣条
'lai'qu'ru'feng 来去如风
'le'fu 乐符
'lian'du 练度
'liang'qu 梁渠
'lie'huang'zhi'yi 裂荒之役
'ling'ke 零氪
'ling'qi 灵器
'ling'qi'cao'kong'lei 灵气操控类
'ling'qi'jing'pian 灵气镜片
'ling'qi'shou'na 灵气收纳
'ling'qi'shu'liang'zeng'jia'gong'ji'he'ming'zhong'lv 灵气数量增加攻击和命中率
'ling'qi'zeng'qiang 灵气增强
'long'huang 龙煌
'long'sheng'jiu'zi 龙生九子
'lu'wu 陆吾
'luo'luo 罗罗
'luo'zuan'zi'jin 裸钻资金
'mao'xian'zhi'lv 冒险之旅
'mei'yue'long'yu 每月龙玉
'meng'ji 孟极
'mian'kong 免控
'mian'si 免死
'mian'yi'kong'zhi 免疫控制
'ming'xing'ji'sheng'you'zhu'zhen 明星级声优助阵
'ming'xing'sheng'you 明星声优
'nai'ma 奶妈
'nan'yu'zhi'shan 南禺之山
'ning'guang 凝光
'ning'shi 凝视
'pai'yang'cheng 牌养成
'ping'min'shang'fen 平民上分
'pu'gong'hui'xue 普攻回血
'pu'gong'hun'luan 普攻混乱
'qi'yuan'jing'ling 祈愿镜灵
'qian'huo'lei'yin 千火雷印
'qiang'li'jing'ling 强力镜灵
'qing'niao 青鸟
'qiu'yu 犰狳
'qu'san 驱散
'qun'ti'gong'ji 群体攻击
'qun'ti'nai 群体奶
'qun'ti'zhong'du 群体中毒
'san'lang 三郎
'san'yao 三曜
'sha'ren'e'wai'xing'dong 杀人额外行动
'sha'ren'jia'gong'ji 杀人加攻击
'shan'hai'jing 山海经
'shan'hai'jing'hua 山海镜花
'shan'hai'jing'hua'an'zhuo 山海镜花安卓
'shan'hai'jing'hua'er'ce 山海镜花二测
'shan'hai'jing'hua'er'ce'ji'huo'ma 山海镜花二测激活码
'shan'hai'jing'hua'gong'ce 山海镜花公测
'shan'hai'jing'hua'ji'huo'ma 山海镜花激活码
'shan'hai'jing'hua'ping'guo 山海镜花苹果
'shan'hai'jing'hua'quan'jue'se 山海镜花全角色
'shan'hai'jing'hua'shou'you 山海镜花手游
'shan'hai'jing'hua'shou'you'gong'ce 山海镜花手游公测
'shan'hai'jing'hua'xia'zai 山海镜花下载
'shan'hai'jing'hua'you'xi 山海镜花游戏
'shan'hai'jing'hua'you'xi'bei'jing 山海镜花游戏背景
'shan'hai'jing'hua'you'xi'te'se 山海镜花游戏特色
'shang'gu'zhu'shen 上古诸神
'shang'hai 伤害
'shang'hai'fan'tan 伤害反弹
'shang'zhen'jing'ling 上阵镜灵
'she'bi 奢比
'shen'hua'zhu'shen 神话诸神
'shen'ren 神人
'shen'shou 神兽
'shen'yao'niao'shou 神妖鸟兽
'shen'zhi 神芝
'sheng'you'zhu'zhen 声优助阵
'shi'shi'hong'huang 史诗洪荒
'shou'chong'li'bao 首充礼包
'shu'chu'fan'ji 输出反击
'shu'chu'mian'yi'jian'yi'xiao'guo 输出免疫减益效果
'shu'chu'qu'san 输出驱散
'shui'shen'gong'gong 水神共工
'suo'huo'qun'shang 锁火群伤
'tai'zi'chang'qin 太子长琴
'tao'tie 饕餮
'ti'sheng'bao'ji'lv 提升暴击率
'ti'sheng'deng'ji 提升等级
'ti'sheng'zi'shen'gong'ji 提升自身攻击
'tian'chi'fen'shi 天炽焚世
'tian'di'ling'qi 天地灵气
'tian'gou 天狗
'tian'gou'zhen'rong'da'pei 天狗阵容搭配
'tian'hu 天狐
'tian'hu'huo 天狐火
'tian'hu'ji'neng 天狐技能
'tian'hu'yi'su'suo'huo 天狐一速锁火
'tian'huo'zhi'chou'cui'cai'ling 天火之仇淬彩翎
'tian'wu 天吴
'tian'xin'hui'he 添新回合
'tiao'hui'he'ji'zhi'qing'chang 跳回合机制清场
'tong'sheng'gong'si 同生共死
'tou'gong'ji 偷攻击
'tu'shan'huan'huan 涂山缓缓
'tu'shan'sui'sui 涂山绥绥
'tu'si'zi 菟丝子
'tui'tiao 推条
'wan'jin'you'ying'xiong 万金油英雄
'wen'yao 文鳐
'wu'di'dun 无敌盾
'wu'jian'yuan'zhuang'tai 无减员状态
'wu'li 巫礼
'wu'shi'fang'yu 无视防御
'xi'tong 系统
'xiang'liu 相柳
'xiao'guo'di'kang 效果抵抗
'xiao'ming 宵明
'xie'zhan 协战
'xin'fan'gong'zuo'shi 新番工作室
'xing'dong'tiao'kong'zhi 行动条控制
'xing'ge'leng'jun 性格冷峻
'xiong'shou 凶兽
'xiong'shou'zhi'chao 凶兽之潮
'xiu'ye 修业
'xu'yuan 虚渊
'xuan'yun 眩晕
'yi'shi'zhi'lv 异世之旅
'yin'ji'yan'chang'chen'mo'hui'he 印记延长沉默回合
'ying'zhao 英招
'yong'he 雍和
'you'zu'wang'luo 游族网络
'you'zu'wang'luo'ke'ji'gong'si 游族网络科技公司
'you'zu'wang'luo'xin'fan'gong'zuo'shi 游族网络新番工作室
'yu'min'guo 羽民国
'yuan'gu'hong'huang 远古洪荒
'yuan'ju'ce'shi 缘聚测试
'yue'ka'dang 月卡党
'yue'xiang 月想
'yun'zhi 云芝
'yun'zhi'nai'ma 云芝奶妈
'zeng'jia'gong'ji 增加攻击
'zhong'du 中毒
'zhong'guo'shen'hua 中国神话
'zhong'guo'shen'hua'shi'dai 中国神话时代
'zhong'ming 重明
'zhong'ri'ding'ji'hua'shi 中日顶级画师
'zhong'yan'zhi'zhan 终焉之战
'zhong'you 忠友
'zhu'jin 朱瑾
'zhu'rong 祝融
'zhu'yin 烛阴
'zhuo'shao 灼烧
'zhuo'shao'zhuang'tai 灼烧状态
'zi'ji'dun 自己盾
'zi'shen'hun'luan 自身混乱
'zi'shen'zhi'liao 自身治疗
