'ai'nai 欸乃
'ai'nai'yi'sheng'shan'shui'lv 欸乃一声山水绿
'an'yin 按音
'an'yin'yin 按音吟
'bai'ju'yi 白居易
'bai'xue 白雪
'bi'jian'liu'quan 碧涧流泉
'bing'lie'duan'wen 冰裂断纹
'bo'ya 伯牙
'bo'ya'gu'qin 伯牙鼓琴
'bu'jian 部件
'cai'shi'yuan 蔡世远
'cai'wen'ji 蔡文姬
'cai'yong 蔡邕
'cao'man'fu'xian 操缦抚弦
'cha'fu'xi 查阜西
'chang'men'yuan 长门怨
'chang'qing 长清
'chang'xiao'yi'song'feng 长啸倚松风
'chen'chang'lin 陈长林
'cheng'chen 承尘
'cheng'gong'liang 成公亮
'cheng'huai'wei'xiang 澄怀味象
'cheng'lu 承露
'chi'bi'fu 赤壁赋
'chou'zhang'shao'fu 酬张少府
'chuan'pai 川派
'ci'shi'wu'sheng'sheng'you'sheng 此时无声胜有声
'cuo'tiao 撮挑
'da'hai'ge'qin'pu 大还阁琴谱
'da'hai'ge'qin'pu'xu 大还阁琴谱序
'da'hu'jia 大胡笳
'da'sheng'yi'yin 大圣遗音
'dan'bo'ming'zhi 淡泊明志
'dan'ran'wu'yu 淡然无欲
'dao'qi'he'yi 道器合一
'dao'yi 捣衣
'dong'ting'qiu'si 洞庭秋思
'du'zuo'tan'qin 独坐弹琴
'du'zuo'you'huang'li 独坐幽篁里
'duan'wen 断纹
'dun'cuo 顿挫
'fan'fu'zi'yong 反复自咏
'fan'yin 泛音
'fan'yin'ji 泛音击
'feng'ming'qin 凤鸣琴
'feng'qiu'huang 凤求凰
'feng'qiu'huang'qin 凤求凰琴
'feng'ru'song 风入松
'feng'xuan'xuan'pin 风宣玄品
'feng'zhao 凤沼
'gang'xian'gu'qin 钢弦古琴
'gao'shan 高山
'gao'shan'liu'shui 高山流水
'gong'yi 龚一
'gu'fa'zhuo'zhi 古法斫制
'gu'jin'qin'lu 古今琴录
'gu'mei'geng 顾梅羹
'gu'pu'hun'hou 古朴浑厚
'gu'qin 古琴
'gu'qin'er'ge 鼓琴而歌
'gu'qin'kao'lue 古琴考略
'gu'qin'zhuo'qin'shi 古琴斫琴师
'gu'se'chui'sheng 鼓瑟吹笙
'gu'yin'yi'yun 古音遗韵
'gu'yin'zheng'zong 古音正宗
'guan'ju 关雎
'guan'ping'hu 管平湖
'guan'ping'hu'gu'qin'pu 管平湖古琴谱
'guan'shan'yue 关山月
'guang'ling'pai 广陵派
'guang'ling'san 广陵散
'gui'qu'lai'ci 归去来辞
'gun'fu 滚拂
'guo'mo'ruo 郭沫若
'hao'zhong 号钟
'he'ban 合板
'he'er'bu'tong 和而不同
'he'ming'jiu'gao 鹤鸣九皋
'he'zhe'jie'wei'zhi'qi 和者皆为之泣
'he'zi'you'mian'chi'huai'jiu 和子由渑池怀旧
'hu'jia'shi'ba'pai 胡笳十八拍
'hua'yin 滑音
'huang'zong'xian 黄宗贤
'hui'tai 灰胎
'hui'wei 徽位
'ji'gu'ming'qin 击鼓鸣琴
'ji'kang 嵇康
'jiao'an'qin'pu 蕉庵琴谱
'jiao'wei 焦尾
'jiao'wei'qin 焦尾琴
'jiao'ye'wen'qi 蕉叶纹漆
'jie'shi'tiao'you'lan 碣石调幽兰
'jin'fen 金粉
'jin'fu 进复
'jin'ling'pai 金陵派
'jin'xie'gui'zheng 禁邪归正
'jing'yi'xiu'shen 静以修身
'jiu'kuang 酒狂
'jiu'xiao'huan'pei 九霄环佩
'jiu'yi'pai 九嶷派
'ke'you'chui'dong'xiao'zhe 客有吹洞箫者
'le'zhe'le'ye 乐者乐也
'li'bai 李白
'li'ji'le'ji 礼记乐记
'li'sao 离骚
'li'xiang'ting 李祥霆
'lie'zi 列子
'lin'feng'er'ge 临风而歌
'ling'nan'pai 岭南派
'ling'nan'qin'pu 岭南琴谱
'liu'shui 流水
'liu'zong'yuan 柳宗元
