'biao'zhun 标准
'biao'zhun'can'zhao'ce'liang 标准参照测量
'cai'liao'ping'jia 材料评价
'cha'ju 差距
'chan'pin 产品
'chang'mo'can'zhao'ce'liang 常模参照测量
'cheng'ben'xiao'yi 成本效益
'cheng'xu 程序
'cheng'xu'jiao'xue 程序教学
'cheng'xu'jiao'xue'fa 程序教学法
'cheng'xu'jiao'xue'yun'dong 程序教学运动
'cheng'xu'ke'ben 程序课本
'cheng'xu'mo'shi 程序模式
'cheng'xu'she'ji 程序设计
'chu'fang 处方
'chu'li 处理
'chu'shi'neng'li 初始能力
'chuan'bo'ji'neng 传播技能
'chuan'bo'li'lun 传播理论
'chuan'bo'mo'shi 传播模式
'chuan'bo'xiao'guo 传播效果
'chuan'song'xi'tong 传送系统
'chuan'song'xi'tong'guan'li 传送系统管理
'ci'ji'fan'ying 刺激反应
'dan'yuan 单元
'dao'ting'fa 导听法
'dian'zi'ji'xiao'zhi'chi'xi'tong 电子绩效支持系统
'dian'zi'mei'ti 电子媒体
'ding'liang'yan'jiu 定量研究
'ding'xing'yan'jiu 定性研究
'dong'ji 动机
'dong'ji'she'ji 动机设计
'duo'mei'ti 多媒体
'duo'mei'ti'ji'shu 多媒体技术
'fa'xian'fa 发现法
'fan'kui 反馈
'fan'kui'xi'tong 反馈系统
'fan'she'dong'zuo 反射动作
'fan'ying'fa'sheng'qi 反应发生器
'fei'yin'shua'mei'ti 非印刷媒体
'fen'zhi'cheng'xu 分支程序
'gan'jue'ji'lu'qi 感觉记录器
'gan'jue'qi 感觉器
'ge'bie'hua'jiao'xue'xi'tong 个别化教学系统
'ge'bie'hua'xue'xi 个别化学习
'ge'xin'de'tui'guang 革新的推广
'gong'zuo'ji'yi'jian'suo 工作记忆检索
'gui'na'xue'xi'fa 归纳学习法
'hong'guan'she'ji 宏观设计
'ji'suan'ji'fu'zhu'jiao'xue 计算机辅助教学
'ji'suan'ji'guan'li'jiao'xue 计算机管理教学
'ji'suan'ji'jiao'xue'xi'tong 计算机教学系统
'ji'ti'jiao'xue 集体教学
'ji'ti'shou'ke 集体授课
