'a'bang 阿邦
'a'ga 阿噶
'a'gui 阿贵
'a'ning 阿宁
'a'wei 阿维
'ai'zi'feng 矮子冯
'ba'nai 巴乃
'ba'zhong'bao'han 八重宝函
'bai'yi'nv'gui 白衣女鬼
'ban'jiao'sheng 绊脚绳
'ban'jie'li 半截李
'bao'sa 豹萨
'bei'di'xuan'zhu 北地玄珠
'bei'fa'nan'chuan 北法南传
'biao'zi'ling 镖子岭
'bo'sai'dong'zhi'xuan 波塞冬之炫
'bo'yi 博弈
'cai'lao'er 蔡老二
'cai'shi 菜尸
'cang'hai'hua 藏海花
'chang'bai'shan 长白山
'chang'sheng'bu'lao'shu 长生不老术
'che'zong 车总
'chen'cheng'cheng 陈丞澄
'chen'pi'a'si 陈皮阿四
'chen'qing'pai 陈情派
'chen'wen'jin 陈文锦
'chen'xue'han 陈雪寒
'chi'you'shi'yi 蚩尤失忆
'da'hua 大花
'da'jin'ya 大金牙
'da'kui 大奎
'dai'wo'hui'jia 带我回家
'dao'dou 倒斗
'de'ren'da'la'ma 德仁大喇嘛
'di'shuang 地霜
'di'xia'he 地下河
'ding'shi'dan 定尸丹
'dong'can 董灿
'dou'shi 斗尸
'du'juan'shan 杜鹃山
'du'yan'shen 独眼沈
'er'shu 二叔
'er'yue'hong 二月红
'fa'qiu'tong'yin 发丘铜印
'fa'qiu'zhong'lang'jiang 发丘中郎将
'fang'gu 防蛊
'feng'cun'shi'zhong'ren 封存石中人
'ge'er'mu 格尔木
'gua'zi'miao 瓜子庙
'guan'gen 关根
'gui'wu 鬼雾
'gui'ying'ren 鬼影人
'hai'di'mu 海底墓
'hai'hou'zi 海猴子
'hai'shao 嗨少
'han'shi 汗尸
'hei'bei'lao'liu 黑背老六
'hei'gou 黑狗
'hei'hua 黑花
'hei'jin'gu'dao 黑金古刀
'hei'lv'ti'zi 黑驴蹄子
'hei'xia'zi 黑瞎子
'hei'yan'jing 黑眼镜
'hong'xi'xiao'ying 虹吸效应
'hou'tou'shao 猴头烧
'hu'bao'bi'ji 护宝笔记
'hu'bao'xiao'fen'dui 护宝小分队
'hua'er'ye 花儿爷
'huang'yan 黄严
'huo'dao'fu 霍道夫
'huo'lao'tai 霍老太
'huo'ling 霍玲
'huo'long'zhen 火龙阵
'huo'tan 火炭
'huo'xian'gu 霍仙姑
'huo'xiu'xiu 霍秀秀
'huo'zhe'zi 火折子
