'an'jian 安监
'an'jian'cha'wei 安检查危
'an'lu'ke 安路科
'an'quan'feng'xian'guan'li 安全风险管理
'an'quan'jian'cha'lu'feng'ke 安全监察路风科
'an'quan'jian'cha'tong'zhi'shu 安全监察通知书
'an'quan'jian'cha'zhi'ling'shu 安全监察指令书
'an'quan'wen'ti'tong'zhi'shu 安全问题通知书
'ban'dao'yuan 扳道员
'ban'ji'hua 班计划
'bao'bao 包保
'bao'bao'jian'cha 包保检查
'bao'jia 保价
'bao'jia'yun'shu 保价运输
'bao'ya'zhi'dong 保压制动
'bei'duan 北端
'ben'wu'ji 本务机
'ben'wu'ji'che 本务机车
'bian'cha'bian'gai 边查边改
'cha'da'feng'xian 查大风险
'cha'da'feng'xian'fang'da'shi'gu 查大风险防大事故
'chang'lv'ke 常旅客
'chang'tai'zhi'dong 常态制动
'chao'xian 超限
'chao'xian'jue'yuan'jie 超限绝缘节
'che'bu 车补
'che'gou 车钩
'che'gou'zhai'jie 车钩摘解
'che'hao'yuan 车号员
'che'wu'duan 车务段
'che'wu'xi'tong 车务系统
'che'wu'zhan'duan 车务站段
'cheng'jiang 乘降
'cheng'jiang'zu'zhi 乘降组织
'cheng'jiang'zuo'ye 乘降作业
'cheng'yi'xian 乘意险
'chong'feng'bao'ya 充风保压
'chu'wu 出务
'chuang'kou'dan'wei 窗口单位
'ci'gun'long 刺滚笼
'ci'si'gun'long 刺丝滚笼
'ci'ye'wu'zheng'wen 此页无正文
'da'wa'zi 大洼子
'da'wa'zi'chang 大洼子场
'dai'ban 待班
'dai'ban'shi 待班室
'dan'gang 单岗
'dao'bu 到补
'dao'cha'shi'biao 道岔失表
'dao'zha'shi 道砟石
'deng'xiao'ji 登销记
'dian'che 电车
'dian'li'ji'che 电力机车
'diao'che'qu'zhang 调车区长
'diao'che'zhang 调车长
'diao'che'zuo'ye'ji'hua 调车作业计划
'diao'che'zuo'ye'tong'zhi'dan 调车作业通知单
'diao'du'ji'shi 调度记事
'dong'che'suo 动车所
'dong'che'zu 动车组
'dong'duan 东端
'dong'wu'ji 冬雾季
'dong'you 动右
'dong'you'xian 动右线
'dong'zuo 动左
'dong'zuo'xian 动左线
'duan'bu 端部
'fa'che'tiao'jian 发车条件
'fang'cuo'ban 防错办
'fang'cuo'cao 放错操
'fang'da'shi'gu 防大事故
'fang'liu 防溜
'fang'wu'cao'zuo 防误操作
'fang'wu'dian 防无电
'fang'zhi'dian'li'ji'che'jin'ru'wu'dian'qu 防止电力机车进入无电区
'fen'lu'bu'liang 分路不良
'fen'xi'hui 分析会
'fu'song 复诵
'fu'wu'zhi'liang 服务质量
'fu'xing'hao 复兴号
'gao'feng'xian 高峰线
'gong'wu'che 公务车
'gou'bei 鞲鞴
'gou'she 钩舌
'gou'suo'qi 钩锁器
'gou'tou 钩头
'gua'che 挂车
'guan'su'guan'ju 观速观距
'gui'dao'dian'lu 轨道电路
'gui'fen 轨分
'gui'fen'qu'duan 轨分区段
'gun'ci'long 滚刺笼
'hai'dao 还道
'hang'gui 行规
'heng'yue 横越
'heng'yue'xian'lu 横越线路
'hu'kong 互控
'hu'kong'ka'kong 互控卡控
'huan'jie'fa 缓解阀
'huo'che'chang 货车场
'huo'wu'fa'song'liang 货物发送量
'huo'yun'zeng'liang 货运增量
'ji'che'cheng'wu'yuan 机车乘务员
'jian'kong'fen'xi 监控分析
'jian'kong'fen'xi'shi 监控分析室
'jian'shi 捡拾
'jian'shi'gan 捡拾杆
'jian'shi'la'ji 捡拾垃圾
'jian'shi'qi 捡拾器
'jian'xiu 间休
'jian'xiu'shi 间休室
'jie'fa 接发
'jie'fa'che 接发车
'jie'fa'dong'che 接发动车
'jie'fa'lie'che 接发列车
'jie'gua 揭挂
'jie'jin'lian'gua 接近连挂
'jie'shi 揭示
'jie'shi'jie'gua 揭示揭挂
'jin'dong'ming'chun 今冬明春
'jin'ji'zhi'dong'fa 紧急制动阀
'jin'lu 进路
'jing'lu 径路
'jun'te'zhuan'chao 军特专超
'ke'che'chang 客车场
'ke'che'di 客车底
'ke'ji'ku 客技库
'ke'ji'zhan 客技站
'ke'yun'ti'zhi 客运提质
'ke'yun'tong'yi 客运统一
'kong'ke'che'di 空客车底
'kong'su 控速
'kou'di 口笛
'lao'bao'ban 劳保板
'li'gang 立岗
'li'gang'jie'che 立岗接车
'li'gang'jie'fa'che 立岗接发车
'lian'jie'yuan 连结员
'lian'lao 联劳
'lian'lao'xie'zuo 联劳协作
'lian'ze 连责
'lian'ze'chu'li 连责处理
'lian'ze'kao'he 连责考核
'liang'hua'zhi'biao 量化指标
'liang'ji 两纪
'liang'wei 两违
'liang'wei'kao'he 两违考核
'liang'wei'wen'ti 两违问题
'liao'wang 瞭望
'lie'che'wei'bu'fang'hu'zhuang'zhi 列车尾部防护装置
'lie'che'yun'xing'tu 列车运行图
'lie'wei 列尾
'lin'ke 临客
'lin'xian 邻线
'ling'che 领车
'ling'xing'jia 零星假
'lu'yong 路用
'lu'yong'lie'che 路用列车
'luo'ji'jian'cha 逻辑检查
'luo'yang'zhen 洛羊镇
'luo'yang'zhen'zhan 洛羊镇站
'lv'fu'xi'tong 旅服系统
'lv'ke'fa'song'liang 旅客发送量
'lv'ke'lie'che'bian'zu'shun'xu'biao 旅客列车编组顺序表
'mu'zhi'lun'qi 木止轮器
'nan'duan 南端
'nei'fang 内方
'piao'ju'zi'jin 票据资金
'ping'guo'dao 平过道
'qian'bu'liao'wang 前部瞭望
'qian'chu 牵出
