'a'ba'ye'ka'luo'ji'duo 阿巴耶卡罗笈多
'a'bu'zhao'yi 阿部肇一
'a'dao 阿道
'a'di'qu'duo 阿地瞿多
'a'di'xia 阿底峡
'a'du'shi'wang 阿闍世王
'a'ke'ba 阿克巴
'a'luo'luo'jia'lan 阿罗逻迦兰
'a'na'lv 阿那律
'a'nan 阿难
'a'ni'ge 阿尼哥
'a'nu'lv'tuo 阿奴律陀
'a'nuo'de 阿诺德
'a'qi'duo'chi'she'qin'po'luo 阿耆多翅舍钦婆罗
'a'ruo'jiao'chen'ru 阿若憍陈如
'a'shuo'shi 阿说示
'a'si'tuo'xian 阿私陀仙
'a'wang'lao'cang 阿王老藏
'a'wang'luo'sang 阿旺洛桑
'a'wang'luo'sang'dan'ba'jian'zan 阿旺洛桑丹巴坚赞
'a'wang'qu'pei 阿旺曲培
'a'yi'duo 阿逸多
'a'yu'wang 阿育王
'ai'lue'te 艾略特
'ai'ze'dun 艾泽顿
'an'bei'ka 安贝卡
'an'cheng 安澄
'an'fa'qin 安法钦
'an'han 安含
'an'hui 安慧
'an'ke'die'dou'pei'long 安克迭都培龙
'an'lin 安廪
'an'ni'bo'sen'fu'ren 安尼伯森夫人
'an'ran 安然
'an'shi'gao 安世高
'an'teng'jun'xiong 安藤俊雄
'an'xuan 安玄
'an'zuo'niao 鞍作鸟
'ba'cao'ni'ma'zha 巴操尼玛札
'ba'da'li 巴达利
'ba'da'shan'ren 八大山人
'ba'dan'du'li 巴丹闍梨
'ba'de'la'ba'fu 巴德拉巴夫
'ba'hu'tian 巴壶天
'ba'si'ba 八思巴
'ba'xi 拔希
'ba'zhi'tou'tuo 八指头陀
'ba'zhou 巴宙
'bai'ju'yi 白居易
'bai'long 白龙
'bai'long'cheng 白龙城
'bai'sheng 白圣
'bao'can'yu'quan 保参玉泉
'bao'chang 宝唱
'bao'cheng 宝称
'bao'ju'luo 薄拘罗
'bao'liang 宝亮
'bao'ming 薄瞑
'bao'yun 宝云
'bao'zhi 保志
'bao'zuo'ji 宝作寂
'bei'du 杯渡
'bei'mo'luo'cha 卑摩罗叉
'bei'tiao'shi'lai 北条时赖
'bei'tiao'shi'zong 北条时宗
'bei'zhou'wu'di 北周武帝
'ben'gao 本高
'ben'ji 本寂
'ben'ji 本济
'ben'ru 本如
'ben'tian'yi'ying 本田义英
'bian'chang 辨长
'bian'qing 辨庆
'bian'xi 辨喜
'bo'fa'zu 帛法祖
'bo'luo'po'jia'luo'mi'duo'luo 波罗颇迦罗蜜多罗
'bo'shi'li'mi'duo'luo 帛尸梨蜜多罗
'bo'si'ni'wang 波斯匿王
'bo'xi'he 伯希和
'bu'dun 布顿
'bu'he'nuo'fu 布赫诺夫
'bu'kong 不空
'bu'le 布勒
'bu'qian 不迁
'bu'ru'mi'duo 不如密多
'cai'ba'gong'ga'duo'jie 蔡巴贡噶多杰
'cai'rong'ting 蔡荣婷
'cai'yun'chen 蔡运辰
'can'ying 粲英
'can'you 璨幽
'chan'yun 忏云
'chang'jing'zhen'qin 长井真琴
'chang'song'qing'feng 长松清风
'chang'wei'ya'ren 长尾雅人
'chang'xi 长西
'chang'zhao'fan'zhi 长爪梵志
'cheng'cheng 承澄
'cheng'guan 澄观
'cheng'nian 称念
'cheng'yuan 承远
'cheng'yuan 澄远
'cheng'zhu 承珠
'chi'song 持松
'chi'tuo'tai'zi 祇陀太子
'chu'jin 楚金
'chu'jun 楚俊
'chu'wang'ying 楚王英
'chu'yuan 楚圆
'chuan'dao 传道
'chuan'deng 传灯
'chuan'hui 传悔
'chuan'xiao 传孝
'chuan'yi 传顗
'ci'cang 慈藏
'ci'chang 慈昌
'ci'guan 慈观
'ci'hang 慈航
'ci'hui 慈惠
'ci'rong 慈蓉
'ci'yi 慈怡
'ci'zhou 慈舟
'ci'zhuang 慈庄
'cun'jiang 存奖
'cun'niu 存牛
'cun'yi 存易
'da'chao 达超
'da'chuan'long'fa 大川隆法
'da'cun'xi'ya 大村西崖
'da'dao'chang'an 大道长安
'da'ding 大定
'da'er'ka 达尔喀
'da'gu'guang'rui 大谷光瑞
'da'guan 大观
'da'he 达和
'da'lai'la'ma 达赖喇嘛
'da'mo'bo'luo 达摩波罗
'da'mo'duo'luo 达摩多罗
'da'mo'ji'duo 达摩笈多
'da'mo'zhe'ti 达磨遮提
'da'si 达斯
'da'si'ji'duo 达斯笈多
'da'tian 大天
'da'tong 大同
'da'wo 大我
'da'xi 大訢
'da'xian 大贤
'da'xin'wang 达信王
'da'xing 大醒
'da'xiong 大雄
'da'yong 大勇
'da'you 大佑
'dai'chuan'xian 戴传贤
'dai'kui 戴逵
'dai'mi'wei 戴密微
'dai'wei'si 戴维斯
'dan'ba 胆巴
'dan'dang 担当
'dan'xia'tian'ran 丹霞天然
'dang'ba'sang'jie 当巴桑结
'dao'an 道安
'dao'bai 道白
'dao'chong 道宠
'dao'chuo 道绰
'dao'duan'liang'xiu 道端良秀
'dao'ji 道机
'dao'ji 道济
'dao'jie 道阶
'dao'kai 道开
'dao'kai 道楷
'dao'lang 道朗
'dao'lin 道林
'dao'long 道隆
'dao'lun 道伦
'dao'min 道忞
'dao'pei 道霈
'dao'qin 道钦
'dao'rong 道融
'dao'shen 道诜
'dao'sheng 道生
'dao'sheng 道盛
'dao'shi 道世
'dao'sui 道邃
'dao'wu 道悟
'dao'xin 道信
'dao'xuan 道宣
'dao'xuan 道璇
'dao'yan 道衍
'dao'yi 道一
'dao'yi 道义
'dao'ying 道膺
'dao'yuan 道元
'dao'yuan 道源
'dao'zhao 道昭
'dao'zhong 道忠
'de'guang 德光
'de'hui 德慧
'de'jian 德俭
'de'qing 德清
'de'seng 德僧
'de'shao 德韶
'de'yi 德异
'deng'ke'ming 邓克铭
'di'guan 谛观
'di'hua 地华
'di'shi'luo'cha 帝失罗叉
'di'xian 谛闲
'ding'bin 定宾
'ding'chao 定朝
'ding'chen 定琛
'ding'fu'bao 丁福保
'ding'xi 定西
'dong'chu 东初
'du'bu'ba 笃补巴
'du'na'jue'duo 闍那崛多
'du'ye'ba'mo'qi'shi 闍耶跋摩七世
'duan'mei'san'pu'ti 端美三菩提
'dui'lv 兑律
'duo'er'jie 朵尔杰
'duo'jie'jue'ba 多杰觉拔
'duo'luo'na'ta 多罗那他
'duo'ma'si 多玛斯
'er'shi'yi'er 二十亿耳
'fa'bao 法宝
'fa'cang 法藏
'fa'chang 法常
'fa'cheng 法成
'fa'cheng 法称
'fa'chi 法持
'fa'chong 法冲
'fa'fang 法舫
'fa'gong 法恭
'fa'guo 法果
'fa'hu 法护
'fa'lang 法朗
'fa'li 法砺
'fa'lin 法琳
'fa'quan 法全
'fa'rong 法融
'fa'ru 法如
'fa'shang 法上
'fa'sheng 法胜
'fa'sheng 法盛
'fa'shun 法顺
'fa'tai 法泰
'fa'tian 法天
'fa'xian 法显
'fa'xian 法献
'fa'yan 法演
'fa'ye 法业
'fa'yong 法勇
'fa'yuan 法远
'fa'yue 法月
'fa'yun 法云
'fa'zhao 法照
'fa'zhen 法真
'fa'zun 法尊
'fang'cun'xiu'ji 芳村修基
'fang'han'yan 方汉岩
'fang'hui 方会
'fang'jing 方净
'fang'yi'zhi 方以智
'fei'xi 飞锡
'fei'zhuo 非浊
'feng'gan 丰干
'fo'da'xian 佛大先
'fo'hu 佛护
'fo'ku 佛库
'fo'shi 佛使
'fo'shou 佛授
'fo'tu'cheng 佛图澄
'fo'tuo'ba'tuo'luo 佛驮跋陀罗
'fo'tuo'bo'li 佛陀波利
'fo'tuo'chan'shi 佛陀禅师
'fo'tuo'shan'duo 佛陀扇多
'fo'tuo'ye'she 佛陀耶舍
'fo'xie 佛榭
'fo'yin 佛印
'fo'zhe 佛哲
'fu'bu'zheng'ming 服部正明
'fu'hui 福慧
'fu'jing'kang'shun 福井康顺
'fu'jing'wen'ya 福井文雅
'fu'ju 福聚
'fu'lao'wa'er'na 弗劳瓦尔纳
'fu'ruo'duo'luo 弗若多罗
'fu'sha'mi'duo'luo'wang 弗沙蜜多罗王
'fu'yuan'liang'yan 福原亮严
'gan'dan'chi'ba 甘丹赤巴
'gan'di 甘地
'gan'lu'fan'wang 甘露饭王
'gan'xi'long'xiang 干潟龙祥
'gang'bo'ba 冈波巴
'gang'ye'zheng'dao 冈野正道
'gong'de'zhi 功德直
'gong'yan 公巖
'gong'yi 弓裔
'gu'kun 古崑
'gu'yue 古月
'guan'kou'zhen'da 关口真大
'guan'shi'qian 关世谦
'guan'zhu'ba 管主八
'guang'ding 广定
'guang'qian 光谦
'guang'qin 广钦
'guang'xin 广心
'guang'yuan 广元
'han'long'yun 韩龙云
'han'qing'jing 韩清净
'han'yu 韩愈
'he'ji'sen 赫吉森
'he'kou'hui'hai 河口慧海
'heng'chao'hui'ri 横超慧日
'hong'chu 弘储
'hong'chuan 宏船
'hong'jing 洪镜
'hong'ren 弘忍
'hong'ru 洪如
'hong'yi 弘一
'hong'zan 弘赞
'hong'zun 洪遵
'hu'hua'gu'kuai'tian 忽滑谷快天
'hu'shi 胡适
'hua'shan'xin'sheng 花山信胜
'huai'gan 怀感
'huai'hai 怀海
'huai'lian 怀琏
'huai'rang 怀让
'huai'su 怀素
'huai'wen 怀问
'huai'xin 怀信
'huai'yun 怀恽
'huan'zhong 寰中
'hui'an 慧安
'hui'bu 慧布
'hui'cai 慧才
'hui'chao 慧超
'hui'che 慧彻
'hui'chen 慧谌
'hui'fang 慧方
'hui'feng 慧峰
'hui'guan 慧观
'hui'guang 慧光
'hui'hai 慧海
'hui'he 慧鹤
'hui'ji 慧基
'hui'ji 慧寂
'hui'jiao 慧皎
'hui'jing 慧经
'hui'ke 慧可
'hui'li 慧立
'hui'lin 慧琳
'hui'lv 慧律
'hui'ming 慧明
'hui'nan 慧南
'hui'neng 慧能
'hui'nian 慧年
'hui'qin 慧勤
'hui'quan 会泉
'hui'ri 慧日
'hui'san 慧三
'hui'sheng 慧生
'hui'si 慧思
'hui'wei 慧威
'hui'wen 慧文
'hui'xing 会性
'hui'yan 慧严
'hui'yong 慧永
'hui'yuan 慧苑
'hui'yuan 慧远
'hui'yue 慧岳
'hui'zhao 慧沼
'hui'zhong 慧忠
'huo'tao'hui 霍韬晦
'ji'cang 吉藏
'ji'da'li 吉达利
'ji'he 己和
'ji'shan 吉山
'ji'xian'lin 季羡林
'jia'cao'jie 嘉曹杰
'jia'duo'yan'ni'zi 迦多衍尼子
'jia'li'tuo'sha 迦梨陀沙
'jia'liu'tuo'yi 迦留陀夷
'jia'luo'yu'wang 迦罗育王
'jia'mu'yang'yi'shi 嘉木样一世
'jia'ni'se'jia'wang 迦腻色迦王
'jia'teng'jing'shen 加藤精神
'jia'ye 迦叶
'jia'zhan'yan 迦旃延
'jiang'dao'hui'jiao 江岛惠教
'jiang'gong'kang'chu 蒋贡康楚
'jiang'wei'nong 江味农
'jiang'wei'qiao 蒋维乔
'jiang'yi'bin 蒋义斌
'jiao'fan'bo'ti 憍梵波提
'jie'qing 介清
