'an'zhuang 安装
'bei'ke 北科
'bi'jia 必佳
'bian'zhi'ban'fa 编制办法
'bu'ke'yu'jian'fei 不可预见费
'cai'liao 材料
'cai'liao'fei 材料费
'cai'nuan 采暖
'cai'wu'fei'yong 财务费用
'chen'qing'lai 陈青来
'cheng'jian'wei'hu'fei 城建维护费
'chou'jin 抽筋
'chou'liao 抽料
'chou'yang 抽样
'dan'jia'fen'xi'biao 单价分析表
'dang'di 当地
'dian'qi 电气
'diao'qian'fei 调遣费
'ding'e 定额
'dong'ji'shi'gong'zeng'jia'fei 冬季施工增加费
'fan'yang 翻样
'fen'xiang'gong'cheng'yu'suan'biao 分项工程预算表
'fu'cai 辅材
'fu'zhu'sheng'chan 辅助生产
'gai'suan 概算
'gai'suan'ding'e 概算定额
'gang'jin 钢筋
'gang'jin'fan'yang 钢筋翻样
'gao'yuan'shi'gong'zeng'jia'fei 高原施工增加费
'gong'cheng'zao'jia 工程造价
'gong'di'zhuan'yi'fei 工地转移费
'gong'ji 供给
'gong'liao'ji 工料机
'gu'suan 估算
'guan'li'fei 管理费
'guang'lian'da 广联达
'gui'fei 规费
'guo'min'shou'ru'he'suan 国民收入核算
'hai'de 海德
'hai'wei 海威
'hai'wen 海文
'hang'tian 夯填
'heng'zhi'tian'cheng 恒智天成
'hong'guan'jing'ji'mo'xing 宏观经济模型
'hong'guan'jing'ji'yun'xing'fen'xi 宏观经济运行分析
'hua'gang'shi 花岗石
'hui'tian'tu 回填土
'huo'bi'gong'qiu 货币供求
'huo'bi'jun'heng 货币均衡
'ji'hua'li'run 计划利润
'ji'jia 计价
'ji'jia'yu'kong'zhi 计价与控制
'ji'pai'shui 给排水
'ji'ri'gong 计日工
'ji'ri'gong'hui'zong 计日工汇总
'ji'shu'jing'ji'zhi'biao 技术经济指标
'ji'xie 机械
'ji'xie'fei 机械费
'ji'xie'tai'ban 机械台班
'ji'xie'wa'tu'fang 机械挖土方
'jia'ge'xin'xi 价格信息
'jia'kong'ge're'ceng 架空隔热层
'jia'zhi'gong'cheng 价值工程
'jian'jie'fei 间接费
'jian'li'fei 监理费
'jian'zhu'jing'ji 建筑经济
'jian'zhu'jing'ji'xue 建筑经济学
'jiang'yi'tong 匠易通
'jiao'yu'fu'jia'fei 教育附加费
'jie'dian 节点
'jie'suan 结算
'jin'run 金润
'jing'jian 精建
'jue'suan 决算
'jun'gong'tu 竣工图
'jun'heng'jia'ge 均衡价格
'ke'rui 科瑞
'lao'dong'ding'e 劳动定额
'li'mian'tu 立面图
'li'run 利润
'liang'tie'fei'yong 两贴费用
'lin'shi'she'shi'fei 临时设施费
'lu'ban 鲁班
'mu'qiang 幕墙
'pin'ming 品茗
'ping'fa 平法
'ping'mian'tu 平面图
'ping'zheng'chang'di 平整场地
'pou'mian'tu 剖面图
'qi'ye'guan'li'fei 企业管理费
'qing'dan 清单
'qing'hua'si'wei'er 清华斯维尔
'qing'miao'bu'chang'fei 青苗补偿费
'qu'fei 取费
'qu'nuan'bu'tie 取暖补贴
'ren'gong 人工
'ren'gong'fei 人工费
'ren'gong'wa'tu'fang 人工挖土方
'ri'yue 日月
'sha'shi 砂石
'she'bei'an'zhuang 设备安装
'she'ji'fei 设计费
'she'ji'tu 设计图
'shen'ji 神机
'sheng'chan'cheng'ben'lun 生产成本论
'shi'chang'jie'gou'li'lun 市场结构理论
'shi'chang'xu'qiu 市场需求
'shi'gong'ding'e 施工定额
'shi'gong'fu'zhu'fei 施工辅助费
'shi'gong'ji'shu'zhuang'bei'fei 施工技术装备费
'shi'gong'tu 施工图
'shi'gong'tu'yu'suan 施工图预算
'shui'jin 税金
'shui'ni 水泥
'shui'ni'fu'san'ji'jin 水泥扶散基金
'si'wei'er 斯维尔
'song'tian 松填
'su'gang'men 塑钢门
'tan'qin'lu'fei 探亲路费
'tian'ren 天仁
'tian'zheng 天正
'tong'feng 通风
'tong'wang 同望
'tong'ze 通则
'tou'biao'jia 投标价
'tou'zi'gai'suan 投资概算
'tou'zi'gu'suan 投资估算
'tou'zi'gu'suan'zhi'biao 投资估算指标
'tu'jian 土建
'wei'heng 纬衡
'wei'jin 维锦
'wu'mian 屋面
'xia'liao 下料
'xia'liao'ban 下料版
'xian'chang'jing'fei 现场经费
'xiao'fei'zhe'xing'wei'li'lun 消费者行为理论
'xiao'hao'liang 消耗量
'xin'si 新思
'xin'xi'jia 信息价
'xing'che'gan'rao'shi'gong'zeng'jia'fei 行车干扰施工增加费
'xiu'zheng'gai'suan 修正概算
'yan'hai'di'qu'shi'gong'zeng'jia'fei 沿海地区施工增加费
'ye'jian'shi'gong'zeng'jia'fei 夜间施工增加费
'yi'biao'suan'liang 易表算量
'yi'tong 亿通
'ying'ye'shui 营业税
'yu'ji'shi'gong'zeng'jia'fei 雨季施工增加费
'yu'suan 预算
'yu'suan'ding'e 预算定额
'zan'ding'jin'e 暂定金额
'zao'jia 造价
'zao'jia'bian'zhi'fei 造价编制费
'zheng'di'chai'qian'fei 征地拆迁费
'zhi'biao 指标
'zhi'jie'fei 直接费
'zhi'tong 智通
'zhu'cai 主材
'zhu'fu'shi'yun'fei'bu'tie 主副食运费补贴
'zhu'ye 筑业
'zhuan'xiang'zan'ding'jin'e 专项暂定金额
'zhuang'shi 装饰
'zong'he'fei'lv 综合费率
