'an'li 安莉
'an'zi 安兹
'an'zi'wu'er'gong 安兹乌尔恭
'bai'xiong'kuan'si 白熊宽嗣
'bi'de 彼得
'bu'li'ta 布莉塔
'cun'lai'bu 村濑步
'da'yin 达因
'dao'ye'shi 稻叶实
'di'mi'wu'ge'si 迪米乌哥斯
'du'bian'ming'nai 渡边明乃
'en'fu'lei'ya 恩弗雷亚
'fei'shu 飞鼠
'ge'jie'fu 葛杰夫
'gu'yu'zi 谷育子
'hua'jiang'xia'shu 花江夏树
'jia'teng'jiang'zhi 加藤将之
'jia'teng'ying'mei'li 加藤英美里
'ka'ji'te 卡吉特
'ke'lai'men'ting 克莱门汀
'ke'sai'te'si 科塞特斯
'li'qi 莉琪
'ling'mu'wu 铃木悟
'lu'ke'lu'te 陆克路特
'ma'lei'bei'luo'fei'ou'lei 马雷贝罗菲欧雷
'na'bei'la'er'jia'ma 娜贝拉尔伽玛
'nei'shan'xi'shi 内山夕实
'ni'gen 尼根
'ni'na 尼纳
'qian'ye'fan 千叶繁
'ri'ye'cong 日野聪
'sai'ba'si'di'an 塞巴斯蒂安
'san'zhai'jian'tai 三宅健太
'sen'lin'xian'wang 森林贤王
'shang'ban'jin 上坂堇
'tian'cun'mu'xin 田村睦心
'wu'shi'lan'yu'mei 五十岚裕美
'xia'ti'ya'bu'la'de'fu'lun 夏提雅布拉德弗伦
'xing'jin'he'xing 兴津和幸
'xue'ye'wu'yue 雪野五月
'ya'er'bei'de 雅儿贝德
'ya'wu'la'bei'la'fei'ou'la 亚乌菈贝拉菲欧拉
'you'li'a'er'fa 由莉阿尔法
'you'mu'bi 悠木碧
'yuan'you'shi 原由实
'zhao'cang'ai'mei 沼仓爱美
'zhu'nei'liang'tai 竹内良太
'zi'an'wu'ren 子安武人
