'chong'xi'bian 崇西变
'da'zhai'bian 大寨变
'dong'ping'bian 东坪变
'hao'long'gong'si'bian 昊龙公司变
'jin'tang'bian 金塘变
'lao'dian'bian 老店变
'le'hong'bian 乐红变
'lu'dian 鲁甸
'lu'fang'bian 炉房变
'lu'he'bian 六合变
'ma'shu'bian 马树变
'qi'li'bian 七里变
'qian'chang'bian 铅厂变
'qiao'jia'bian 巧家变
'qiao'mai'di'bian 荞麦地变
'xiao'he'bian 小河变
'xin'dian'bian 新店变
'yan'kou'bian 岩口变
'yi'chang 以厂
