'a'na'kan 阿那看
'a'na'nian'shi'shen'wu 阿那年时沈午
'ai'nai'yu'ge'xie'yang'wai 欸乃渔歌斜阳外
'ai'pai 哀拍
'ai'ta'wu'ri'wu'shi'shu 爱他午日午时书
'an'bu'kan'yan'zhu 黯不堪延伫
'an'de'teng'chan 安得滕廛
'an'de'zhu'ren'liu 安得主人留
'an'di'jiao'zhu'zhui 暗滴鲛珠坠
'an'huai'chen'chu 暗淮沉楚
'an'liu'yi'yi'wei'yan'long 岸柳依依微烟笼
'an'ning'zhu 黯凝伫
'an'niu'di'cen'ci'gui'lu 黯牛笛参差归路
'an'shi'liu'kai 安石榴开
'an'shi'qi'wu'tong'le'yi 安石岂无同乐意
'an'xiang'bu'shi'huang'hun 暗香不是黄昏
'an'xiao'hun 黯销魂
'an'zhuo'xiang'si'jie 暗啄相思结
'an'zuo'gao'tang'zhi'bu'zhi 安坐高堂知不知
'ao'nao'zi'ma'sa 懊恼自摩挲
'ao'qiao'song 傲乔松
'ao'shan'liu'bo 鳌山流播
'ba'bai'ge'jin'zhao 把百个今朝
'ba'gong'hua'xia'shao'ru'qian 八公花下少如前
'ba'hua'shan'luan'bian 把画扇鸾边
'ba'jiao'ye'shang'san'geng'yu 芭蕉叶上三更雨
'ba'jing'jin'tu'xin'ju 八境尽图新句
'ba'jiu'jia'xiang'shi'ke'zhong 把酒家乡是客中
'ba'jiu'qi'ran'bei'wang 把酒凄然北望
'ba'jiu'shi'weng'xi'ru'shi 八九十翁嬉入市
'ba'ju'dong'li 把菊东篱
'ba'ju'zan'yu 把菊簪萸
'ba'kan'deng'chuan'shuo'feng'liu 把看灯传说风流
'ba'mian'jiang'feng'han'chi 八面江风寒齿
'ba'qian'qiu 八千秋
'ba'shi'er'er 八十儿儿
'ba'shi'lao'weng'weng 八十老翁翁
'ba'shi'liu'weng'xian'chu'zuo 八十六翁闲处坐
'ba'shi'shi'kai'nian 八十是开年
'ba'shi'si'xiang 八十思乡
'ba'shi'zheng'ping'tou 八十正平头
'ba'shou'xiao'sun'liu'ji'mo 把手笑孙刘寂寞
'ba'si'mei'shi'ting'yuan 把似每时庭院
'ba'si'tian'xiang'tou 把似天香透
'ba'si'yue'chao'shi'wu 把似月朝十五
'ba'xian'ming'xing'dang'shi'shao 八仙名姓当时少
'ba'zhi'ji'fan'can'bi 拔帜几番残壁
'bai'bai'bu'cheng 白白不成
'bai'bai'jiang'nan'yi'xin'shuang 白白江南一信霜
'bai'bai'ye'tian'pu'si'yue 白白野田铺似月
'bai'fa'dao'ren'long'zhong'xiang 白发道人隆中像
'bai'fa'gu'ying'shuai 白发故应衰
'bai'fa'hong'yun'xi'shang'sou 白发红云溪上叟
'bai'fa'lai'he 白发来呵
'bai'fa'ping'jin'qi'you'ran 白发平津起褎然
'bai'fa'weng'weng'xiang'er'dao 白发翁翁向儿道
'bai'fa'zhu'yan'kan'po'suo 白发朱颜堪婆娑
'bai'feng'pai'huai'qing'shu 白凤徘徊清淑
'bai'jia'ren'zhi 白家人至
'bai'lu'chen'chen'fei'fu'qi 白鹭沉沉飞复起
'bai'lu'jing'cai'yi'shi'nian 白鹭惊猜已十年
'bai'nian'ban'meng'sui'liu'shui 百年半梦随流水
'bai'nian'duan'duan'xing'wang'bie 百年短短兴亡别
'bai'nian'ku'le'cheng'chu'kan 百年苦乐乘除看
'bai'nian'li 百年里
'bai'nian'yi'shi'zhong'nian'hou 百年已是中年后
'bai'nian'yi'shun 百年一瞬
'bai'qian'sun'zi'zi 百千孙子子
'bai'qian'ye'zhang'qiao'bian'qu 百钱曳杖桥边去
'bai'shao'cai'yi'e 百梢才一萼
'bai'shi'sha'di 白是沙堤
'bai'shi'si'shan'li 白石四山立
'bai'shou'kun'qi'ying 白首困耆英
'bai'shou'ren'jian'jin'gu 白首人间今古
'bai'shou'ti'jiang'duan'chang'ju 白首题将断肠句
'bai'tou'po'lao 白头坡老
'bai'tou'wo'qi'can'zhan'xue 白头卧起餐毡雪
'bai'xue'ge 白雪歌
'bai'xue'yang'chun 白雪阳春
'ban'chi'ban'le 半痴半了
