'bai'huang'ji 掰谎记
'ban'er 板儿
'ban'he 伴鹤
'bao'chai 宝钗
'bao'chai'pu'die 宝钗扑蝶
'bao'er 鲍二
'bao'er'jia'de 鲍二家的
'bao'er'xi'fu 鲍二媳妇
'bao'qin 抱琴
'bei'ming 焙茗
'bi'sha'chu 碧纱橱
'bo'zu'dao'ren 跛足道人
'bu'gu'xiu 卜固修
'bu'shi'ren 卜世仁
'cai'zi'jia'ren 才子佳人
'chang'an'dou'zhong 长安都中
'chao'dou'er 炒豆儿
'cheng'gao'ben 程高本
'cheng'jia'ben 程甲本
'cheng'wei'yuan 程伟元
'cheng'yi'ben 程乙本
'chi'zao 敕造
'chi'zao'ning'guo'fu 敕造宁国府
'chi'zao'rong'guo'fu 敕造荣国府
'chu'yao 锄药
'cui'lv 翠缕
'cui'mo 翠墨
'da'guan'yuan 大观园
'dai'shu 待书
'dai'yu 黛玉
'dai'yu'zang'hua 黛玉葬花
'dan'pin'ren 单聘仁
'dao'xiang'cun 稻香村
'dao'xiang'lao'nong 稻香老农
'deng'gu'niang 灯姑娘
'di'guan 菂官
'dian'er 靛儿
'dong'fu 东府
'dou'guan 荳官
'duo'gu'niang 多姑娘
'duo'hun'chong 多浑虫
'er'mu'tou 二木头
'fang'guan 芳官
'feng'er 丰儿
'feng'jie 凤姐
'feng'shi 封氏
'feng'su 封肃
'feng'yue'bao'jian 风月宝鉴
'fu'gui'xian'ren 富贵闲人
'gao'e 高鹗
'geng'chen'ben 庚辰本
'gou'er 狗儿
'gui'you'ben 癸酉本
'hai'tang'chun'shui'tu 海棠春睡图
'he'po 何婆
'heng'wu'jun 蘅芜君
'heng'wu'yuan 蘅芜苑
'hong'yu 红玉
'hu'lu'miao 葫芦庙
'hu'shi 胡氏
'hua'xi'ren 花袭人
'hua'xu 花溆
'hua'zi'fang 花自芳
'hui'fang'yuan 会芳园
'ji'hu'sou 畸笏叟
'ji'mao'ben 己卯本
'jia'bao'yu 贾宝玉
'jia'chang 贾菖
'jia'chen'ben 甲辰本
'jia'cong 贾琮
'jia'dai'hua 贾代化
'jia'dai'ru 贾代儒
'jia'dai'shan 贾代善
'jia'dai'xiu 贾代修
'jia'fu 贾敷
'jia'hu 贾瑚
'jia'huan 贾环
'jia'hui 佳蕙
'jia'jing 贾敬
'jia'lan 贾兰
'jia'lian 贾琏
'jia'ling 贾菱
'jia'min 贾敏
'jia'qiang 贾蔷
'jia'qin 贾芹
'jia'rong 贾蓉
