'an'di 安迪
'bao'qin 宝琴
'bao'qu 鲍屈
'bao'yu 包宇
'bao'zi 包子
'bei'wang 北王
'bu'meng 步萌
'bu'yu'shi 步御史
'bu'yue 步约
'cai'tai'xian 蔡太贤
'chang'zhi 长治
'chen'de'xiu 陈德修
'chen'jia'yan 陈佳妍
'chen'qiu'guo 陈秋果
'chen'yuan'xi 陈鸢喜
'chen'yuan'xi'fu'qin 陈鸢喜父亲
'chen'yuan'xi'mu'qin 陈鸢喜母亲
'chi'ning'ning 迟宁宁
'chou'xiao'yan 仇晓燕
'chun'ping 春萍
'ci'ke'jia 刺客甲
'dong'wang 东王
'fan'pai'zi 翻牌子
'fan'tao'lu'bi'chong 反套路避宠
'fu'xi 福熹
'gao'li'gong'zhu 高丽公主
'gao'yu'qing 高玉庆
'gong'ting'si'xiao'long 宫廷四小龙
'gu'yu'yuan 顾语源
'han'jiu'nuo 韩玖诺
'he'qi'liao 何弃疗
'hou'gong'da'chu 后宫大厨
'hou'gong'yi'ba 后宫一霸
'huang'xing'bei 黄兴倍
'huang'zi'xi 黄梓熙
'jia'da'wang 假大王
'jia'gong'zhu 假公主
'jia'li'wei 贾丽伟
'jia'qing'ru 贾清茹
'jia'shi'chen 假使臣
'jiao'jiao 娇娇
'jin'chen 金晨
'jin'jian 金剑
'jiu'an 久安
'kai'sa 凯撒
'kang'cheng 康城
'kang'shan'juan 康善卷
'kuang'can 匡灿
'lai'xiao'sheng 赖晓生
'lao'bao 老鸨
'li'gao'ji 李高吉
'li'jia'wen 李嘉雯
'li'sheng'jia 李圣佳
'li'shi'yan 李诗妍
'li'zi'su 李子苏
'liu'guan'lin 刘冠麟
'liu'jin'yan 柳谨言
'liu'ting'ting 刘婷婷
'liu'wei'sen 刘蔚森
'liu'xuan'chen 刘宣辰
'luo'dan 罗丹
'lv'liu 绿柳
'lv'yan 吕艳
'ma'ding 马丁
'ma'ke 马克
'ma'rui'ze 马瑞泽
'ma'yi'ao 马一奥
'meng'fei 萌妃
'mi'na 米娜
'mu'qin 母亲
'nan'wang 南王
'nian'qing'pu'yu 年轻璞玉
'nv'jiang'jun 女将军
'pei'chi 沛池
'pei'wen'bo 裴文博
'pu'li'ji 朴丽姬
'pu'yu 璞玉
'qian'xian'run 钱贤润
'qiu'zi'tong 邱梓童
'qu'ao'hui 瞿澳晖
'qu'pin 曲嫔
'qu'wan'wan 曲碗碗
'ren'shuai'zui'jian 人帅嘴贱
'ru'gui'fei 如贵妃
'san'yuan 三元
'shang'yi'lin 尚怡琳
'shen'jian 申剑
'shen'shang 沈殇
'shen'yao 沈瑶
'shen'yu'bo 沈聿博
'shi'ba'sha 十八杀
'shui'pin 水嫔
'song'gong'kui 宋宫葵
'su'hai'rong 苏海荣
'su'ruan 苏软
'suo'qian'hui 索千惠
'tai'hou 太后
'tai'shi'fu 太师府
'tang'hao 唐浩
'tang'meng'jia 汤梦佳
'wang'dong'cheng 汪东城
'wang'pin 王嫔
'wang'yi'fan 王毅凡
'wang'yu'chen 王语宸
'wen'dong'hai 温东海
'wen'lou 温楼
'wen'ren'jiang'jun 闻人将军
'wu'fu 五福
'wu'wei'yong 吴惟庸
'xi'fang 熙方
'xi'ren 昔人
'xi'wang 西王
'xia'yi'yao 夏一瑶
'xian'gui'ren 嫌贵人
'xiao'bai 小白
'xiao'bu'yue 小步约
'xiao'chen'yuan'xi 小陈鸢喜
'xiao'cui 小翠
'xiao'gui'ren 骁贵人
'xiao'kang'shan'juan 小康善卷
'xiao'qing 小青
'xiao'si 晓四
'xie'ji'hua 谢继华
'xu'kai'xin 徐凯鑫
'xu'wai'luo 徐崴罗
'yan'er 烟儿
'yan'fei 言妃
'yang'wan'yi 杨宛翊
'yang'yun'qi 杨运麒
'yao'ya'nan 姚亚楠
'yao'zi'wei 姚紫薇
'yi'gui'ren 伊贵人
'yi'yan'ting 衣妍婷
'yin'jian 银剑
'yin'su'su 尹素素
'yu'jia'miao 余佳淼
'yu'jin'jin 余金金
'yu'shi'da'fu 御史大夫
'yu'shi'zhi'nv 御史之女
'yu'si'yuan 俞思远
'yue'dong'feng 岳冬峰
'zhai'lin 翟璘
'zhang'er 张二
'zhang'hai'yu 张海宇
'zhang'heng'yu 张恒羽
'zhang'meng'yuan 张梦圆
'zhen'gong'zhu 真公主
'zhen'shi'shuang 甄世爽
'zhou'bin 周斌
'zu'pin 足嫔
