'bai'cao'gu'yuan'gui'shu'kang 佰草固元龟舒康
'bai'ye'cao'man'zi'xian'mei'gao 白叶草蔓姿纤美膏
'can'lian'gui'shao'zi'qian'tie 参莲桂勺滋乾贴
'cang'he'bai'tong'chang'yuan'gao 苍荷百通畅渊膏
'gu'yuan'he'zhong'gao 谷元禾中膏
'qi'huang'cao'qing'gan'gao 七黄草清苷膏
'ren'shen'mu'gua'xiu'feng'gao 人参木瓜秀峰膏
'xin'zhi'shun'he'jing'yuan'gao 辛芷顺和净渊膏
'yu'li'run'tong'gao 郁李润通膏
'zhu'can'yi'gen'kang 竹参薏根康
