'ban'yuan'jian 半园键
'shuang'zong'cheng 双总成
'sui'dong'fa'zhu'xiao 随动阀柱销
'sui'dong'fa'zong'cheng 随动阀总成
'sui'dong'gan 随动杆
'sui'dong'xiao 随动销
'suo'zhi'luo'ding 锁止螺钉
'tan'huang'dian'quan'zu'he'jian 弹簧垫圈组合件
'tan'xing'xiao 弹性销
'tiao'ya'fa 调压阀
'tiao'zheng'dian 调整垫
'tong'bu'huan 同步环
'tong'bu'qi'tan'huang 同步器弹簧
'tong'qi'sai 通气塞
'tu'yuan'luo'mu 凸缘螺母
'wai'luo'wen'guan'jie'tou 外螺纹管接头
'wan'jing'run'hua'zui 弯颈润滑嘴
'wan'xing'sai'pian 碗型塞片
'wu'wai'quan'chang'yuan'zhu'gun'zi'zhou'cheng 无外圈长圆柱滚子轴承
'xing'quan'li'cheng'biao'yong 型圈里程表用
'xuan'dang'jie'tou 选档接头
'ya'ban 压板
'yao'bi 摇臂
'yi'er'dang'hua'tao 一二档滑套
'yi'zhou 一轴
'yi'zhou'chi'lun 一轴齿轮
'yi'zhou'luo'mu 一轴螺母
'yi'zhou'zhou'cheng'gai 一轴轴承盖
'yi'zhou'zhou'cheng'gai'chen'dian 一轴轴承盖衬垫
'you'zhong'jian'zhou'zong'cheng 右中间轴总成
'yu'xuan'fa'zong'cheng 预选阀总成
'yuan'zhu'bei'dong'chi'lun 圆柱被动齿轮
'yuan'zhu'gun'zi'zhou'cheng 圆柱磙子轴承
'yuan'zhu'xiao 圆柱销
'yuan'zhu'zhu'dong'chi'lun 圆柱主动齿轮
'zhi'dong'huan 止动环
'zhi'dong'luo'ding 止动螺钉
'zhi'zhou'cheng 支轴承
'zhong'jian'zhou 中间轴
'zhong'jian'zhou'chao'su'dang'chi'lun 中间轴超速档齿轮
'zhong'jian'zhou'chuan'dong'chi'lun 中间轴传动齿轮
'zhong'jian'zhou'hou'gai 中间轴后盖
'zhong'jian'zhou'liang'duan'zhou'cheng 中间轴两端轴承
'zhong'jian'zhou'liu'dang'chi'lun 中间轴六档齿轮
'zhong'jian'zhou'qian'zhou'cheng 中间轴前轴承
'zhong'jian'zhou'san'dang'chi 中间轴三档齿
'zhong'jian'zhou'si'dang'chi'lun 中间轴四档齿轮
'zhong'jian'zhou'si'fang'jian 中间轴四方键
'zhong'jian'zhou'wu'dang'chi'lun 中间轴五档齿轮
'zhong'jian'zhou'yi'dang'chi'lun 中间轴一档齿轮
'zhong'qiao'pen'chi 中桥盆齿
'zhou'cheng 轴承
'zhou'cheng'dian'quan 轴承垫圈
'zhou'cheng'ding'wei'ban 轴承定位板
'zhou'yong'ya'bian'gang'si'dang'quan 轴用压扁钢丝挡圈
'zhu'li'qi'zong'cheng 助力器总成
'zhu'zhou'hou'zhou'cheng'gai 主轴后轴承盖
'zu'he'zhou'cheng 组合轴承
'zuo'qu'li'lun 左取力轮
'zuo'zhong'jian'zhou 左中间轴
