'da'ci'da'bei 大慈大悲
'dou'she'liu'gen 都摄六根
'e'mi'tuo'fo 阿弥陀佛
'ga'ma'ba'qian'nuo 噶玛巴千诺
'ji'xin'ji'fo 即心即佛
'jing'nian'xiang'ji 净念相继
'na'mo'ben'shi'shi'jia'mou'ni'fo 南无本师释迦牟尼佛
'na'mo'e'mi'tuo'fo 南无阿弥陀佛
'tong'ti'da'bei 同体大悲
'weng'ma'ni'bei'mi'hong 嗡玛尼呗咪吽
'wu'yuan'da'ci 无缘大慈
'yi'xin'nian'fo 一心念佛
'yong'meng'jing'jin 勇猛精进
