'a'bo'luo 阿波罗
'a'bo'luo'ni'ya'si 阿波罗尼亚斯
'a'er'fa'zhan'ji 阿尔法战机
'a'li'xi'a'wang'guo 阿里西阿王国
'ba'long 巴隆
'ban'kou'da'zhu 阪口大助
'bu'dong'si'ling 不动司令
'chuang'sheng'da'tian'shi 创圣大天使
'chuang'sheng'he'ti 创圣合体
'chuang'sheng'ji 创圣记
'chuang'sheng'zhi'shu 创圣之书
'dai'er'ta'zhan'ji 戴尔塔战机
'di'qiu'zai'sheng'ji'gou 地球再生机构
'fei'tian'zhan'nan 飞田展男
'gai'ta'ji'qi'ren 盖塔机器人
'gao'ci'yuan'he'ti'ji'xie'tian'shi 高次元合体机械天使
'he'ti'yi'cun'zheng 合体依存症
'hei'li'na 黑理娜
'huo'xing'zhan'ji 火星战机
'huo'yan'quan 火焰拳
'huo'yan'ti 火焰踢
'ji'xie'tian'shi 机械天使
'jia'shu'you'mei 嘉数由美
'jie'lu'bi'mu 捷陆毕姆
'jie'lu'bi'mu'bing 捷陆毕姆兵
'jie'luo'mu 杰罗姆
'jun'ba 军霸
'li'hua 丽花
'li'jun 李军
'li'na 丽娜
'li'na'yong'ji'xie'tian'shi 莉娜用机械天使
'luo'sai'ma'li'ya 罗塞玛利亚
'meng'ji 蒙吉
'mo'huan'zhi'ying 魔幻之影
'mu'nai'yi'ji'xie'tian'shi 木乃伊机械天使
'ou'mei'jia'zhan'ji 欧美加战机
'pi'ye'lu 皮耶鲁
'ri'li'shan'ya'mei 日莅山亚美
'sai'li'ang 塞丽昂
'sen'chuan'zhi'zhi 森川智之
'shan'tian'zhi'he 杉田智和
'shen'hua'shou 神话兽
'sheng'ming'yuan 生命源
'sheng'ming'zhi'shu 生命之树
'shi'chi 诗翅
'shi'zhuo'yun'sheng 石涿运升
'shou'hu'tian'chi 守护天翅
'shou'huo'shou 收获兽
'si'dao'tuo'du 寺岛拓笃
'si'ke'er'pi'ou'si 斯科尔皮欧斯
'suo'fei'ya 索菲亚
'tai'ta'ni'ya 泰塔尼亚
'tai'yang'zhan'ji 太阳战机
'tian'chi'he'ti 天翅合体
'tou'chi 头翅
'wang'xiang'xing'ji'xie'tian'shi 妄想型机械天使
'wei'ying 未影
'wu'xian'he'ti'quan 无限合体拳
'wu'xian'quan 无限拳
'xi'er'wei'ya 西尔维亚
'xi'er'wei'ya'de'ai'li'xi'ya 西尔维娅德艾莉西娅
'xi'er'wei'ya'xi'li'wu'si 西尔维娅席利乌斯
'xi'li'wu'si 席利乌斯
'xi'wu'si 希乌斯
'xiao'lin'sha'miao 小林沙苗
'xiao'ye'ban'chang'ye 小野坂昌也
'xing'kong'jian 星空剑
'ya'te'lan'di'ya 亚特兰迪亚
'ya'te'lan'ti'ya 亚特兰提亚
'yi'quan'bo'long 翼犬波隆
'yu'chuan'sha'ji'zi 玉川沙己子
'yue'liang'jie'lu'bi'mu 月亮捷陆毕姆
'yue'liang'zhan'ji 月亮战机
'yun'yong'bu'dui 运用部队
'zhan'ji 战机
'zhui'tian'chi'zu 坠天翅族
'zuo'teng'yu'mei 佐藤裕美
