'bai'dai 白带
'bai'huang'dai 白黄带
'bai'ti 摆踢
'bai'zhe'bu'qu 百折不屈
'bei'shen'zheng'li'dao'fu 背身整理道服
'ce'hua'bu 侧滑步
'ce'ti 侧踢
'ce'yi'bu 侧移步
'che'bu 撤步
'chong'gen 重根
'da'fang'ba 大方靶
'dan'jun 旦君
'dao'chang 道场
'dao'shan 道山
'dao'tong'tian'xia 道通天下
'dao'zhu 道主
'di'tai 地跆
'dian'zi'hu'ju 电子护具
'fan'heng'ti 反横踢
'fan'lun'ti 反抡踢
'fan'mian'ji'fa 反面技法
'fan'shou'fu'wo'cheng 反手俯卧撑
'fu'wo'cheng'ji'zhang 俯卧撑击掌
'gao'li 高丽
'gao'wei'ge'dang'jie'ce'bu'zhi'quan 高位格档接侧步直拳
'gao'wei'heng'ti 高位横踢
'ge'dang 格挡
'gua'ti 挂踢
'guan'shou 贯手
'guo'ji'tai'quan'dao'lian'meng 国际跆拳道联盟
'guo'ji'tai'quan'dao'lian'meng'kao'he'zhi'du'biao'zhun 国际跆拳道联盟考核制度标准
'guo'ji'yuan 国技院
'han'shui 汉水
'han'wu'guan 汉武馆
'hei'dai 黑带
'hei'dai'ba'duan 黑带八段
'hei'dai'er'duan 黑带二段
'hei'dai'jiu'duan 黑带九段
'hei'dai'liu'duan 黑带六段
'hei'dai'qi'duan 黑带七段
'hei'dai'san'duan 黑带三段
'hei'dai'shi'duan 黑带十段
'hei'dai'si'duan 黑带四段
'hei'dai'wu'duan 黑带五段
'hei'dai'yi'duan 黑带一段
'heng'cha 横叉
'heng'ti 横踢
'heng'ti'jiao'ba 横踢脚靶
'heng'ti'jie'shuang'fei'jie'hou'ti 横踢接双飞接后踢
'hong'dai 红带
'hong'hei'dai 红黑带
'hong'zhen'zong 洪镇宗
'hou'fang'dan'shou'zhua 后方单手抓
'hou'fang'jian'bu'zhua 后方肩部抓
'hou'fang'liang'shou'zhua 后方两手抓
'hou'gong'bu 后弓步
'hou'hua'bu 后滑步
'hou'jiao'cha'bu 后交叉步
'hou'ti 后踢
'hou'ti'jiao'ba 后踢脚靶
'hou'tui'heng'ti 后腿横踢
'hou'tui'heng'ti'jie'gao'wei'heng'ti 后腿横踢接高位横踢
'hou'tui'heng'ti'jie'hou'jiao'cha'shang'bu'ce'ti 后腿横踢接后交叉上步侧踢
'hou'tui'heng'ti'jie'hou'ti 后腿横踢接后踢
'hou'tui'heng'ti'jie'shuang'fei'ti 后腿横踢接双飞踢
'hou'tui'heng'ti'jie'xuan'feng'ti 后腿横踢接旋风踢
'hou'tui'heng'ti'jie'xuan'feng'ti'jie'hou'bai'tui 后腿横踢接旋风踢接后摆腿
'hou'tui'hou'ti'jie'hou'tui'xia'pi 后腿后踢接后腿下劈
'hou'tui'qian'ti'jie'qian'tui'qian'ti 后腿前踢接前腿前踢
'hou'xuan'ti 后旋踢
'hu'shen'dao'fa 护身倒法
'hua'bu'qian'tui'tui'ti'jie'hou'tui'heng'ti'jiao'ba 滑步前腿推踢接后腿横踢脚靶
'hua'bu'qian'tui'tui'ti'jie'hou'tui'hou'ti'jiao'ba 滑步前腿推踢接后腿后踢脚靶
'hua'bu'qian'tui'tui'ti'jie'xia'pi 滑步前腿推踢接下劈
'huan'bu 换步
'huang'dai 黄带
'huang'lv'dai 黄绿带
'ji'ben'dong'zuo 基本动作
'ji'wei 级位
'jian'bu'zhua'zheng'mian'da 肩部抓正面打
'jiang'de'yuan 讲德院
'jiao'bu'dong'zuo'zhun'bei 脚步动作准备
'kang'ji'da 抗击打
'kuai'su'you'ti'xi'tui 快速右提膝腿
'kuai'su'zuo'ti'xi'tui 快速左提膝腿
'kuai'su'zuo'you'ti'xi'tui 快速左右提膝腿
'kun'ming'tai'quan'dao'xie'hui 昆明跆拳道协会
'lan'dai 蓝带
'lan'hong'dai 蓝红带
'li'cheng'wan 李承琓
'li'gu 栗谷
'li'long'yu 李龙雨
'li'wo'cheng'tiao 立卧撑跳
'liang'tou'qi 两头起
'liang'tui'jiao'huan'shu'cha 两腿交换竖叉
'lun'ti 抡踢
'luo'kai'yao 罗凯耀
'lv'dai 绿带
'lv'lan'dai 绿蓝带
'ma'bu'zhuang'chong'quan 马步桩冲拳
'nei'ge'dang 内格挡
'pin'shi 品式
'ping'yuan 平原
'qian'bai'tui 前摆腿
'qian'bai'tui'ji'jiao'ba 前摆腿击脚靶
'qian'gong'bu 前弓步
'qian'hua'bu 前滑步
'qian'jiao'cha'bu 前交叉步
'qian'jiao'fan'gou'ti 前脚反勾踢
'qian'shang'ti 前上踢
'qian'ti 前踢
'qian'ti'jiao'ba 前踢脚靶
'qian'tui'heng'ti 前腿横踢
'qian'tui'heng'ti'jie'xia'pi'jie'hou'ti 前腿横踢接下劈接后踢
'qian'tui'xia'pi 前腿下劈
'qian'yue'bu 前跃步
'quan'wo'cheng 拳卧撑
'ren'nai'ke'ji 忍耐克己
