'san'long'feng'jin'zhuan 散龙凤金砖
'san'mo'sha'te'da'jin'yuan'bao 散磨砂特大金元宝
'san'mo'sha'te'da'jin'zhuan 散磨砂特大金砖
'ting'yong'e'mi'tuo'fo'gu'yi 停用阿弥陀佛孤衣
'ting'yong'jing'pin'san'jin'qian 停用精品叁金钱
'ting'yong'si'se'da'bei'shen'zhou 停用四色大悲神咒
'zhao'cai'fen'yuan'bao 招财粉元宝
'zhao'cai'hong'yuan'bao 招财红元宝
'zhao'cai'lan'yuan'bao 招财蓝元宝
'zhao'cai'lv'yuan'bao 招财绿元宝
'zhao'cai'yin'yuan'bao 招财银元宝
'zhong'hao'tang'jin'yuan'bao'pen 中号烫金元宝盆
