'a'su'er 阿苏儿
'ai'de'hua'wu'hua'guo'ying'wu 爱德华无花果鹦鹉
'an'se'xi'mi'ying'wu 暗色吸蜜鹦鹉
'an'se'ying'wu 暗色鹦鹉
'ao'zhou'chang'wei'ying'wu 澳洲长尾鹦鹉
'ao'zhou'guo'wang'ying'wu 澳洲国王鹦鹉
'ba'ta'ge'ni'ya'zhui'wei'ying'wu 巴塔哥尼亚錐尾鹦鹉
'bai'chi'ying'wu 白翅鹦鹉
'bai'ding'ya'ma'xun'ying'wu 白顶亚马逊鹦鹉
'bai'fu'kai'ke 白腹凯克
'bai'ke'shi'ying'wu 柏克氏鹦鹉
'bai'mao'ying'wu 白帽鹦鹉
'cai'hong'xi'mi'ying'wu 彩虹吸蜜鹦鹉
'cai'hui'zhui'wei'ying'wu 彩绘錐尾鹦鹉
'chao'ji'ying'wu 超级鹦鹉
'cheng'chi'ya'ma'xun'ying'wu 橙翅亚马逊鹦鹉
'chi'he'fu'zhui'wei'ying'wu 赤褐腹錐尾鹦鹉
'da'fei'xiong 大绯胸
'da'lu'jia'feng'tou'ying'wu 达鹿加凤头鹦鹉
'di'wang'ya'ma'xun'ying'wu 帝王亚马逊鹦鹉
'die'die'xi'mi'ying'wu 喋喋吸蜜鹦鹉
'dong'mei'gui'ying'wu 东玫瑰鹦鹉
'du'fan'bo'di'shi'xi'mi'ying'wu 杜凡波第氏吸蜜鹦鹉
'du'jiao'ying'wu 独角鹦鹉
'du'ke'bo'shi'feng'tou'ying'wu 杜柯波氏凤头鹦鹉
'fei'hong'jin'gang'ying'wu 绯红金刚鹦鹉
'fei'lv'bao'xuan'diao'ying'wu 菲律宝悬吊鹦鹉
'fei'zhou'hui'ying'wu 非洲灰鹦鹉
'fen'hong'xiong'feng'tou'ying'wu 粉红胸凤头鹦鹉
'feng'tou'ying'wu 凤头鹦鹉
'gang'gang'ba'dan 钢钢巴丹
'ge'fen'shi'feng'tou'ying'wu 戈芬氏凤头鹦鹉
'gong'wei'hei'ba'dan 紅尾黑巴丹
'gong'zhu'ying'wu 公主鹦鹉
'gu'ba'ya'ma'xun'ying'wu 古巴亚马逊鹦鹉
'hai'jiao'ying'wu 海角鹦鹉
'he'shang'ying'wu 和尚鹦鹉
'hei'ding'xi'mi'ying'wu 黑顶吸蜜鹦鹉
'hei'mao'zhui'wei'ying'wu 黑帽錐尾鹦鹉
'hei'se'ying'wu 黑色鹦鹉
'hei'tou'kai'ke 黑头凯克
'heng'ban'ying'ge 橫斑鹦哥
'hong'chi'ying'wu 红翅鹦鹉
'hong'e'jin'gang'ying'wu 红额金刚鹦鹉
'hong'e'ya'ma'xun'ying'wu 红额亚马逊鹦鹉
'hong'fu'jin'gang'ying'wu 红腹金刚鹦鹉
'hong'fu'ying'wu 红腹鹦鹉
'hong'jia'ying'wu 红颊鹦鹉
'hong'jian'jin'gang'ying'wu 红肩金刚鹦鹉
'hong'mian'ju'zhui'wei'ying'wu 红面具錐尾鹦鹉
'hong'se'xi'mi'ying'wu 红色吸蜜鹦鹉
'hong'yao'ying'wu 红腰鹦鹉
'hu'pi'ying'wu 虎皮鹦鹉
'huan'jing'ying'wu 环颈鹦鹉
'huang'chi'ying'wu 黃翅鹦鹉
'huang'dou'xi'mi'ying'wu 黃兜吸蜜鹦鹉
'huang'e'ying'wu 黃额鹦鹉
'huang'guan'ya'ma'xun'ying'wu 黃冠亚马逊鹦鹉
'huang'jing'ya'ma'xun'ying'wu 黃颈亚马逊鹦鹉
'huang'ling'jin'gang'ying'wu 黃领金刚鹦鹉
'huang'lv'ying'wu 黃绿鹦鹉
'hui'jia'ying'wu 灰颊鹦鹉
'hui'sheng'ying'wu 回声鹦鹉
'hui'tou'ying'wu 灰头鹦鹉
'hui'tou'zhui'wei'ying'wu 灰头錐尾鹦鹉
'ji'wei'ying'wu 鸡尾鹦鹉
'jian'zui'feng'tou'ying'wu 尖嘴凤头鹦鹉
'jian'zui'zhui'wei'ying'wu 尖嘴錐尾鹦鹉
'jin'gang'ying'wu 金刚鹦鹉
'jin'jian'ying'wu 金肩鹦鹉
'jin'se'zhui'wei'ying'wu 金色錐尾鹦鹉
'ju'guan'feng'tou'ying'wu 橘冠凤头鹦鹉
'ju'zui'ying'wu 巨嘴鹦鹉
'jun'jian'jin'gang'ying'wu 军舰金刚鹦鹉
'kuai'su'ying'wu 快速鹦鹉
'kui'hua'feng'tou'ying'wu 葵花凤头鹦鹉
'lan'ding'ya'ma'xun'ying'wu 蓝顶亚马逊鹦鹉
'lan'guan'xi'mi'ying'wu 蓝冠吸蜜鹦鹉
'lan'guan'zhui'wei'ying'wu 蓝冠錐尾鹦鹉
'lan'hou'jin'gang'ying'wu 蓝喉金刚鹦鹉
'lan'hou'zhui'wei'ying'wu 蓝喉錐尾鹦鹉
'lan'huang'jin'gang'ying'wu 蓝黄金刚鹦鹉
'lan'tou'ying'wu 蓝头鹦鹉
'lan'wen'xi'mi'ying'wu 蓝纹吸蜜鹦鹉
'lan'yan'feng'tou'ying'wu 藍眼凤头鹦鹉
'lin'ken'gang'ying'wu 林肯港鹦鹉
'lin'xiong'xi'mi'ying'wu 鳞胸吸蜜鹦鹉
'lu'pei'er'shi'ying'wu 魯佩尔氏鹦鹉
'lv'chi'jin'gang'ying'wu 绿翅金刚鹦鹉
'lv'jia'ya'ma'xun'ying'wu 绿颊亚马逊鹦鹉
'lv'jia'zhui'wei'ying'wu 绿颊錐尾鹦鹉
'ma'da'jia'si'jia'ai'qing'diao 馬達加斯加愛情鳥
'mai'ding'shi'ying'wu 卖丁氏鹦鹉
'mai'se'mi'lun'shi'ying'wu 麦瑟米伦氏鹦鹉
'mai'ye'shi'xi'mi'ying'wu 麦耶氏吸蜜鹦鹉
'mai'ye'shi'ying'wu 迈耶氏鹦鹉
'mi'qi'er'shao'xiao'feng'tou'ying'wu 米契尔少校凤头鹦鹉
'mi'te'lei'zhui'wei'ying'wu 米特雷錐尾鹦鹉
'mian'zhao'ying'wu 面罩鹦鹉
'nan'da'zhui'wei'ying'wu 南达錐尾鹦鹉
'niu'xi'lan'ying'wu 纽西兰鹦鹉
'pai'si'kui'te'shi'ying'wu 派斯奎特氏鹦鹉
'qing'tong'chi'ying'wu 青铜翅鹦鹉
'qiu'chang'xi'mi'ying'wu 酋長吸蜜鹦鹉
'sai'nei'jia'er'ying'wu 塞內加尔鹦鹉
'shen'gong'mei'gui'ying'wu 深紅玫瑰鹦鹉
'sheng'wen'sheng'ya'ma'xun'ying'wu 圣文生亚马逊鹦鹉
'shuang'huang'tou'ya'ma'xun'ying'wu 双黃头亚马逊鹦鹉
'shuang'yan'wu'hua'guo'ying'wu 双眼无花果鹦鹉
'su'e'jin'gang'ying'wu 粟额金刚鹦鹉
'tai'ping'yang'ying'ge 太平洋鹦哥
'tai'yang'zhui'wei'ying'wu 太阳錐尾鹦鹉
'tao'mian'ai'qing'diao 桃面愛情鳥
'xi'mi'ying'wu 吸蜜鹦鹉
'xian'hong'xiong'ying'wu 鲜红胸鹦鹉
'xiao'fei'xiong 小绯胸
'xiao'kui'hua'ying'wu 小葵花鹦鹉
'xuan'feng 玄凤
'ya'li'shan'da'ying'wu 亚力山大鹦鹉
'ya'ma'xun'ying'wu 亚马逊鹦鹉
'yi'li'ge'shi'jin'gang'ying'wu 伊力格氏金刚鹦鹉
'ying'tou'ying'wu 鹰头鹦鹉
'yu'san'feng'tou'ying'wu 雨伞凤头鹦鹉
'zhe'zhong'ying'wu 折衷鹦鹉
'zhen'da'zhui'wei'ying'wu 珍达錐尾鹦鹉
'zhui'wei'ying'wu 锥尾鹦鹉
'zi'guan'ya'ma'xun'ying'wu 紫冠亚马逊鹦鹉
'zi'hong'tou'ying'wu 紫红头鹦鹉
'zi'lan'jin'gang'ying'wu 紫蓝金刚鹦鹉
'zong'lv'ba'dan 棕榈巴丹
'zong'tou'ying'wu 棕头鹦鹉
